"place_ID","longitude","latitude","population","cumulative_cases_today","adj_case_rate","cumulative_deaths_today","adj_death_rate","cumulative_persons_tested_today","adj_test_rate","cumulative_persons_pos_today","adj_test_pos_rate","geo_merge"
"Agoura Hills",-118.760876,34.151007,20883,271,1302,6,28,6089,28553,215,1037,"City of Agoura Hills"
"Alhambra",-118.135504,34.083961,86724,1738,2012,34,29,24068,26969,1540,1789,"City of Alhambra"
"Arcadia",-118.037297,34.134186,57754,716,1195,44,50,12438,21282,563,955,"City of Arcadia"
"Artesia",-118.08063,33.867577,16795,516,2910,11,47,5482,29789,381,2190,"City of Artesia"
"Avalon",-118.331354,33.333921,3869,5,151,0,0,64,1636,5,151,"City of Avalon"
"Azusa",-117.912351,34.138622,50040,2063,4140,25,60,12828,25857,1817,3635,"City of Azusa"
"Baldwin Park",-117.972142,34.082841,76769,4119,5311,107,158,21124,27054,3456,4447,"City of Baldwin Park"
"Bell",-118.179783,33.980058,36332,2064,5697,46,172,11076,30419,1852,5102,"City of Bell"
"Bell Gardens",-118.155014,33.966323,43071,2651,6225,27,99,12951,30519,2336,5437,"City of Bell Gardens"
"Bellflower",-118.127136,33.888021,77735,3150,4030,65,97,22814,28862,2772,3554,"City of Bellflower"
"Beverly Hills",-118.402109,34.078543,34520,916,2654,11,16,19133,55212,704,2047,"City of Beverly Hills"
"Bradbury",-117.968387,34.153532,1069,22,2297,0,0,52,4678,9,1219,"City of Bradbury"
"Burbank",-118.323487,34.1879,107180,2487,2211,82,61,34809,31329,1963,1757,"City of Burbank"
"Calabasas",-118.668881,34.13747,24323,398,1587,14,48,7360,29964,312,1233,"City of Calabasas"
"Carson",-118.255878,33.837391,93846,2469,2571,67,55,23653,24477,1924,2003,"City of Carson"
"Cerritos",-118.068587,33.867752,50067,775,1620,17,25,11618,22658,669,1394,"City of Cerritos"
"Claremont",-117.715319,34.125904,36484,618,1780,11,19,8679,24017,509,1466,"City of Claremont"
"Commerce",-118.151914,33.996345,13069,799,6031,13,100,4560,34667,708,5348,"City of Commerce"
"Compton",-118.22753,33.892938,99904,5276,5294,83,103,29686,30041,4738,4747,"City of Compton"
"Covina",-117.881821,34.090264,49032,1897,3804,60,104,13695,27282,1549,3114,"City of Covina"
"Cudahy",-118.183118,33.963116,24347,1478,6119,18,123,7302,29974,1291,5368,"City of Cudahy"
"Culver City",-118.396806,34.005798,39865,578,1436,30,50,14661,37155,447,1092,"City of Culver City"
"Diamond Bar",-117.81613,33.999164,57515,840,1425,13,17,11700,19320,709,1193,"City of Diamond Bar"
"Downey",-118.131148,33.937862,114263,5638,4837,96,82,35859,30663,4933,4234,"City of Downey"
"Duarte",-117.950531,34.16094,22016,739,3180,34,99,6077,26729,606,2630,"City of Duarte"
"El Monte",-118.029074,34.073948,117269,5821,4908,178,153,31270,26201,5142,4329,"City of El Monte"
"El Segundo",-118.402004,33.916898,16786,178,1032,1,3,5397,32259,136,801,"City of El Segundo"
"Gardena",-118.307231,33.894352,61310,1598,2590,59,68,16641,26690,1310,2139,"City of Gardena"
"Glendale",-118.246803,34.181933,206493,5775,2665,189,63,55401,25822,4470,2065,"City of Glendale"
"Glendora",-117.846736,34.144935,52764,1611,2918,78,111,12250,22795,1267,2289,"City of Glendora"
"Hawaiian Gardens",-118.072804,33.830337,14676,663,4415,3,22,3501,23589,615,4096,"City of Hawaiian Gardens"
"Hawthorne",-118.347694,33.914649,88787,2660,2973,52,67,23817,26479,2239,2492,"City of Hawthorne"
"Hermosa Beach",-118.396435,33.865241,19670,326,1611,4,27,6560,32563,260,1281,"City of Hermosa Beach"
"Hidden Hills",-118.661203,34.163749,1890,24,1233,0,0,666,45275,17,894,"City of Hidden Hills"
"Huntington Park",-118.216706,33.979987,59484,3716,6237,65,142,17730,29608,3289,5508,"City of Huntington Park"
"Industry",-117.926756,34.017494,437,50,11076,2,556,591,135110,41,8794,"City of Industry"
"Inglewood",-118.344474,33.956529,113582,3849,3346,95,89,32596,28075,3428,2982,"City of Inglewood"
"Irwindale",-117.963631,34.112113,1459,90,6101,2,155,481,32541,68,4628,"City of Irwindale"
"La Canada Flintridge",-118.200156,34.209689,20693,239,1427,6,17,6023,33887,199,1185,"City of La Canada Flintridge"
"La Habra Heights",-117.950975,33.96025,5455,69,1237,1,8,96,1927,9,181,"City of La Habra Heights"
"La Mirada",-118.00932,33.90251,49599,1175,2311,27,37,11129,21420,985,1923,"City of La Mirada"
"La Puente",-117.953338,34.032209,40697,2059,4966,28,67,10900,26294,1816,4372,"City of La Puente"
"La Verne",-117.770312,34.120692,33282,734,2234,14,23,7620,22275,567,1780,"City of La Verne"
"Lakewood",-118.122171,33.84707,80362,1758,2193,15,16,20957,25732,1498,1859,"City of Lakewood"
"Lancaster",-118.175352,34.693444,161570,5749,3595,70,55,37083,23144,4692,2937,"City of Lancaster"
"Lawndale",-118.353156,33.888463,33614,925,2664,12,47,7940,22895,783,2258,"City of Lawndale"
"Lomita",-118.317456,33.793312,20729,315,1497,9,30,4661,22078,233,1106,"City of Lomita"
"Lynwood",-118.201664,33.923954,72047,4283,6067,111,241,22352,31185,3787,5291,"City of Lynwood"
"Malibu",-118.784201,34.03684,12961,145,1152,3,11,4114,31117,96,749,"City of Malibu"
"Manhattan Beach",-118.397059,33.889428,35999,496,1395,5,13,10645,29611,380,1069,"City of Manhattan Beach"
"Maywood",-118.187662,33.98852,28049,1797,6598,38,204,8459,30493,1646,6059,"City of Maywood"
"Monrovia",-117.992121,34.165036,38800,1041,2706,40,95,10467,26879,892,2302,"City of Monrovia"
"Montebello",-118.110797,34.015436,64375,3158,4870,55,68,20851,31818,2813,4337,"City of Montebello"
"Monterey Park",-118.13253,34.049708,62262,1254,1984,52,40,15600,24715,1115,1755,"City of Monterey Park"
"Norwalk",-118.082884,33.90687,107622,4617,4194,92,83,29801,27030,3929,3567,"City of Norwalk"
"Palmdale",-118.105685,34.594429,158968,6938,4410,82,65,40529,25888,5761,3663,"City of Palmdale"
"Palos Verdes Estates",-118.397292,33.787212,13522,129,905,2,7,2732,22846,89,603,"City of Palos Verdes Estates"
"Paramount",-118.165144,33.89765,56023,3148,5534,31,74,16918,30102,2805,4916,"City of Paramount"
"Pico Rivera",-118.088735,33.990124,64284,3372,5147,84,112,19502,29746,2840,4344,"City of Pico Rivera"
"Pomona",-117.762596,34.058481,155931,7719,4904,148,116,44258,28117,6799,4321,"City of Pomona"
"Rancho Palos Verdes",-118.363522,33.75538,42747,403,1034,13,13,8237,20917,309,820,"City of Rancho Palos Verdes"
"Redondo Beach",-118.376656,33.857406,68697,819,1250,14,22,17839,26534,638,979,"City of Redondo Beach"
"Rolling Hills",-118.347168,33.760022,1940,14,787,0,0,387,22471,7,491,"City of Rolling Hills"
"Rolling Hills Estates",-118.350807,33.778407,8113,63,994,3,18,1815,25550,41,636,"City of Rolling Hills Estates"
"Rosemead",-118.082271,34.068882,55350,1243,2220,31,42,12235,21339,1044,1871,"City of Rosemead"
"San Dimas",-117.808944,34.108201,34516,822,2361,15,32,8954,25259,639,1844,"City of San Dimas"
"San Fernando",-118.436238,34.288671,24612,1491,5953,20,100,9213,37030,1321,5269,"City of San Fernando"
"San Gabriel",-118.099093,34.094844,40954,948,2147,77,129,10271,24172,795,1815,"City of San Gabriel"
"San Marino",-118.113237,34.122367,13277,110,737,3,15,3135,24834,82,531,"City of San Marino"
"Santa Clarita",-118.496479,34.41748,220424,5750,2629,65,32,59365,26706,4813,2203,"City of Santa Clarita"
"Santa Fe Springs",-118.062518,33.933048,18364,758,4132,8,38,5109,27780,656,3577,"City of Santa Fe Springs"
"Santa Monica",-118.481816,34.023052,92446,1402,1455,43,32,36793,38109,1040,1092,"City of Santa Monica"
"Sierra Madre",-118.050332,34.168709,10989,120,1117,4,21,3182,30425,96,880,"City of Sierra Madre"
"Signal Hill",-118.168269,33.803005,11797,375,3212,4,29,3570,30272,336,2859,"City of Signal Hill"
"South El Monte",-118.048315,34.049352,20885,1107,5249,17,93,6081,28800,975,4629,"City of South El Monte"
"South Gate",-118.192526,33.944713,98155,5860,5894,80,106,31742,31972,5111,5135,"City of South Gate"
"South Pasadena",-118.157289,34.11024,26053,386,1431,26,81,9113,35676,311,1168,"City of South Pasadena"
"Temple City",-118.057952,34.102167,36455,691,1781,44,76,8786,23432,597,1550,"City of Temple City"
"Torrance",-118.341633,33.834625,149268,1915,1282,75,36,31890,21007,1473,985,"City of Torrance"
"Vernon",-118.210583,34.001902,209,19,9522,0,0,343,172092,13,6246,"City of Vernon"
"Walnut",-117.859319,34.033461,30532,443,1454,5,9,6286,19783,348,1140,"City of Walnut"
"West Covina",-117.911288,34.055423,108235,3929,3560,74,57,28715,25640,3284,2978,"City of West Covina"
"West Hollywood",-118.371765,34.088278,36951,889,2323,8,14,17135,42113,681,1734,"City of West Hollywood"
"Westlake Village",-118.822005,34.136925,8360,52,648,0,0,418,5207,6,82,"City of Westlake Village"
"Whittier",-118.018806,33.967844,87432,3285,3696,48,52,23421,26460,2682,3026,"City of Whittier"
"Adams Normandie",-118.302397,34.029122,8202,365,4334,5,58,2563,30182,324,3847,"Los Angeles - Adams-Normandie"
"Alsace",-118.362349,34.029571,12445,504,3862,3,34,3477,27159,466,3557,"Los Angeles - Alsace"
"Angeles National Forest",-118.279007,34.275218,40,2,1576,0,0,7,4569,2,1576,"Los Angeles - Angeles National Forest"
