,CITY,ASIAN,BLACK,LATINO,WHITE,NON.WHITE,TOTAL.POP,TOTAL.CASES
0,Agoura Hills,0.005555167575597895,0.0,0.023195658897292432,0.009864352085585495,0.018021997134788522,20883,271
1,Alhambra,0.004239210568292795,0.00664753285127641,0.016810767935868724,0.00691247075476931,0.012955748480445903,86724,1738
2,Arcadia,0.004034983053487154,0.004721346150214349,0.015833201231021856,0.0066075415104736804,0.012337185920158098,57754,716
3,Arleta,0.011997144094478973,0.017556796235822885,0.0478547170295814,0.019507551373136537,0.03693399761130483,34370,2197
4,Artesia,0.006857072074463379,0.010175010175010175,0.027576137236711654,0.011227597434493985,0.02123121202958821,16795,516
5,Atwater Village,0.004773373847912127,0.00479772779611576,0.020425414243112706,0.008169104085278186,0.0157992013028902,14666,383
6,Avalon,0.0,0.0,0.0013727797004320138,0.0,0.0006237431575375618,3869,5
7,Azusa,0.008046657740241013,0.013253318630985198,0.03416160661652862,0.01403391663509831,0.026305408863908315,50040,2063
8,Baldwin Park,0.008725950776240443,0.013200797328158622,0.034687736816559116,0.014271132246657967,0.026757987672736214,76769,4119
9,Bell,0.00454541322351615,0.010227179752911337,0.033887634197812794,0.013405116964267967,0.0260841991572659,36332,2064
10,Bell Gardens,0.004539882871021928,0.007566471451703212,0.03551477208600931,0.014006021623365521,0.027391738203962315,43071,2651
11,Bellflower,0.009244495005185755,0.015516913603276278,0.03705389516320589,0.01538027255804515,0.028592592816000927,77735,3150
12,Beverly Crest,0.004607445632141541,0.01084104854621539,0.02981288350209232,0.01421726080775104,0.025064504238849983,12525,187
13,Beverly Hills,0.012057546390437355,0.01900313762916855,0.04865155143023244,0.020345385872467606,0.037681435298864134,34520,916
14,Beverlywood,0.01577144917087239,0.019580200501253132,0.0593183779119931,0.02734375,0.049342105263157895,13173,229
15,Boyle Heights,0.008984144781289978,0.014374631650063965,0.03563455893889528,0.014015265858812367,0.02746948104352785,86884,5664
16,Bradbury,0.004217345096914591,0.0,0.026509026323463136,0.010737960360222778,0.01861105682886203,1069,22
17,Brentwood,0.00638080653394589,0.010634677556576485,0.026941183143327094,0.011594577193512128,0.021403971284755203,30955,470
18,Burbank,0.00736802140020145,0.011214561984130149,0.029503542997675734,0.012257185660659257,0.02276785938957167,107180,2487
19,Calabasas,0.007381396771166155,0.008646779074794638,0.030182153374283177,0.012990954138814058,0.023933049224878017,24323,398
20,Canoga Park,0.011170920671737927,0.017913622261127308,0.04403425695402605,0.018175488193918874,0.03396924132640969,65289,2852
21,Carson,0.005629301953743065,0.009275873111819481,0.022142157063983252,0.009119774276280771,0.01710592169447098,93846,2469
