City,Cases,CaseRate,AdjustedCaseRate,Deaths,DeathRate,AdjustedDeathRate,Population
City of Agoura Hills,207,991,968,6,29,28,20883
City of Alhambra,1404,1619,1618,33,38,28,86724
City of Arcadia,580,1004,964,39,68,44,57754
City of Artesia,401,2388,2291,10,60,41,16795
City of Avalon,5,129,151,0,0,0,3869
City of Azusa,1703,3403,3414,24,48,58,50040
City of Baldwin Park,3322,4327,4289,94,122,141,76769
City of Bell,1725,4748,4782,42,116,154,36332
City of Bell Gardens,2199,5106,5150,25,58,89,43071
City of Bellflower,2618,3368,3354,63,81,94,77735
City of Beverly Hills,748,2167,2147,12,35,17,34520
City of Bradbury,20,1871,2034,0,0,0,1069
City of Burbank,1855,1731,1648,70,65,51,107180
City of Calabasas,301,1238,1140,13,53,45,24323
City of Carson,2013,2145,2088,65,69,53,93846
City of Cerritos,636,1270,1333,18,36,26,50067
City of Claremont,442,1211,1262,10,27,17,36484
City of Commerce,629,4813,4740,12,92,95,13069
City of Compton,4394,4398,4415,77,77,95,99904
City of Covina,1538,3137,3089,54,110,95,49032
City of Cudahy,1169,4801,4882,18,74,123,24347
City of Culver City,417,1046,1016,28,70,47,39865
City of Diamond Bar,615,1069,1054,10,17,13,57515
City of Downey,4523,3958,3879,88,77,76,114263
City of Duarte,620,2816,2636,31,141,89,22016
City of El Monte,4795,4089,4043,174,148,149,117269
City of El Segundo,141,840,826,1,6,3,16786
City of Gardena,1331,2171,2152,55,90,64,61310
City of Glendale,4406,2134,2007,181,88,60,206493
City of Glendora,1310,2483,2335,76,144,108,52764
City of Hawaiian Gardens,560,3816,3742,2,14,16,14676
City of Hawthorne,2098,2363,2337,49,55,63,88787
City of Hermosa Beach,248,1261,1221,4,20,27,19670
City of Hidden Hills,15,794,495,0,0,0,1890
City of Huntington Park,3169,5327,5336,62,104,136,59484
City of Industry,36,8238,7968,2,458,556,437
City of Inglewood,3163,2785,2747,93,82,88,113582
City of Irwindale,76,5209,5182,2,137,155,1459
City of La Canada Flintridge,190,918,1051,7,34,21,20693
City of La Habra Heights,55,1008,990,1,18,8,5455
City of La Mirada,930,1875,1809,28,56,37,49599
City of La Puente,1701,4180,4097,26,64,63,40697
City of La Verne,542,1629,1684,13,39,20,33282
City of Lakewood,1434,1784,1786,16,20,17,80362
City of Lancaster,4105,2541,2586,68,42,53,161570
City of Lawndale,704,2094,2030,13,39,52,33614
City of Lomita,261,1259,1221,9,43,30,20729
City of Lynwood,3589,4981,5103,105,146,228,72047
City of Malibu,109,841,856,3,23,11,12961
City of Manhattan Beach,402,1117,1117,5,14,13,35999
City of Maywood,1562,5569,5742,36,128,193,28049
City of Monrovia,832,2144,2147,41,106,98,38800
City of Montebello,2521,3916,3880,55,85,68,64375
City of Monterey Park,1023,1643,1600,49,79,37,62262
City of Norwalk,3662,3403,3327,84,78,77,107622
City of Palmdale,4912,3090,3126,79,50,62,158968
City of Palos Verdes Estates,109,806,746,2,15,7,13522
City of Paramount,2619,4675,4610,29,52,70,56023
City of Pico Rivera,2699,4199,4110,79,123,105,64284
City of Pomona,6073,3895,3863,143,92,113,155931
City of Rancho Palos Verdes,333,779,837,13,30,13,42747
City of Redondo Beach,631,919,963,12,17,19,68697
City of Rolling Hills,12,619,704,0,0,0,1940
City of Rolling Hills Estates,47,579,709,2,25,13,8113
City of Rosemead,919,1660,1622,32,58,43,55350
City of San Dimas,588,1704,1689,15,43,32,34516
City of San Fernando,1112,4518,4438,19,77,95,24612
City of San Gabriel,682,1665,1540,68,166,115,40954
City of San Marino,96,723,622,2,15,9,13277
City of Santa Clarita,4117,1868,1880,61,28,30,220424
City of Santa Fe Springs,626,3409,3412,5,27,26,18364
City of Santa Monica,998,1080,1034,40,43,31,92446
City of Sierra Madre,85,774,755,3,27,17,10989
City of Signal Hill,302,2560,2580,4,34,29,11797
City of South El Monte,885,4237,4210,16,77,86,20885
City of South Gate,4871,4963,4892,73,74,97,98155
City of South Pasadena,313,1201,1136,26,100,81,26053
City of Temple City,565,1550,1445,42,115,73,36455
City of Torrance,1553,1040,1028,73,49,35,149268
City of Vernon,13,6220,6559,0,0,0,209
City of Walnut,317,1038,1053,6,20,12,30532
City of West Covina,3204,2960,2898,70,65,54,108235
City of West Hollywood,632,1710,1607,5,14,9,36951
City of Westlake Village,40,478,550,0,0,0,8360
City of Whittier,2527,2890,2845,40,46,43,87432
Los Angeles - Adams-Normandie,302,3682,3609,4,49,48,8202
Los Angeles - Alsace,399,3206,3059,3,24,34,12445
Los Angeles - Angeles National Forest,2,5000,1576,0,0,0,40
Los Angeles - Angelino Heights,79,3157,3263,1,40,38,2502
Los Angeles - Arleta,1660,4830,4716,27,79,91,34370
Los Angeles - Atwater Village,267,1821,1768,8,55,41,14666
Los Angeles - Baldwin Hills,671,2156,2173,29,93,74,31125
Los Angeles - Bel Air,106,1258,1337,0,0,0,8429
Los Angeles - Beverly Crest,144,1150,1437,2,16,9,12525
Los Angeles - Beverlywood,191,1450,1499,0,0,0,13173
Los Angeles - Boyle Heights,4642,5343,5329,75,86,101,86884
