Date,TotalCases,DailyCases,AvgCases,TotalDeaths,NewDeaths,AvgDeaths
10/22/2020,281230,78,878,6590,2,7
10/21/2020,281152,672,1044,6588,6,8
10/20/2020,280480,1225,1130,6582,8,9
10/19/2020,279255,1488,1123,6574,9,10
10/18/2020,277767,498,1120,6565,5,11
10/17/2020,277269,941,1113,6560,4,12
10/16/2020,276328,1242,1119,6556,15,13
10/15/2020,275086,1245,1117,6541,10,12
10/14/2020,273841,1273,1104,6531,12,14
10/13/2020,272568,1171,1109,6519,18,15
10/12/2020,271397,1469,1097,6501,15,15
10/11/2020,269928,450,1074,6486,12,15
10/10/2020,269478,985,1072,6474,8,15
10/9/2020,268493,1226,1043,6466,12,16
10/8/2020,267267,1153,1018,6454,22,16
10/7/2020,266114,1312,1016,6432,20,15
10/6/2020,264802,1087,988,6412,16,14
10/5/2020,263715,1308,982,6396,13,13
10/4/2020,262407,431,939,6383,16,14
10/3/2020,261976,782,940,6367,13,14
10/2/2020,261194,1053,931,6354,11,15
10/1/2020,260141,1140,930,6343,13,16
9/30/2020,259001,1113,934,6330,14,17
9/29/2020,257888,1047,935,6316,9,19
9/28/2020,256841,1006,936,6307,22,20
9/27/2020,255835,440,968,6285,18,19
9/26/2020,255395,716,969,6267,20,19
9/25/2020,254679,1046,967,6247,17,18
9/24/2020,253633,1172,952,6230,18,18
9/23/2020,252461,1120,936,6212,27,18
9/22/2020,251341,1053,940,6185,18,17
9/21/2020,250288,1229,927,6167,15,17
9/20/2020,249059,447,914,6152,16,18
9/19/2020,248612,700,894,6136,16,18
9/18/2020,247912,942,883,6120,14,18
9/17/2020,246970,1062,888,6106,18,20
9/16/2020,245908,1150,869,6088,20,21
9/15/2020,244758,958,852,6068,21,22
9/14/2020,243800,1138,879,6047,18,23
9/13/2020,242662,305,770,6029,19,25
9/12/2020,242357,628,780,6010,19,25
9/11/2020,241729,976,754,5991,25,25
9/10/2020,240753,926,753,5966,25,26
9/9/2020,239827,1033,765,5941,29,26
9/8/2020,238794,1146,789,5912,29,25
9/7/2020,237648,375,779,5883,27,25
9/6/2020,237273,373,901,5856,21,26
9/5/2020,236900,452,907,5835,21,27
9/4/2020,236448,966,962,5814,31,29
9/3/2020,235482,1009,973,5783,24,28
9/2/2020,234473,1203,998,5759,23,29
9/1/2020,233270,1076,1024,5736,29,30
8/31/2020,232194,1227,1048,5707,31,30
8/30/2020,230967,416,1090,5676,32,29
8/29/2020,230551,838,1101,5644,34,28
8/28/2020,229713,1044,1109,5610,22,29
8/27/2020,228669,1179,1142,5588,31,30
8/26/2020,227490,1387,1164,5557,28,31
8/25/2020,226103,1242,1165,5529,30,33
8/24/2020,224861,1525,1195,5499,25,33
8/23/2020,223336,495,1192,5474,29,35
8/22/2020,222841,889,1199,5445,38,36
8/21/2020,221952,1278,1228,5407,32,36
8/20/2020,220674,1332,1247,5375,38,36
8/19/2020,219342,1397,1271,5337,42,35
8/18/2020,217945,1447,1303,5295,29,34
8/17/2020,216498,1507,1334,5266,39,35
8/16/2020,214991,540,1411,5227,36,36
8/15/2020,214451,1092,1426,5191,33,37
8/14/2020,213359,1414,1454,5158,35,37
8/13/2020,211945,1499,1519,5123,31,37
8/12/2020,210446,1625,1571,5092,32,38
8/11/2020,208821,1661,1626,5060,42,38
8/10/2020,207160,2044,1701,5018,43,39
8/9/2020,205116,649,1719,4975,42,39
8/8/2020,204467,1288,1731,4933,35,38
8/7/2020,203179,1866,1781,4898,33,40
8/6/2020,201313,1864,1818,4865,37,41
8/5/2020,199449,2012,1875,4828,34,42
8/4/2020,197437,2183,1921,4794,49,43
8/3/2020,195254,2169,1977,4745,41,40
8/2/2020,193085,734,2038,4704,40,40
8/1/2020,192351,1636,2046,4664,47,41
7/31/2020,190715,2126,2104,4617,40,41
7/30/2020,188589,2266,2159,4577,43,41
7/29/2020,186323,2336,2208,4534,39,40
7/28/2020,183987,2571,2303,4495,32,41
7/27/2020,181416,2597,2398,4463,42,44
7/26/2020,178819,793,2513,4421,42,44
7/25/2020,178026,2037,2551,4379,47,43
7/24/2020,175989,2512,2597,4332,40,41
7/23/2020,173477,2607,2707,4292,38,40
7/22/2020,170870,3003,2821,4254,49,41
7/21/2020,167867,3235,2826,4205,47,39
7/20/2020,164632,3405,2848,4158,42,39
7/19/2020,161227,1060,2870,4116,37,41
7/18/2020,160167,2356,2896,4079,32,40
7/17/2020,157811,3282,2911,4047,36,40
7/16/2020,154529,3407,2909,4011,43,41
7/15/2020,151122,3039,2900,3968,37,39
7/14/2020,148083,3387,2950,3931,48,39
7/13/2020,144696,3561,2960,3883,55,37
7/12/2020,141135,1239,2840,3828,29,34
7/11/2020,139896,2460,2831,3799,33,35
7/10/2020,137436,3269,2610,3766,40,35
7/9/2020,134167,3347,2358,3726,32,34
7/8/2020,130820,3384,2344,3694,35,35
7/7/2020,127436,3460,2351,3659,33,34
7/6/2020,123976,2718,2291,3626,35,35
7/5/2020,121258,1182,2324,3591,39,34
7/4/2020,120076,907,2312,3552,28,34
7/3/2020,119169,1507,2476,3524,33,34
7/2/2020,117662,3253,2667,3491,42,34
7/1/2020,114409,3430,2622,3449,29,31
6/30/2020,110979,3042,2518,3420,37,32
6/29/2020,107937,2949,2451,3383,32,30
6/28/2020,104988,1098,2360,3351,40,30
6/27/2020,103890,2050,2336,3311,24,28
6/26/2020,101840,2850,2255,3287,31,31
6/25/2020,98990,2932,2103,3256,25,31
6/24/2020,96058,2708,1940,3231,37,32
6/23/2020,93350,2568,1822,3194,21,32
