Date,CummulativePersonsTested,CummulativePositivePersons,CummulativePercentPositive,PersonsTested,PositivePersonsAll,PercentPositivePersons,AvgPersonsTested,AvgPositivePersons,CummulativeAvgPercentPosiitvePersons
10/23/2020,2991042,294041,9.80%,5,3,60%,8672,822,9.50%
10/22/2020,2991037,294038,9.80%,2397,295,12.30%,11299,1029,9.10%
10/21/2020,2988640,293743,9.80%,9040,874,9.70%,13345,1192,8.90%
10/20/2020,2979600,292869,9.80%,16162,1456,9%,14544,1286,8.80%
10/19/2020,2963438,291413,9.80%,15150,1345,8.90%,14715,1285,8.70%
10/18/2020,2948288,290068,9.80%,7507,744,9.90%,14582,1282,8.80%
10/17/2020,2940781,289324,9.80%,10445,1038,9.90%,14591,1277,8.80%
10/16/2020,2930336,288286,9.80%,18393,1452,7.90%,14655,1288,8.80%
10/15/2020,2911943,286834,9.90%,16720,1436,8.60%,14370,1278,8.90%
10/14/2020,2895223,285398,9.90%,17429,1533,8.80%,14268,1272,8.90%
10/13/2020,2877794,283865,9.90%,17359,1447,8.30%,14270,1258,8.80%
10/12/2020,2860435,282418,9.90%,14224,1324,9.30%,14228,1235,8.70%
10/11/2020,2846211,281094,9.90%,7565,708,9.40%,14116,1223,8.70%
10/10/2020,2838646,280386,9.90%,10896,1117,10.30%,14100,1207,8.60%
10/9/2020,2827750,279269,9.90%,16395,1384,8.40%,14136,1170,8.30%
10/8/2020,2811355,277885,9.90%,16010,1394,8.70%,14122,1146,8.10%
10/7/2020,2795345,276491,9.90%,17443,1429,8.20%,13813,1115,8.10%
10/6/2020,2777902,275062,9.90%,17060,1287,7.50%,13314,1090,8.20%
10/5/2020,2760842,273775,9.90%,13446,1243,9.20%,12875,1071,8.30%
10/4/2020,2747396,272532,9.90%,7451,595,8%,12527,1034,8.30%
10/3/2020,2739945,271937,9.90%,11145,861,7.70%,12359,1030,8.30%
10/2/2020,2728800,271076,9.90%,16300,1211,7.40%,12137,1024,8.40%
10/1/2020,2712500,269865,9.90%,13847,1182,8.50%,12019,1016,8.50%
9/30/2020,2698653,268683,10%,13946,1252,9%,12214,1017,8.30%
9/29/2020,2684707,267431,10%,13992,1150,8.20%,12429,998,8%
9/28/2020,2670715,266281,10%,11009,990,9%,12639,997,7.90%
9/27/2020,2659706,265291,10%,6277,561,8.90%,13045,1003,7.70%
9/26/2020,2653429,264730,10%,9587,819,8.50%,13098,1002,7.70%
9/25/2020,2643842,263911,10%,15474,1157,7.50%,13061,997,7.60%
9/24/2020,2628368,262754,10%,15215,1187,7.80%,12988,976,7.50%
9/23/2020,2613153,261567,10%,15450,1124,7.30%,13019,965,7.40%
9/22/2020,2597703,260443,10%,15458,1143,7.40%,12978,969,7.50%
9/21/2020,2582245,259300,10%,13857,1029,7.40%,12834,957,7.50%
9/20/2020,2568388,258271,10.10%,6644,554,8.30%,12639,944,7.50%
9/19/2020,2561744,257717,10.10%,9332,787,8.40%,12499,928,7.40%
9/18/2020,2552412,256930,10.10%,14959,1009,6.70%,12494,918,7.30%
9/17/2020,2537453,255921,10.10%,15433,1108,7.20%,12533,904,7.20%
9/16/2020,2522020,254813,10.10%,15161,1155,7.60%,12455,881,7.10%
9/15/2020,2506859,253658,10.10%,14449,1055,7.30%,12440,875,7%
9/14/2020,2492410,252603,10.10%,12495,941,7.50%,12147,863,7.10%
9/13/2020,2479915,251662,10.10%,5664,440,7.80%,10944,785,7.20%
9/12/2020,2474251,251222,10.20%,9294,715,7.70%,10769,777,7.20%
9/11/2020,2464957,250507,10.20%,15235,913,6%,10586,761,7.20%
9/10/2020,2449722,249594,10.20%,14890,945,6.30%,10287,779,7.60%
9/9/2020,2434832,248649,10.20%,15053,1115,7.40%,10186,800,7.90%
9/8/2020,2419779,247534,10.20%,12401,974,7.90%,10132,809,8%
9/7/2020,2407378,246560,10.20%,4072,394,9.70%,10428,836,8%
