"place_ID","date","update","cases","new_cases","last_update"
"West Hills",2020-03-16,1,3,3,NA
"Glendale",2020-03-16,1,2,2,NA
"Agua Dulce",2020-03-16,1,0,0,NA
"Angelino Heights",2020-03-16,1,0,0,NA
"Beverly Crest",2020-03-16,1,0,0,NA
"Bouquet Canyon",2020-03-16,1,0,0,NA
"Canyon Country",2020-03-16,1,0,0,NA
"Cudahy",2020-03-16,1,0,0,NA
"Desert View Highlands",2020-03-16,1,0,0,NA
"Elysian Valley",2020-03-16,1,0,0,NA
"Florence Firestone",2020-03-16,1,0,0,NA
"Glassell Park",2020-03-16,1,0,0,NA
"Gramercy Place",2020-03-16,1,0,0,NA
"Industry",2020-03-16,1,0,0,NA
"Kagel Lopez Canyons",2020-03-16,1,0,0,NA
"La Habra Heights",2020-03-16,1,0,0,NA
"Lakewood",2020-03-16,1,0,0,NA
"Lomita",2020-03-16,1,0,0,NA
"Mandeville Canyon",2020-03-16,1,0,0,NA
"Maywood",2020-03-16,1,0,0,NA
"Northeast San Gabriel",2020-03-16,1,0,0,NA
"Norwalk",2020-03-16,1,0,0,NA
"Park La Brea",2020-03-16,1,0,0,NA
"Rowland Heights",2020-03-16,1,0,0,NA
"San Pasqual",2020-03-16,1,0,0,NA
"Santa Clarita",2020-03-16,1,0,0,NA
"Santa Fe Springs",2020-03-16,1,0,0,NA
"Shadow Hills",2020-03-16,1,0,0,NA
"Signal Hill",2020-03-16,1,0,0,NA
"South Park",2020-03-16,1,0,0,NA
"Sylmar",2020-03-16,1,0,0,NA
"Toluca Woods",2020-03-16,1,0,0,NA
"Van Nuys",2020-03-16,1,0,0,NA
"Wellington Square",2020-03-16,1,0,0,NA
"West Covina",2020-03-16,1,0,0,NA
"West Rancho Dominguez",2020-03-16,1,0,0,NA
"West Whittier Los Nietos",2020-03-16,1,0,0,NA
"Manhattan Beach",2020-03-17,2,4,4,NA
"West Hills",2020-03-17,2,3,0,NA
"Agua Dulce",2020-03-17,2,0,0,NA
"Alsace",2020-03-17,2,0,0,NA
"Angelino Heights",2020-03-17,2,0,0,NA
"Azusa",2020-03-17,2,0,0,NA
"Beverly Crest",2020-03-17,2,0,0,NA
"Bouquet Canyon",2020-03-17,2,0,0,NA
"Bradbury",2020-03-17,2,0,0,NA
"Canyon Country",2020-03-17,2,0,0,NA
"Cudahy",2020-03-17,2,0,0,NA
"Desert View Highlands",2020-03-17,2,0,0,NA
"Duarte",2020-03-17,2,0,0,NA
"Elysian Valley",2020-03-17,2,0,0,NA
"Florence Firestone",2020-03-17,2,0,0,NA
"Glassell Park",2020-03-17,2,0,0,NA
"Gramercy Place",2020-03-17,2,0,0,NA
"Industry",2020-03-17,2,0,0,NA
"Kagel Lopez Canyons",2020-03-17,2,0,0,NA
"La Habra Heights",2020-03-17,2,0,0,NA
"Lomita",2020-03-17,2,0,0,NA
"Los Feliz",2020-03-17,2,0,0,NA
"Mandeville Canyon",2020-03-17,2,0,0,NA
"Maywood",2020-03-17,2,0,0,NA
"Montebello",2020-03-17,2,0,0,NA
"North Hills",2020-03-17,2,0,0,NA
"Northeast San Gabriel",2020-03-17,2,0,0,NA
"Norwalk",2020-03-17,2,0,0,NA
"Park La Brea",2020-03-17,2,0,0,NA
"Rowland Heights",2020-03-17,2,0,0,NA
"San Pasqual",2020-03-17,2,0,0,NA
"Santa Catalina Island",2020-03-17,2,0,0,NA
"Santa Fe Springs",2020-03-17,2,0,0,NA
"Shadow Hills",2020-03-17,2,0,0,NA
"Signal Hill",2020-03-17,2,0,0,NA
"South Park",2020-03-17,2,0,0,NA
"Sylmar",2020-03-17,2,0,0,NA
"Toluca Woods",2020-03-17,2,0,0,NA
"Van Nuys",2020-03-17,2,0,0,NA
"Wellington Square",2020-03-17,2,0,0,NA
"West Covina",2020-03-17,2,0,0,NA
"West Rancho Dominguez",2020-03-17,2,0,0,NA
"West Whittier Los Nietos",2020-03-17,2,0,0,NA
"Wiseburn",2020-03-17,2,0,0,NA
"West Hollywood",2020-03-18,3,11,11,NA
"Hollywood",2020-03-18,3,5,5,NA
"Manhattan Beach",2020-03-18,3,4,0,NA
"West Hills",2020-03-18,3,3,0,NA
"Sylmar",2020-03-18,3,1,1,NA
"Agua Dulce",2020-03-18,3,0,0,NA
"Angelino Heights",2020-03-18,3,0,0,NA
"Azusa",2020-03-18,3,0,0,NA
"Beverly Crest",2020-03-18,3,0,0,NA
"Bouquet Canyon",2020-03-18,3,0,0,NA
"Bradbury",2020-03-18,3,0,0,NA
"Canyon Country",2020-03-18,3,0,0,NA
"Century City",2020-03-18,3,0,0,NA
"Cudahy",2020-03-18,3,0,0,NA
"Desert View Highlands",2020-03-18,3,0,0,NA
"Duarte",2020-03-18,3,0,0,NA
"Elysian Valley",2020-03-18,3,0,0,NA
"Florence Firestone",2020-03-18,3,0,0,NA
"Glassell Park",2020-03-18,3,0,0,NA
"Gramercy Place",2020-03-18,3,0,0,NA
"Historic Filipinotown",2020-03-18,3,0,0,NA
"Industry",2020-03-18,3,0,0,NA
"Kagel Lopez Canyons",2020-03-18,3,0,0,NA
"La Habra Heights",2020-03-18,3,0,0,NA
"Lomita",2020-03-18,3,0,0,NA
"Los Feliz",2020-03-18,3,0,0,NA
"Mandeville Canyon",2020-03-18,3,0,0,NA
"Maywood",2020-03-18,3,0,0,NA
"Montebello",2020-03-18,3,0,0,NA
"North Hills",2020-03-18,3,0,0,NA
"Northeast San Gabriel",2020-03-18,3,0,0,NA
"Norwalk",2020-03-18,3,0,0,NA
"Park La Brea",2020-03-18,3,0,0,NA
"Rowland Heights",2020-03-18,3,0,0,NA
"San Pasqual",2020-03-18,3,0,0,NA
"Santa Catalina Island",2020-03-18,3,0,0,NA
"Santa Fe Springs",2020-03-18,3,0,0,NA
"Shadow Hills",2020-03-18,3,0,0,NA
"Signal Hill",2020-03-18,3,0,0,NA
"South Park",2020-03-18,3,0,0,NA
"Sycamore Square",2020-03-18,3,0,0,NA
"Toluca Woods",2020-03-18,3,0,0,NA
"Van Nuys",2020-03-18,3,0,0,NA
"View Park Windsor Hills",2020-03-18,3,0,0,NA
"Wellington Square",2020-03-18,3,0,0,NA
"West Covina",2020-03-18,3,0,0,NA
"West Rancho Dominguez",2020-03-18,3,0,0,NA
"West Whittier Los Nietos",2020-03-18,3,0,0,NA
"Wiseburn",2020-03-18,3,0,0,NA
"West Hollywood",2020-03-19,4,12,1,NA
"Hollywood",2020-03-19,4,5,0,NA
"Lomita",2020-03-19,4,5,5,NA
"Manhattan Beach",2020-03-19,4,5,1,NA
"Beverly Hills",2020-03-19,4,4,4,NA
"Venice",2020-03-19,4,4,4,NA
"Park La Brea",2020-03-19,4,3,3,NA
"West Hills",2020-03-19,4,3,0,NA
"Santa Monica",2020-03-19,4,2,2,NA
"Torrance",2020-03-19,4,2,2,NA
"Stevenson Ranch",2020-03-19,4,1,1,NA
"Sylmar",2020-03-19,4,1,0,NA
"Van Nuys",2020-03-19,4,1,1,NA
"Agua Dulce",2020-03-19,4,0,0,NA
"Angelino Heights",2020-03-19,4,0,0,NA
"Azusa",2020-03-19,4,0,0,NA
"Beverly Crest",2020-03-19,4,0,0,NA
"Bouquet Canyon",2020-03-19,4,0,0,NA
"Bradbury",2020-03-19,4,0,0,NA
"Brookside",2020-03-19,4,0,0,NA
"Cadillac Corning",2020-03-19,4,0,0,NA
"Canyon Country",2020-03-19,4,0,0,NA
"Carthay",2020-03-19,4,0,0,NA
"Central",2020-03-19,4,0,0,NA
"Country Club Park",2020-03-19,4,0,0,NA
"Crenshaw District",2020-03-19,4,0,0,NA
"Cudahy",2020-03-19,4,0,0,NA
"Desert View Highlands",2020-03-19,4,0,0,NA
"Duarte",2020-03-19,4,0,0,NA
"East Lancaster",2020-03-19,4,0,0,NA
"East Whittier",2020-03-19,4,0,0,NA
"Elysian Valley",2020-03-19,4,0,0,NA
"Florence Firestone",2020-03-19,4,0,0,NA
"Glassell Park",2020-03-19,4,0,0,NA
"Gramercy Place",2020-03-19,4,0,0,NA
"Hacienda Heights",2020-03-19,4,0,0,NA
"Hawaiian Gardens",2020-03-19,4,0,0,NA
"Historic Filipinotown",2020-03-19,4,0,0,NA
"Industry",2020-03-19,4,0,0,NA
"Kagel Lopez Canyons",2020-03-19,4,0,0,NA
"La Habra Heights",2020-03-19,4,0,0,NA
"Lancaster",2020-03-19,4,0,0,NA
"Llano",2020-03-19,4,0,0,NA
"Los Feliz",2020-03-19,4,0,0,NA
"Mandeville Canyon",2020-03-19,4,0,0,NA
"Maywood",2020-03-19,4,0,0,NA
"Montebello",2020-03-19,4,0,0,NA
"North Hills",2020-03-19,4,0,0,NA
