"place_ID","cumulative_cases_today","adj_case_rate","cumulative_deaths_today","adj_death_rate","cumulative_persons_tested_today","adj_test_rate","cumulative_persons_pos_today","adj_test_pos_rate"
"Agoura Hills",231,1084,6,28,5917,27710,202,948
"Alhambra",1501,1729,34,29,23325,26113,1472,1708
"Arcadia",630,1045,40,45,12021,20569,544,924
"Artesia",432,2464,11,47,5360,29077,357,2060
"Avalon",5,151,0,0,66,1689,5,151
"Azusa",1812,3625,25,60,12359,24916,1718,3433
"Baldwin Park",3525,4550,104,155,20407,26138,3308,4259
"Bell",1852,5121,43,159,10733,29492,1792,4936
"Bell Gardens",2346,5496,26,94,12566,29610,2251,5233
"Bellflower",2812,3601,63,93,22104,27955,2683,3443
"Beverly Hills",808,2312,12,17,18679,53861,676,1957
"Bradbury",22,2197,0,0,50,4589,9,1219
"Burbank",2059,1831,74,54,33567,30180,1836,1639
"Calabasas",340,1332,14,48,7124,28961,301,1185
"Carson",2160,2244,66,54,22793,23551,1852,1927
"Cerritos",682,1425,17,25,11243,21906,639,1333
"Claremont",491,1413,10,17,8268,22755,464,1328
"Commerce",691,5206,12,95,4380,33300,674,5083
"Compton",4691,4714,82,101,28870,29197,4579,4587
"Covina",1651,3308,58,102,13145,26151,1478,2967
"Cudahy",1269,5275,18,123,7070,29043,1242,5178
"Culver City",461,1129,28,47,14184,35968,418,1020
"Diamond Bar",700,1193,11,14,11211,18493,659,1113
"Downey",4910,4214,91,78,34718,29675,4753,4082
"Duarte",651,2768,31,89,5881,25841,575,2481
"El Monte",5123,4318,177,151,30257,25356,4941,4158
"El Segundo",155,892,1,3,5213,31095,128,753
"Gardena",1403,2267,56,65,16103,25806,1265,2062
"Glendale",4944,2265,185,61,53488,24917,4225,1952
"Glendora",1395,2490,76,108,11743,21861,1200,2151
"Hawaiian Gardens",587,3917,3,22,3382,22780,590,3940
"Hawthorne",2270,2532,49,63,23031,25602,2138,2378
"Hermosa Beach",279,1372,4,27,6346,31541,242,1191
"Hidden Hills",21,1124,0,0,642,43381,16,867
"Huntington Park",3350,5630,64,141,17226,28770,3160,5294
"Industry",55,12358,2,556,549,126574,37,7520
"Inglewood",3378,2934,93,88,31595,27213,3294,2863
"Irwindale",82,5517,2,155,474,32073,68,4628
"La Canada Flintridge",214,1232,6,17,5845,32887,194,1149
"La Habra Heights",65,1173,1,8,93,1839,9,181
"La Mirada",1009,1960,26,35,10734,20628,939,1830
"La Puente",1815,4377,29,70,10496,25312,1750,4216
"La Verne",601,1843,13,20,7300,21306,522,1646
"Lakewood",1541,1921,16,17,20310,24930,1440,1789
"Lancaster",4774,3002,69,54,35423,22113,4338,2718
"Lawndale",785,2268,13,52,7675,22127,750,2165
"Lomita",279,1306,9,30,4511,21361,216,1017
"Lynwood",3828,5424,105,227,21776,30367,3662,5114
"Malibu",120,946,3,11,3979,29957,89,694
"Manhattan Beach",440,1231,5,13,10318,28658,367,1027
"Maywood",1645,6045,37,200,8162,29422,1601,5897
"Monrovia",903,2326,42,100,10094,25880,847,2173
"Montebello",2769,4262,54,67,20189,30797,2697,4156
"Monterey Park",1093,1722,52,40,15111,23935,1065,1674
"Norwalk",4004,3641,88,81,28775,26095,3746,3400
"Palmdale",5708,3636,80,64,38845,24806,5408,3442
"Palos Verdes Estates",116,803,2,7,2649,21908,85,580
"Paramount",2793,4914,31,74,16388,29172,2707,4752
"Pico Rivera",2898,4422,79,105,18846,28732,2705,4140
"Pomona",6573,4178,144,113,42425,26965,6405,4073
