City,PersonsTested,TestingRate,AdjustedTestingRate,PersonsTestedPositive,PositveTestingRate,AdjustedPositiveTestingRate,Population
City of Agoura Hills,5449,26093,25448,206,986,955,20883
City of Alhambra,21667,24984,24256,1443,1664,1672,86724
City of Arcadia,10941,18944,18740,577,999,964,57754
City of Artesia,5011,29836,27137,365,2173,2116,16795
City of Avalon,67,1732,1704,5,129,151,3869
City of Azusa,11546,23074,23294,1734,3465,3476,50040
City of Baldwin Park,19140,24932,24511,3368,4387,4341,76769
City of Bell,9999,27521,27501,1761,4847,4852,36332
City of Bell Gardens,11658,27067,27476,2214,5140,5145,43071
City of Bellflower,20554,26441,25998,2650,3409,3400,77735
City of Beverly Hills,17585,50941,50666,721,2089,2079,34520
City of Bradbury,58,5426,5227,17,1590,1857,1069
City of Burbank,30645,28592,27476,1827,1705,1632,107180
City of Calabasas,6472,26609,26163,293,1205,1115,24323
City of Carson,20974,22349,21649,1953,2081,2032,93846
City of Cerritos,10300,20572,20096,647,1292,1355,50067
City of Claremont,7461,20450,20521,457,1253,1298,36484
City of Commerce,4060,31066,30850,636,4866,4793,13069
City of Compton,27024,27050,27333,4504,4508,4521,99904
City of Covina,12211,24904,24294,1538,3137,3101,49032
City of Cudahy,6560,26944,26954,1210,4970,5054,24347
City of Culver City,12959,32507,32790,411,1031,1003,39865
City of Diamond Bar,10175,17691,16772,651,1132,1104,57515
City of Downey,32176,28160,27491,4580,4008,3928,114263
City of Duarte,5496,24964,24150,602,2734,2578,22016
City of El Monte,28278,24114,23696,4870,4153,4101,117269
City of El Segundo,4574,27249,27229,135,804,806,16786
City of Gardena,14809,24154,23711,1310,2137,2129,61310
City of Glendale,49319,23884,22915,4244,2055,1950,206493
City of Glendora,10801,20470,20112,1281,2428,2290,52764
City of Hawaiian Gardens,3173,21620,21350,590,4020,3947,14676
City of Hawthorne,21432,24139,23823,2123,2391,2363,88787
City of Hermosa Beach,5801,29492,28858,236,1200,1165,19670
City of Hidden Hills,591,31270,38937,13,688,432,1890
City of Huntington Park,16032,26952,26794,3220,5413,5424,59484
City of Industry,407,93135,95838,34,7780,7388,437
City of Inglewood,29188,25698,25142,3259,2869,2829,113582
City of Irwindale,445,30500,30187,74,5072,5046,1459
City of La Canada Flintridge,5375,25975,29874,180,870,1016,20693
City of La Habra Heights,113,2071,2211,38,697,727,5455
City of La Mirada,9873,19906,18972,930,1875,1815,49599
City of La Puente,9798,24075,23627,1747,4293,4204,40697
City of La Verne,6648,19975,19423,529,1589,1695,33282
City of Lakewood,18694,23262,22921,1465,1823,1817,80362
City of Lancaster,31878,19730,19916,4054,2509,2552,161570
City of Lawndale,7128,21205,20517,718,2136,2066,33614
City of Lomita,4158,20059,19665,235,1134,1104,20729
City of Lynwood,20412,28332,28458,3628,5036,5098,72047
City of Malibu,3689,28462,27590,90,694,705,12961
City of Manhattan Beach,9399,26109,26071,381,1058,1064,35999
City of Maywood,7563,26964,27312,1598,5697,5892,28049
City of Monrovia,9288,23938,23803,856,2206,2200,38800
City of Montebello,18684,29024,28489,2570,3992,3960,64375
City of Monterey Park,13883,22298,21983,1065,1711,1660,62262
City of Norwalk,26659,24771,24170,3690,3429,3342,107622
City of Palmdale,35153,22113,22453,4994,3142,3178,158968
City of Palos Verdes Estates,2447,18096,19782,93,688,661,13522
City of Paramount,15321,27348,27231,2682,4787,4721,56023
City of Pico Rivera,17533,27274,26699,2654,4129,4057,64284
City of Pomona,39246,25169,24947,6374,4088,4043,155931
City of Rancho Palos Verdes,7353,17201,18510,317,742,814,42747
