geo_merge,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
City of Agoura Hills,7037,33697.0,33187,283,1355,1366,20883.0
City of Alhambra,27579,31801.0,31001,2034,2345,2364,86724.0
City of Arcadia,14496,25100.0,24968,787,1363,1374,57754.0
City of Artesia,6091,36267.0,33247,550,3275,3098,16795.0
City of Avalon,61,1577.0,1573,5,129,151,3869.0
City of Azusa,14734,29444.0,29702,2221,4438,4452,50040.0
City of Baldwin Park,25351,33022.0,32554,4464,5815,5735,76769.0
City of Bell,12691,34931.0,34821,2295,6317,6292,36332.0
City of Bell Gardens,14870,34524.0,35044,3004,6975,7035,43071.0
City of Bellflower,25979,33420.0,32867,3465,4457,4428,77735.0
City of Beverly Hills,21131,61214.0,61237,913,2645,2686,34520.0
City of Bradbury,55,5145.0,4808,9,842,1219,1069.0
City of Burbank,40131,37443.0,36285,2644,2467,2371,107180.0
City of Calabasas,8441,34704.0,34735,404,1661,1609,24323.0
City of Carson,27429,29228.0,28475,2526,2692,2645,93846.0
City of Cerritos,13401,26766.0,26302,849,1696,1771,50067.0
City of Claremont,10390,28478.0,29173,723,1982,2123,36484.0
City of Commerce,5258,40233.0,39985,933,7139,7050,13069.0
City of Compton,33840,33873.0,34195,5951,5957,5955,99904.0
City of Covina,16138,32913.0,32220,1998,4075,4011,49032.0
City of Cudahy,8490,34871.0,34828,1688,6933,7010,24347.0
City of Culver City,16833,42225.0,42910,635,1593,1588,39865.0
City of Diamond Bar,13754,23914.0,22828,965,1678,1628,57515.0
City of Downey,41146,36010.0,35207,6360,5566,5463,114263.0
City of Duarte,6954,31586.0,30756,772,3507,3417,22016.0
City of El Monte,35729,30468.0,29937,6498,5541,5466,117269.0
City of El Segundo,6068,36149.0,36316,175,1043,1060,16786.0
City of Gardena,19101,31155.0,30794,1718,2802,2814,61310.0
City of Glendale,63277,30644.0,29640,5797,2807,2696,206493.0
City of Glendora,14426,27341.0,26957,1620,3070,2956,52764.0
City of Hawaiian Gardens,4146,28250.0,27943,794,5410,5302,14676.0
City of Hawthorne,27240,30680.0,30304,3009,3389,3351,88787.0
City of Hermosa Beach,7425,37748.0,36856,336,1708,1645,19670.0
City of Hidden Hills,761,40265.0,53188,24,1270,1701,1890.0
City of Huntington Park,20511,34482.0,34253,4094,6883,6843,59484.0
City of Industry,667,152632.0,154005,41,9382,9876,437.0
City of Inglewood,37117,32679.0,32007,4337,3818,3773,113582.0
City of Irwindale,585,40096.0,39680,91,6237,6166,1459.0
City of La Canada Flintridge,6906,33374.0,39217,253,1223,1607,20693.0
City of La Habra Heights,105,1925.0,2205,9,165,181,5455.0
City of La Mirada,12987,26184.0,25148,1333,2688,2630,49599.0
City of La Puente,12706,31221.0,30666,2342,5755,5647,40697.0
City of La Verne,9045,27177.0,26634,823,2473,2569,33282.0
City of Lakewood,24418,30385.0,30043,1997,2485,2476,80362.0
City of Lancaster,43716,27057.0,27235,6425,3977,4001,161570.0
City of Lawndale,9121,27135.0,26324,1029,3061,2974,33614.0
City of Lomita,5272,25433.0,25030,279,1346,1343,20729.0
City of Lynwood,25517,35417.0,35592,4803,6666,6716,72047.0
City of Malibu,4648,35861.0,35617,121,934,923,12961.0
City of Manhattan Beach,12060,33501.0,33677,481,1336,1341,35999.0
City of Maywood,9672,34483.0,34828,1933,6892,7084,28049.0
City of Monrovia,12229,31518.0,31484,1128,2907,2931,38800.0
City of Montebello,23764,36915.0,36350,3591,5578,5543,64375.0
City of Monterey Park,17947,28825.0,28556,1417,2276,2264,62262.0
City of Norwalk,34506,32062.0,31318,5205,4836,4729,107622.0
City of Palmdale,47997,30193.0,30602,8054,5066,5113,158968.0
City of Palos Verdes Estates,3161,23377.0,26620,109,806,822,13522.0
City of Paramount,19335,34513.0,34377,3513,6271,6160,56023.0
City of Pico Rivera,22772,35424.0,34773,3765,5857,5763,64284.0
City of Pomona,51459,33001.0,32656,9005,5775,5726,155931.0
City of Rancho Palos Verdes,9253,21646.0,23745,376,880,997,42747.0
City of Redondo Beach,20488,29824.0,30571,877,1277,1347,68697.0
City of Rolling Hills,443,22835.0,26360,9,464,803,1940.0
City of Rolling Hills Estates,2073,25552.0,29764,53,653,869,8113.0
City of Rosemead,14070,25420.0,24571,1452,2623,2606,55350.0
City of San Dimas,10592,30687.0,30111,979,2836,2784,34516.0
City of San Fernando,11026,44799.0,44365,1824,7411,7276,24612.0
City of San Gabriel,11775,28752.0,27873,1087,2654,2479,40954.0
City of San Marino,3754,28274.0,30138,115,866,854,13277.0
City of Santa Clarita,69054,31328.0,31097,6408,2907,2932,220424.0
City of Santa Fe Springs,5963,32471.0,32531,877,4776,4808,18364.0
