date_use,cumulative_tests,cumulative_tests_pos,percent_positive_tests_cum,tests,tests_pos,percent_positive_tests,avg_tests,avg_pos_tests,percent_positive_avg_tests
2020-12-04,8109497,523359,6.5%,1,0,0%,40759.0,4800.0,11.8%
2020-12-03,8109496,523359,6.5%,1025,172,16.8%,45806.0,5434.0,11.9%
2020-12-02,8108471,523187,6.5%,20320,2111,10.4%,46901.0,5590.0,11.9%
2020-12-01,8088151,521076,6.4%,78783,8933,11.3%,56061.0,6346.0,11.3%
2020-11-30,8009368,512143,6.4%,101255,10546,10.4%,59314.0,6080.0,10.3%
2020-11-29,7908113,501597,6.3%,24687,3350,13.6%,59232.0,5491.0,9.3%
2020-11-28,7883426,498247,6.3%,59241,8488,14.3%,59957.0,5373.0,9%
2020-11-27,7824185,489759,6.3%,35334,4438,12.6%,59587.0,4793.0,8%
2020-11-26,7788851,485321,6.2%,8684,1265,14.6%,66745.0,5013.0,7.5%
2020-11-25,7780167,484056,6.2%,84440,7405,8.8%,76959.0,5594.0,7.3%
2020-11-24,7695727,476651,6.2%,101555,7070,7%,77382.0,5338.0,6.9%
2020-11-23,7594172,469581,6.2%,100685,6421,6.4%,75023.0,5114.0,6.8%
2020-11-22,7493487,463160,6.2%,29763,2522,8.5%,72247.0,4982.0,6.9%
2020-11-21,7463724,460638,6.2%,56650,4431,7.8%,71017.0,4902.0,6.9%
2020-11-20,7407074,456207,6.2%,85438,5977,7%,69162.0,4780.0,6.9%
2020-11-19,7321636,450230,6.1%,80181,5331,6.6%,67167.0,4573.0,6.8%
2020-11-18,7241455,444899,6.1%,87401,5613,6.4%,65739.0,4387.0,6.7%
2020-11-17,7154054,439286,6.1%,85044,5505,6.5%,62420.0,4097.0,6.6%
2020-11-16,7069010,433781,6.1%,81249,5496,6.8%,59846.0,3793.0,6.3%
2020-11-15,6987761,428285,6.1%,21159,1963,9.3%,57954.0,3511.0,6.1%
2020-11-14,6966602,426322,6.1%,43661,3576,8.2%,56996.0,3374.0,5.9%
2020-11-13,6922941,422746,6.1%,71472,4525,6.3%,55416.0,3182.0,5.7%
2020-11-12,6851469,418221,6.1%,70188,4033,5.7%,53712.0,2969.0,5.5%
2020-11-11,6781281,414188,6.1%,64169,3578,5.6%,52257.0,2820.0,5.4%
2020-11-10,6717112,410610,6.1%,67022,3378,5%,52215.0,2729.0,5.2%
2020-11-09,6650090,407232,6.1%,68009,3522,5.2%,50950.0,2609.0,5.1%
2020-11-08,6582081,403710,6.1%,14450,1009,7%,50206.0,2524.0,5%
2020-11-07,6567631,402701,6.1%,32599,2228,6.8%,49988.0,2499.0,5%
2020-11-06,6535032,400473,6.1%,59547,3033,5.1%,49204.0,2418.0,4.9%
2020-11-05,6475485,397440,6.1%,60006,2995,5%,47651.0,2293.0,4.8%
2020-11-04,6415479,394445,6.1%,63874,2936,4.6%,47032.0,2156.0,4.6%
2020-11-03,6351605,391509,6.2%,58163,2537,4.4%,46526.0,1981.0,4.3%
2020-11-02,6293442,388972,6.2%,62800,2929,4.7%,46649.0,1885.0,4%
2020-11-01,6230642,386043,6.2%,12924,835,6.5%,46024.0,1768.0,3.8%
2020-10-31,6217718,385208,6.2%,27115,1660,6.1%,46019.0,1735.0,3.8%
2020-10-30,6190603,383548,6.2%,48677,2157,4.4%,45887.0,1698.0,3.7%
2020-10-29,6141926,381391,6.2%,55672,2039,3.7%,46025.0,1686.0,3.7%
2020-10-28,6086254,379352,6.2%,60330,1711,2.8%,45389.0,1660.0,3.7%
2020-10-27,6025924,377641,6.3%,59023,1862,3.2%,44736.0,1689.0,3.8%
2020-10-26,5966901,375779,6.3%,58424,2114,3.6%,43985.0,1693.0,3.8%
2020-10-25,5908477,373665,6.3%,12893,600,4.7%,43362.0,1709.0,3.9%
2020-10-24,5895584,373065,6.3%,26187,1403,5.4%,43171.0,1721.0,4%
2020-10-23,5869397,371662,6.3%,49643,2070,4.2%,42906.0,1706.0,4%
2020-10-22,5819754,369592,6.4%,51226,1857,3.6%,42700.0,1663.0,3.9%
2020-10-21,5768528,367735,6.4%,55759,1915,3.4%,42465.0,1645.0,3.9%
2020-10-20,5712769,365820,6.4%,53765,1892,3.5%,42063.0,1610.0,3.8%
2020-10-19,5659004,363928,6.4%,54059,2229,4.1%,41625.0,1558.0,3.7%
2020-10-18,5604945,361699,6.5%,11561,679,5.9%,40965.0,1507.0,3.7%
2020-10-17,5593384,361020,6.5%,24326,1303,5.4%,40967.0,1493.0,3.6%
2020-10-16,5569058,359717,6.5%,48205,1765,3.7%,41054.0,1502.0,3.7%
2020-10-15,5520853,357952,6.5%,49578,1729,3.5%,40788.0,1486.0,3.6%
2020-10-14,5471275,356223,6.5%,52945,1675,3.2%,40532.0,1457.0,3.6%
2020-10-13,5418330,354548,6.5%,50701,1525,3%,40463.0,1458.0,3.6%
2020-10-12,5367629,353023,6.6%,49442,1872,3.8%,40383.0,1436.0,3.6%
2020-10-11,5318187,351151,6.6%,11570,579,5%,40302.0,1428.0,3.5%
2020-10-10,5306617,350572,6.6%,24936,1368,5.5%,40277.0,1417.0,3.5%
2020-10-09,5281681,349204,6.6%,46346,1655,3.6%,40271.0,1378.0,3.4%
2020-10-08,5235335,347549,6.6%,47781,1523,3.2%,40028.0,1354.0,3.4%
2020-10-07,5187554,346026,6.7%,52468,1686,3.2%,38989.0,1341.0,3.4%
2020-10-06,5135086,344340,6.7%,50141,1368,2.7%,37906.0,1313.0,3.5%
2020-10-05,5084945,342972,6.7%,48872,1817,3.7%,36714.0,1317.0,3.6%
2020-10-04,5036073,341155,6.8%,11397,500,4.4%,34955.0,1261.0,3.6%
2020-10-03,5024676,340655,6.8%,24891,1099,4.4%,34672.0,1264.0,3.6%
2020-10-02,4999785,339556,6.8%,44646,1488,3.3%,34091.0,1257.0,3.7%
2020-10-01,4955139,338068,6.8%,40511,1429,3.5%,32969.0,1255.0,3.8%
2020-09-30,4914628,336639,6.8%,44883,1493,3.3%,32947.0,1263.0,3.8%
2020-09-29,4869745,335146,6.9%,41799,1394,3.3%,32911.0,1246.0,3.8%
2020-09-28,4827946,333752,6.9%,36559,1426,3.9%,33117.0,1232.0,3.7%
2020-09-27,4791387,332326,6.9%,9415,521,5.5%,34012.0,1256.0,3.7%
2020-09-26,4781972,331805,6.9%,20826,1050,5%,34012.0,1256.0,3.7%
2020-09-25,4761146,330755,6.9%,36789,1473,4%,33976.0,1245.0,3.7%
2020-09-24,4724357,329282,7%,40357,1487,3.7%,33972.0,1226.0,3.6%
2020-09-23,4684000,327795,7%,44632,1371,3.1%,33902.0,1209.0,3.6%
2020-09-22,4639368,326424,7%,43244,1297,3%,33362.0,1222.0,3.7%
2020-09-21,4596124,325127,7.1%,42821,1591,3.7%,32795.0,1215.0,3.7%
2020-09-20,4553303,323536,7.1%,9413,523,5.6%,32253.0,1212.0,3.8%
2020-09-19,4543890,323013,7.1%,20576,975,4.7%,31953.0,1182.0,3.7%
2020-09-18,4523314,322038,7.1%,36761,1339,3.6%,31938.0,1173.0,3.7%
2020-09-17,4486553,320699,7.1%,39866,1365,3.4%,31925.0,1168.0,3.7%
2020-09-16,4446687,319334,7.2%,40854,1463,3.6%,31479.0,1152.0,3.7%
2020-09-15,4405833,317871,7.2%,39272,1248,3.2%,31275.0,1145.0,3.7%
2020-09-14,4366561,316623,7.3%,39031,1573,4%,31815.0,1206.0,3.8%
2020-09-13,4327530,315050,7.3%,7308,308,4.2%,27605.0,1048.0,3.8%
2020-09-12,4320222,314742,7.3%,20471,918,4.5%,27797.0,1072.0,3.9%
2020-09-11,4299751,313824,7.3%,36670,1304,3.6%,26485.0,1021.0,3.9%
2020-09-10,4263081,312520,7.3%,36744,1252,3.4%,25918.0,1042.0,4%
2020-09-09,4226337,311268,7.4%,39427,1411,3.6%,25414.0,1068.0,4.2%
2020-09-08,4186910,309857,7.4%,43051,1674,3.9%,25417.0,1092.0,4.3%
2020-09-07,4143859,308183,7.4%,9563,466,4.9%,24484.0,1058.0,4.3%
2020-09-06,4134296,307717,7.4%,8651,478,5.5%,28205.0,1245.0,4.4%
2020-09-05,4125645,307239,7.4%,11290,560,5%,28291.0,1248.0,4.4%
2020-09-04,4114355,306679,7.5%,32702,1452,4.4%,29680.0,1348.0,4.5%
2020-09-03,4081653,305227,7.5%,33216,1437,4.3%,29631.0,1373.0,4.6%
2020-09-02,4048437,303790,7.5%,39448,1577,4%,29546.0,1407.0,4.8%
2020-09-01,4008989,302213,7.5%,36520,1436,3.9%,29725.0,1448.0,4.9%
2020-08-31,3972469,300777,7.6%,35609,1776,5%,29781.0,1499.0,5%
2020-08-30,3936860,299001,7.6%,9251,497,5.4%,29956.0,1546.0,5.2%
2020-08-29,3927609,298504,7.6%,21017,1260,6%,29978.0,1570.0,5.2%
2020-08-28,3906592,297244,7.6%,32358,1629,5%,30032.0,1595.0,5.3%
2020-08-27,3874234,295615,7.6%,32622,1677,5.1%,30490.0,1651.0,5.4%
2020-08-26,3841612,293938,7.7%,40699,1860,4.6%,30652.0,1683.0,5.5%
2020-08-25,3800913,292078,7.7%,36910,1795,4.9%,30326.0,1703.0,5.6%
2020-08-24,3764003,290283,7.7%,36838,2106,5.7%,30431.0,1736.0,5.7%
2020-08-23,3727165,288177,7.7%,9400,661,7%,30526.0,1756.0,5.8%
2020-08-22,3717765,287516,7.7%,21397,1436,6.7%,30601.0,1763.0,5.8%
2020-08-21,3696368,286080,7.7%,35566,2019,5.7%,30747.0,1802.0,5.9%
2020-08-20,3660802,284061,7.8%,33752,1904,5.6%,30551.0,1822.0,6%
2020-08-19,3627050,282157,7.8%,38416,2003,5.2%,31002.0,1863.0,6%
2020-08-18,3588634,280154,7.8%,37645,2025,5.4%,31624.0,1930.0,6.1%
2020-08-17,3550989,278129,7.8%,37508,2245,6%,32334.0,1980.0,6.1%
2020-08-16,3513481,275884,7.9%,9922,706,7.1%,33297.0,2089.0,6.3%
2020-08-15,3503559,275178,7.9%,22418,1713,7.6%,33501.0,2104.0,6.3%
2020-08-14,3481141,273465,7.9%,34196,2157,6.3%,33952.0,2136.0,6.3%
2020-08-13,3446945,271308,7.9%,36911,2189,5.9%,35285.0,2240.0,6.3%
2020-08-12,3410034,269119,7.9%,42769,2473,5.8%,36520.0,2320.0,6.4%
2020-08-11,3367265,266646,7.9%,42616,2377,5.6%,37079.0,2366.0,6.4%
2020-08-10,3324649,264269,7.9%,44247,3011,6.8%,38638.0,2468.0,6.4%
2020-08-09,3280402,261258,8%,11347,810,7.1%,38731.0,2490.0,6.4%
2020-08-08,3269055,260448,8%,25581,1935,7.6%,38901.0,2503.0,6.4%
2020-08-07,3243474,258513,8%,43527,2883,6.6%,39628.0,2558.0,6.5%
2020-08-06,3199947,255630,8%,45556,2751,6%,40676.0,2597.0,6.4%
2020-08-05,3154391,252879,8%,46677,2792,6%,41216.0,2660.0,6.5%
2020-08-04,3107714,250087,8%,53531,3096,5.8%,41948.0,2730.0,6.5%
2020-08-03,3054183,246991,8.1%,44901,3160,7%,42408.0,2783.0,6.6%
2020-08-02,3009282,243831,8.1%,12535,901,7.2%,44606.0,2864.0,6.4%
2020-08-01,2996747,242930,8.1%,30666,2321,7.6%,44672.0,2876.0,6.4%
2020-07-31,2966081,240609,8.1%,50864,3158,6.2%,44452.0,2967.0,6.7%
2020-07-30,2915217,237451,8.1%,49335,3190,6.5%,42842.0,3076.0,7.2%
2020-07-29,2865882,234261,8.2%,51805,3285,6.3%,42840.0,3215.0,7.5%
2020-07-28,2814077,230976,8.2%,56752,3465,6.1%,43108.0,3322.0,7.7%
2020-07-27,2757325,227511,8.3%,60284,3731,6.2%,43863.0,3439.0,7.8%
2020-07-26,2697041,223780,8.3%,12998,983,7.6%,44187.0,3546.0,8%
2020-07-25,2684043,222797,8.3%,29123,2956,10.2%,44850.0,3569.0,8%
2020-07-24,2654920,219841,8.3%,39596,3922,9.9%,45351.0,3558.0,7.8%
2020-07-23,2615324,215919,8.3%,49320,4161,8.4%,47194.0,3584.0,7.6%
2020-07-22,2566004,211758,8.3%,53681,4038,7.5%,48340.0,3603.0,7.5%
2020-07-21,2512323,207720,8.3%,62038,4283,6.9%,48014.0,3564.0,7.4%
2020-07-20,2450285,203437,8.3%,62556,4481,7.2%,46477.0,3563.0,7.7%
2020-07-19,2387729,198956,8.3%,17633,1144,6.5%,44643.0,3555.0,8%
2020-07-18,2370096,197812,8.3%,32632,2878,8.8%,43785.0,3579.0,8.2%
2020-07-17,2337464,194934,8.3%,52498,4100,7.8%,43535.0,3596.0,8.3%
2020-07-16,2284966,190834,8.4%,57343,4299,7.5%,42547.0,3581.0,8.4%
2020-07-15,2227623,186535,8.4%,51396,3765,7.3%,40916.0,3577.0,8.7%
2020-07-14,2176227,182770,8.4%,51281,4274,8.3%,40272.0,3628.0,9%
2020-07-13,2124946,178496,8.4%,49715,4426,8.9%,39422.0,3615.0,9.2%
2020-07-12,2075231,174070,8.4%,11628,1308,11.2%,37325.0,3438.0,9.2%
2020-07-11,2063603,172762,8.4%,30883,2998,9.7%,37117.0,3426.0,9.2%
2020-07-10,2032720,169764,8.4%,45580,4000,8.8%,33669.0,3127.0,9.3%
2020-07-09,1987140,165764,8.3%,45926,4270,9.3%,29795.0,2810.0,9.4%
2020-07-08,1941214,161494,8.3%,46890,4122,8.8%,29775.0,2775.0,9.3%
2020-07-07,1894324,157372,8.3%,45330,4179,9.2%,29168.0,2751.0,9.4%
2020-07-06,1848994,153193,8.3%,35040,3190,9.1%,28334.0,2673.0,9.4%
2020-07-05,1813954,150003,8.3%,10172,1222,12%,28938.0,2731.0,9.4%
2020-07-04,1803782,148781,8.2%,6748,905,13.4%,28940.0,2709.0,9.4%
2020-07-03,1797034,147876,8.2%,18460,1783,9.7%,31719.0,2952.0,9.3%
2020-07-02,1778574,146093,8.2%,45785,4021,8.8%,34723.0,3199.0,9.2%
2020-07-01,1732789,142072,8.2%,42638,3959,9.3%,33834.0,3135.0,9.3%
2020-06-30,1690151,138113,8.2%,39492,3634,9.2%,32719.0,3034.0,9.3%
2020-06-29,1650659,134479,8.1%,39271,3593,9.1%,31828.0,2950.0,9.3%
2020-06-28,1611388,130886,8.1%,10186,1065,10.5%,30717.0,2842.0,9.3%
2020-06-27,1601202,129821,8.1%,26202,2609,10%,30498.0,2835.0,9.3%
2020-06-26,1575000,127212,8.1%,39485,3511,8.9%,29123.0,2744.0,9.4%
2020-06-25,1535515,123701,8.1%,39566,3576,9%,27558.0,2601.0,9.4%
2020-06-24,1495949,120125,8%,34829,3252,9.3%,25861.0,2464.0,9.5%
2020-06-23,1461120,116873,8%,33257,3044,9.2%,24812.0,2371.0,9.6%
2020-06-22,1427863,113829,8%,31494,2834,9%,24083.0,2274.0,9.4%
2020-06-21,1396369,110995,7.9%,8650,1019,11.8%,23806.0,2211.0,9.3%
2020-06-20,1387719,109976,7.9%,16579,1971,11.9%,23688.0,2165.0,9.1%
2020-06-19,1371140,108005,7.9%,28532,2513,8.8%,23785.0,2094.0,8.8%
2020-06-18,1342608,105492,7.9%,27686,2614,9.4%,23847.0,2000.0,8.4%
2020-06-17,1314922,102878,7.8%,27489,2602,9.5%,23874.0,1924.0,8.1%
2020-06-16,1287433,100276,7.8%,28154,2364,8.4%,24152.0,1854.0,7.7%
2020-06-15,1259279,97912,7.8%,29553,2395,8.1%,24559.0,1776.0,7.2%
2020-06-14,1229726,95517,7.8%,7821,693,8.9%,24362.0,1723.0,7.1%
2020-06-13,1221905,94824,7.8%,17260,1476,8.6%,24291.0,1701.0,7%
2020-06-12,1204645,93348,7.7%,28964,1858,6.4%,24808.0,1682.0,6.8%
2020-06-11,1175681,91490,7.8%,27874,2079,7.5%,24748.0,1672.0,6.8%
