geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
City of Agoura Hills,314,1504,1511,7,34,31,20883
City of Alhambra,2073,2390,2400,34,39,30,86724
City of Arcadia,877,1519,1504,40,69,45,57754
City of Artesia,649,3864,3630,13,77,58,16795
City of Avalon,5,129,151,0,0,0,3869
City of Azusa,2346,4688,4709,30,60,71,50040
City of Baldwin Park,4737,6170,6101,111,145,165,76769
City of Bell,2363,6504,6494,47,129,175,36332
City of Bell Gardens,3096,7188,7295,32,74,125,43071
City of Bellflower,3599,4630,4594,66,85,99,77735
City of Beverly Hills,1054,3053,3063,10,29,14,34520
City of Bradbury,27,2526,2808,0,0,0,1069
City of Burbank,2925,2729,2613,95,89,72,107180
City of Calabasas,450,1850,1792,13,53,44,24323
City of Carson,2926,3118,3062,64,68,54,93846
City of Cerritos,900,1798,1875,17,34,25,50067
City of Claremont,753,2064,2206,11,30,19,36484
City of Commerce,943,7216,7119,14,107,107,13069
City of Compton,6073,6079,6087,81,81,100,99904
City of Covina,2202,4491,4411,62,126,108,49032
City of Cudahy,1717,7052,7117,18,74,121,24347
City of Culver City,686,1721,1714,34,85,58,39865
City of Diamond Bar,1020,1773,1730,16,28,21,57515
City of Downey,6522,5708,5599,101,88,87,114263
City of Duarte,857,3893,3737,37,168,108,22016
City of El Monte,6688,5703,5634,191,163,164,117269
City of El Segundo,209,1245,1237,1,6,3,16786
City of Gardena,1881,3068,3062,66,108,79,61310
City of Glendale,6676,3233,3084,199,96,66,206493
City of Glendora,1861,3527,3376,82,155,116,52764
City of Hawaiian Gardens,786,5356,5246,3,20,22,14676
City of Hawthorne,3177,3578,3546,58,65,76,88787
City of Hermosa Beach,373,1896,1832,4,20,27,19670
City of Hidden Hills,29,1534,1958,0,0,0,1890
City of Huntington Park,4268,7175,7152,66,111,143,59484
City of Industry,55,12586,13102,2,458,556,437
City of Inglewood,4453,3921,3870,98,86,92,113582
City of Irwindale,102,6991,6912,2,137,155,1459
City of La Canada Flintridge,280,1353,1711,6,29,17,20693
City of La Habra Heights,69,1265,1237,1,18,8,5455
City of La Mirada,1402,2827,2763,28,56,38,49599
City of La Puente,2430,5971,5865,30,74,73,40697
City of La Verne,901,2707,2766,16,48,31,33282
City of Lakewood,2086,2596,2597,16,20,17,80362
City of Lancaster,6939,4295,4337,77,48,59,161570
City of Lawndale,1080,3213,3118,13,39,52,33614
City of Lomita,353,1703,1689,9,43,31,20729
City of Lynwood,4977,6908,7039,116,161,255,72047
City of Malibu,161,1242,1261,3,23,11,12961
City of Manhattan Beach,558,1550,1560,4,11,10,35999
City of Maywood,1977,7048,7224,41,146,220,28049
City of Monrovia,1189,3064,3098,41,106,97,38800
City of Montebello,3682,5720,5674,58,90,73,64375
City of Monterey Park,1462,2348,2342,59,95,45,62262
City of Norwalk,5466,5079,4971,100,93,91,107622
City of Palmdale,8393,5280,5330,84,53,67,158968
City of Palos Verdes Estates,152,1124,1189,2,15,7,13522
City of Paramount,3593,6413,6313,33,59,77,56023
City of Pico Rivera,3965,6168,6054,88,137,118,64284
City of Pomona,9224,5915,5861,156,100,122,155931
City of Rancho Palos Verdes,452,1057,1168,11,26,12,42747
City of Redondo Beach,984,1432,1509,13,19,20,68697
City of Rolling Hills,16,825,1099,0,0,0,1940
City of Rolling Hills Estates,72,887,1233,3,37,18,8113
City of Rosemead,1489,2690,2656,32,58,44,55350
City of San Dimas,1051,3045,3003,16,46,33,34516
City of San Fernando,1802,7322,7181,24,98,118,24612
City of San Gabriel,1106,2701,2524,98,239,162,40954
City of San Marino,136,1024,1014,3,23,15,13277
City of Santa Clarita,6752,3063,3086,66,30,33,220424
City of Santa Fe Springs,914,4977,4996,10,54,48,18364
City of Santa Monica,1597,1727,1667,48,52,35,92446
City of Sierra Madre,141,1283,1283,4,36,21,10989
City of Signal Hill,421,3569,3619,4,34,29,11797
City of South El Monte,1289,6172,6134,18,86,100,20885
City of South Gate,6726,6852,6761,83,85,110,98155
City of South Pasadena,451,1731,1702,27,104,83,26053
City of Temple City,838,2299,2169,48,132,84,36455
City of Torrance,2207,1479,1477,77,52,37,149268
City of Vernon,24,11483,17378,0,0,0,209
City of Walnut,564,1847,1885,5,16,9,30532
City of West Covina,4586,4237,4161,75,69,58,108235
City of West Hollywood,979,2649,2572,9,24,15,36951
City of Westlake Village,57,682,680,0,0,0,8360
City of Whittier,3947,4514,4443,60,69,65,87432
Los Angeles - Adams-Normandie,429,5230,5076,5,61,58,8202
Los Angeles - Alsace,563,4524,4312,3,24,34,12445
Los Angeles - Angeles National Forest,2,5000,1576,0,0,0,40
Los Angeles - Angelino Heights,100,3997,4117,1,40,38,2502
Los Angeles - Arleta,2517,7323,7125,29,84,99,34370
Los Angeles - Atwater Village,435,2966,2968,8,55,41,14666
Los Angeles - Baldwin Hills,936,3007,3043,29,93,75,31125
Los Angeles - Bel Air,135,1602,1772,0,0,0,8429
Los Angeles - Beverly Crest,229,1828,2237,2,16,9,12525
Los Angeles - Beverlywood,273,2072,2181,0,0,0,13173
Los Angeles - Boyle Heights,6404,7371,7358,85,98,116,86884
Los Angeles - Brentwood,557,1799,1737,5,16,14,30955
Los Angeles - Brookside,6,1033,1017,0,0,0,581
Los Angeles - Cadillac-Corning,219,3075,3036,1,14,27,7121
Los Angeles - Canoga Park,3333,5105,5071,74,113,148,65289
Los Angeles - Carthay,374,2604,3459,18,125,61,14363
Los Angeles - Central,3034,7781,7905,47,121,187,38992
