date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
2020-12-03,409306,157,4354.0,7425,10,20.0
2020-12-02,409149,1729,4476.0,7415,15,22.0
2020-12-01,407420,7287,5039.0,7400,27,23.0
2020-11-30,400133,8446,4760.0,7373,24,23.0
2020-11-29,391687,2826,4245.0,7349,23,25.0
2020-11-28,388861,6306,4139.0,7326,25,26.0
2020-11-27,382555,3725,3696.0,7301,19,26.0
2020-11-26,378830,1016,3850.0,7282,22,26.0
2020-11-25,377814,5664,4334.0,7260,21,28.0
2020-11-24,372150,5334,4234.0,7239,28,27.0
2020-11-23,366816,4847,4191.0,7211,38,28.0
2020-11-22,361969,2082,4172.0,7173,30,26.0
2020-11-21,359887,3206,4136.0,7143,24,25.0
2020-11-20,356681,4798,4051.0,7119,20,24.0
2020-11-19,351883,4405,3846.0,7099,34,24.0
2020-11-18,347478,4964,3677.0,7065,18,22.0
2020-11-17,342514,5035,3432.0,7047,33,21.0
2020-11-16,337479,4717,3161.0,7014,23,19.0
2020-11-15,332762,1826,2945.0,6991,20,18.0
2020-11-14,330936,2615,2844.0,6971,17,17.0
2020-11-13,328321,3363,2747.0,6954,22,16.0
2020-11-12,324958,3221,2609.0,6932,18,15.0
2020-11-11,321737,3246,2510.0,6914,16,14.0
2020-11-10,318491,3138,2400.0,6898,15,13.0
2020-11-09,315353,3208,2231.0,6883,15,13.0
2020-11-08,312145,1120,2046.0,6868,13,12.0
2020-11-07,311025,1932,1999.0,6855,11,13.0
2020-11-06,309093,2395,1885.0,6844,18,13.0
2020-11-05,306698,2532,1735.0,6826,8,12.0
2020-11-04,304166,2472,1559.0,6818,10,13.0
2020-11-03,301694,1961,1379.0,6808,13,14.0
2020-11-02,299733,1909,1286.0,6795,12,14.0
2020-11-01,297824,791,1224.0,6783,18,14.0
2020-10-31,297033,1136,1218.0,6765,13,14.0
2020-10-30,295897,1343,1210.0,6752,9,14.0
2020-10-29,294554,1299,1242.0,6743,17,16.0
2020-10-28,293255,1212,1295.0,6726,13,15.0
2020-10-27,292043,1309,1364.0,6713,17,15.0
2020-10-26,290734,1477,1413.0,6696,13,15.0
2020-10-25,289257,751,1463.0,6683,16,15.0
2020-10-24,288506,1077,1448.0,6667,14,14.0
2020-10-23,287429,1569,1441.0,6653,19,14.0
2020-10-22,285860,1673,1409.0,6634,14,14.0
2020-10-21,284187,1695,1367.0,6620,15,14.0
2020-10-20,282492,1650,1316.0,6605,14,14.0
2020-10-19,280842,1829,1256.0,6591,16,15.0
2020-10-18,279013,641,1213.0,6575,9,15.0
2020-10-17,278372,1033,1192.0,6566,11,16.0
2020-10-16,277339,1340,1194.0,6555,18,15.0
2020-10-15,275999,1380,1181.0,6537,14,14.0
2020-10-14,274619,1339,1157.0,6523,17,15.0
2020-10-13,273280,1227,1154.0,6506,19,16.0
2020-10-12,272053,1529,1108.0,6487,15,15.0
2020-10-11,270524,499,1047.0,6472,16,15.0
2020-10-10,270025,1043,1048.0,6456,9,16.0
2020-10-09,268982,1247,1024.0,6447,10,16.0
2020-10-08,267735,1213,1003.0,6437,22,16.0
2020-10-07,266522,1321,997.0,6415,19,15.0
2020-10-06,265201,902,985.0,6396,17,14.0
2020-10-05,264299,1106,1023.0,6379,14,13.0
2020-10-04,263193,505,1025.0,6365,18,14.0
2020-10-03,262688,873,1023.0,6347,12,14.0
2020-10-02,261815,1098,1003.0,6335,11,15.0
2020-10-01,260717,1173,999.0,6324,13,16.0
2020-09-30,259544,1239,1001.0,6311,14,17.0
2020-09-29,258305,1169,985.0,6297,9,19.0
2020-09-28,257136,1116,974.0,6288,20,20.0
2020-09-27,256020,496,991.0,6268,18,19.0
2020-09-26,255524,727,984.0,6250,20,19.0
2020-09-25,254797,1073,981.0,6230,17,18.0
