date_use,cumulative_persons_tested_all,cumulative_positive_persons_all,percent_positive_persons_cum,persons_tested,positive_persons,percent_positive_persons_date,avg_persons_tested,avg_positive_persons,percent_positive_persons_cum_avg_date
2020-12-04,3837543,401798,10.5%,1,0,0%,40625.0,4797.0,11.8%
2020-12-03,3837543,401798,10.5%,1017,172,16.9%,45636.0,5429.0,11.9%
2020-12-02,3837110,401659,10.5%,20293,2109,10.4%,46725.0,5584.0,12%
2020-12-01,3830219,399864,10.4%,78591,8932,11.4%,55848.0,6341.0,11.4%
2020-11-30,3801091,392363,10.3%,100782,10536,10.5%,59071.0,6074.0,10.3%
2020-11-29,3767194,383692,10.2%,24601,3347,13.6%,59008.0,5486.0,9.3%
2020-11-28,3755943,380832,10.1%,59088,8480,14.4%,59738.0,5368.0,9%
2020-11-27,3729708,374313,10%,35081,4429,12.6%,59373.0,4789.0,8.1%
2020-11-26,3714255,370545,10%,8636,1258,14.6%,66523.0,5009.0,7.5%
2020-11-25,3710661,369494,10%,84154,7404,8.8%,76683.0,5591.0,7.3%
2020-11-24,3680072,363485,9.9%,101158,7064,7%,77108.0,5335.0,6.9%
2020-11-23,3647151,357651,9.8%,100336,6420,6.4%,74761.0,5111.0,6.8%
2020-11-22,3613622,352307,9.7%,29715,2521,8.5%,71993.0,4979.0,6.9%
2020-11-21,3600579,350142,9.7%,56529,4428,7.8%,70763.0,4899.0,6.9%
2020-11-20,3575435,346541,9.7%,85133,5971,7%,68895.0,4777.0,6.9%
2020-11-19,3543508,341744,9.6%,79754,5327,6.7%,66893.0,4570.0,6.8%
2020-11-18,3513814,337333,9.6%,87132,5611,6.4%,65493.0,4385.0,6.7%
2020-11-17,3482241,332688,9.6%,84731,5501,6.5%,62180.0,4094.0,6.6%
2020-11-16,3452329,328126,9.5%,80954,5493,6.8%,59625.0,3790.0,6.4%
2020-11-15,3423760,323598,9.5%,21107,1963,9.3%,57731.0,3508.0,6.1%
2020-11-14,3414029,321958,9.4%,43454,3572,8.2%,56774.0,3371.0,5.9%
2020-11-13,3394166,319218,9.4%,71121,4522,6.4%,55203.0,3179.0,5.8%
2020-11-12,3368268,315706,9.4%,69952,4031,5.8%,53499.0,2966.0,5.5%
2020-11-11,3344315,312544,9.3%,63944,3576,5.6%,52015.0,2818.0,5.4%
2020-11-10,3322757,309679,9.3%,66845,3373,5%,51947.0,2726.0,5.2%
2020-11-09,3301166,307013,9.3%,67692,3517,5.2%,50672.0,2607.0,5.1%
2020-11-08,3278502,304195,9.3%,14407,1006,7%,49902.0,2522.0,5.1%
2020-11-07,3272195,303360,9.3%,32459,2228,6.9%,49678.0,2497.0,5%
2020-11-06,3257819,301633,9.3%,59192,3028,5.1%,48878.0,2416.0,4.9%
2020-11-05,3236152,299368,9.3%,59567,2995,5%,47332.0,2291.0,4.8%
2020-11-04,3215658,297024,9.2%,63466,2936,4.6%,46744.0,2154.0,4.6%
2020-11-03,3194741,294660,9.2%,57918,2536,4.4%,46260.0,1979.0,4.3%
2020-11-02,3175023,292604,9.2%,62308,2924,4.7%,46352.0,1882.0,4.1%
2020-11-01,3153149,290330,9.2%,12838,834,6.5%,45730.0,1766.0,3.9%
2020-10-31,3147382,289632,9.2%,26860,1660,6.2%,45716.0,1733.0,3.8%
2020-10-30,3135926,288399,9.2%,48369,2152,4.4%,45583.0,1696.0,3.7%
2020-10-29,3118615,286887,9.2%,55446,2038,3.7%,45721.0,1684.0,3.7%
2020-10-28,3100166,285451,9.2%,60082,1710,2.8%,45085.0,1658.0,3.7%
2020-10-27,3080528,284154,9.2%,58559,1859,3.2%,44397.0,1687.0,3.8%
2020-10-26,3060055,282800,9.2%,57956,2111,3.6%,43651.0,1692.0,3.9%
2020-10-25,3037234,281216,9.3%,12741,599,4.7%,43004.0,1708.0,4%
2020-10-24,3031188,280742,9.3%,25927,1402,5.4%,42804.0,1719.0,4%
