geo_merge,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
City of Agoura Hills,7449,35670.0,35216,342,1638,1646,20883.0
City of Alhambra,29190,33659.0,32852,2425,2796,2817,86724.0
City of Arcadia,15310,26509.0,26390,922,1596,1625,57754.0
City of Artesia,6405,38136.0,35077,644,3834,3637,16795.0
City of Avalon,59,1525.0,1523,5,129,151,3869.0
City of Azusa,15699,31373.0,31605,2561,5118,5141,50040.0
City of Baldwin Park,26863,34992.0,34484,5078,6615,6520,76769.0
City of Bell,13599,37430.0,37296,2679,7374,7332,36332.0
City of Bell Gardens,15907,36932.0,37434,3507,8142,8181,43071.0
City of Bellflower,27694,35626.0,35051,3996,5141,5100,77735.0
City of Beverly Hills,21896,63430.0,63558,1031,2987,3029,34520.0
City of Bradbury,55,5145.0,4808,9,842,1219,1069.0
City of Burbank,42269,39437.0,38264,3083,2876,2772,107180.0
City of Calabasas,8888,36542.0,36639,459,1887,1843,24323.0
City of Carson,29250,31168.0,30408,2925,3117,3065,93846.0
City of Cerritos,14176,28314.0,27841,983,1963,2038,50067.0
City of Claremont,10972,30073.0,30918,845,2316,2500,36484.0
City of Commerce,5593,42796.0,42550,1092,8356,8257,13069.0
City of Compton,36094,36129.0,36443,6822,6829,6815,99904.0
City of Covina,17240,35161.0,34458,2340,4772,4700,49032.0
City of Cudahy,9165,37643.0,37545,1959,8046,8102,24347.0
City of Culver City,17700,44400.0,45180,760,1906,1919,39865.0
City of Diamond Bar,14641,25456.0,24370,1133,1970,1913,57515.0
City of Downey,43861,38386.0,37554,7399,6475,6353,114263.0
City of Duarte,7372,33485.0,32657,883,4011,3909,22016.0
City of El Monte,38092,32483.0,31917,7487,6384,6295,117269.0
City of El Segundo,6306,37567.0,37761,212,1263,1279,16786.0
City of Gardena,20573,33556.0,33260,2108,3438,3461,61310.0
City of Glendale,66458,32184.0,31156,6658,3224,3095,206493.0
City of Glendora,15275,28950.0,28646,1822,3453,3353,52764.0
City of Hawaiian Gardens,4523,30819.0,30501,956,6514,6406,14676.0
City of Hawthorne,29084,32757.0,32360,3620,4077,4032,88787.0
City of Hermosa Beach,7722,39258.0,38354,378,1922,1849,19670.0
City of Hidden Hills,784,41481.0,55268,27,1429,1877,1890.0
City of Huntington Park,22090,37136.0,36884,4714,7925,7862,59484.0
City of Industry,697,159497.0,163391,58,13272,14414,437.0
City of Inglewood,39388,34678.0,33986,5076,4469,4412,113582.0
City of Irwindale,619,42426.0,42097,97,6648,6610,1459.0
City of La Canada Flintridge,7207,34828.0,40996,293,1416,1798,20693.0
