date_use,cumulative_tests,cumulative_tests_pos,percent_positive_tests_cum,tests,tests_pos,percent_positive_tests,avg_tests,avg_pos_tests,percent_positive_avg_tests
2020-12-07,8382552,554822,6.6%,2,0,0%,50380.0,5859.0,11.6%
2020-12-06,8382550,554822,6.6%,876,209,23.9%,66314.0,7530.0,11.4%
2020-12-05,8381674,554613,6.6%,5894,746,12.7%,69843.0,8007.0,11.5%
2020-12-04,8375780,553867,6.6%,52875,5831,11%,77555.0,9124.0,11.8%
2020-12-03,8322905,548036,6.6%,89122,10713,12%,75154.0,8927.0,11.9%
2020-12-02,8233783,537323,6.5%,98624,11513,11.7%,63717.0,7578.0,11.9%
2020-12-01,8135159,525810,6.5%,105270,12001,11.4%,61956.0,6997.0,11.3%
2020-11-30,8029889,513809,6.4%,111536,11696,10.5%,61716.0,6298.0,10.2%
2020-11-29,7918353,502113,6.3%,25578,3548,13.9%,60247.0,5546.0,9.2%
2020-11-28,7892775,498565,6.3%,59878,8563,14.3%,60854.0,5401.0,8.9%
2020-11-27,7832897,490002,6.3%,36072,4457,12.4%,60398.0,4812.0,8%
2020-11-26,7796825,485545,6.2%,9062,1268,14%,67478.0,5030.0,7.5%
2020-11-25,7787763,484277,6.2%,86294,7449,8.6%,77657.0,5611.0,7.2%
2020-11-24,7701469,476828,6.2%,103592,7102,6.9%,77842.0,5349.0,6.9%
2020-11-23,7597877,469726,6.2%,101250,6438,6.4%,75204.0,5122.0,6.8%
2020-11-22,7496627,463288,6.2%,29830,2533,8.5%,72353.0,4988.0,6.9%
2020-11-21,7466797,460755,6.2%,56683,4436,7.8%,71116.0,4907.0,6.9%
2020-11-20,7410114,456319,6.2%,85637,5983,7%,69256.0,4784.0,6.9%
2020-11-19,7324477,450336,6.1%,80310,5336,6.6%,67233.0,4576.0,6.8%
2020-11-18,7244167,445000,6.1%,87594,5618,6.4%,65788.0,4390.0,6.7%
2020-11-17,7156573,439382,6.1%,85127,5511,6.5%,62442.0,4098.0,6.6%
2020-11-16,7071446,433871,6.1%,81290,5501,6.8%,59857.0,3794.0,6.3%
2020-11-15,6990156,428370,6.1%,21168,1962,9.3%,57960.0,3511.0,6.1%
2020-11-14,6968988,426408,6.1%,43668,3579,8.2%,57000.0,3375.0,5.9%
2020-11-13,6925320,422829,6.1%,71473,4524,6.3%,55420.0,3182.0,5.7%
2020-11-12,6853847,418305,6.1%,70196,4037,5.8%,53716.0,2969.0,5.5%
2020-11-11,6783651,414268,6.1%,64170,3575,5.6%,52261.0,2820.0,5.4%
2020-11-10,6719481,410693,6.1%,67031,3378,5%,52220.0,2729.0,5.2%
2020-11-09,6652450,407315,6.1%,68013,3522,5.2%,50956.0,2609.0,5.1%
2020-11-08,6584437,403793,6.1%,14451,1009,7%,50212.0,2524.0,5%
2020-11-07,6569986,402784,6.1%,32604,2228,6.8%,49994.0,2499.0,5%
2020-11-06,6537382,400556,6.1%,59547,3033,5.1%,49211.0,2418.0,4.9%
2020-11-05,6477835,397523,6.1%,60011,2995,5%,47659.0,2293.0,4.8%
2020-11-04,6417824,394528,6.1%,63884,2937,4.6%,47039.0,2156.0,4.6%
2020-11-03,6353940,391591,6.2%,58179,2537,4.4%,46532.0,1981.0,4.3%
2020-11-02,6295761,389054,6.2%,62809,2929,4.7%,46652.0,1885.0,4%
2020-11-01,6232952,386125,6.2%,12926,835,6.5%,46026.0,1768.0,3.8%
2020-10-31,6220026,385290,6.2%,27118,1660,6.1%,46022.0,1735.0,3.8%
2020-10-30,6192908,383630,6.2%,48684,2158,4.4%,45889.0,1698.0,3.7%
2020-10-29,6144224,381472,6.2%,55675,2039,3.7%,46026.0,1686.0,3.7%
2020-10-28,6088549,379433,6.2%,60330,1711,2.8%,45390.0,1660.0,3.7%
2020-10-27,6028219,377722,6.3%,59024,1862,3.2%,44737.0,1689.0,3.8%
2020-10-26,5969195,375860,6.3%,58426,2114,3.6%,43986.0,1693.0,3.8%
2020-10-25,5910769,373746,6.3%,12895,600,4.7%,43363.0,1709.0,3.9%
2020-10-24,5897874,373146,6.3%,26187,1403,5.4%,43172.0,1721.0,4%
2020-10-23,5871687,371743,6.3%,49646,2070,4.2%,42907.0,1706.0,4%
2020-10-22,5822041,369673,6.3%,51224,1857,3.6%,42701.0,1663.0,3.9%
2020-10-21,5770817,367816,6.4%,55760,1915,3.4%,42466.0,1645.0,3.9%
2020-10-20,5715057,365901,6.4%,53766,1892,3.5%,42064.0,1610.0,3.8%
2020-10-19,5661291,364009,6.4%,54061,2229,4.1%,41626.0,1558.0,3.7%
2020-10-18,5607230,361780,6.5%,11562,679,5.9%,40967.0,1507.0,3.7%
2020-10-17,5595668,361101,6.5%,24327,1303,5.4%,40968.0,1493.0,3.6%
2020-10-16,5571341,359798,6.5%,48208,1766,3.7%,41055.0,1502.0,3.7%
2020-10-15,5523133,358032,6.5%,49575,1729,3.5%,40789.0,1486.0,3.6%
2020-10-14,5473558,356303,6.5%,52946,1675,3.2%,40533.0,1457.0,3.6%
2020-10-13,5420612,354628,6.5%,50703,1525,3%,40465.0,1458.0,3.6%
2020-10-12,5369909,353103,6.6%,49446,1872,3.8%,40385.0,1436.0,3.6%
2020-10-11,5320463,351231,6.6%,11572,579,5%,40303.0,1428.0,3.5%
2020-10-10,5308891,350652,6.6%,24935,1368,5.5%,40278.0,1417.0,3.5%
2020-10-09,5283956,349284,6.6%,46346,1655,3.6%,40272.0,1378.0,3.4%
2020-10-08,5237610,347629,6.6%,47783,1523,3.2%,40030.0,1354.0,3.4%
2020-10-07,5189827,346106,6.7%,52471,1686,3.2%,38991.0,1341.0,3.4%
2020-10-06,5137356,344420,6.7%,50142,1368,2.7%,37907.0,1313.0,3.5%
2020-10-05,5087214,343052,6.7%,48873,1817,3.7%,36716.0,1317.0,3.6%
2020-10-04,5038341,341235,6.8%,11398,500,4.4%,34957.0,1261.0,3.6%
2020-10-03,5026943,340735,6.8%,24892,1099,4.4%,34673.0,1264.0,3.6%
2020-10-02,5002051,339636,6.8%,44648,1488,3.3%,34093.0,1257.0,3.7%
2020-10-01,4957403,338148,6.8%,40514,1429,3.5%,32970.0,1255.0,3.8%
2020-09-30,4916889,336719,6.8%,44883,1493,3.3%,32947.0,1263.0,3.8%
2020-09-29,4872006,335226,6.9%,41802,1394,3.3%,32911.0,1246.0,3.8%
2020-09-28,4830204,333832,6.9%,36559,1426,3.9%,33118.0,1232.0,3.7%
2020-09-27,4793645,332406,6.9%,9415,521,5.5%,34012.0,1256.0,3.7%
2020-09-26,4784230,331885,6.9%,20827,1050,5%,34012.0,1256.0,3.7%
2020-09-25,4763403,330835,6.9%,36789,1473,4%,33976.0,1245.0,3.7%
2020-09-24,4726614,329362,7%,40357,1487,3.7%,33972.0,1226.0,3.6%
2020-09-23,4686257,327875,7%,44631,1371,3.1%,33902.0,1209.0,3.6%
2020-09-22,4641626,326504,7%,43245,1297,3%,33362.0,1222.0,3.7%
2020-09-21,4598381,325207,7.1%,42821,1591,3.7%,32794.0,1215.0,3.7%
2020-09-20,4555560,323616,7.1%,9413,523,5.6%,32253.0,1212.0,3.8%
2020-09-19,4546147,323093,7.1%,20576,975,4.7%,31952.0,1182.0,3.7%
2020-09-18,4525571,322118,7.1%,36759,1339,3.6%,31937.0,1173.0,3.7%
2020-09-17,4488812,320779,7.1%,39867,1365,3.4%,31925.0,1168.0,3.7%
2020-09-16,4448945,319414,7.2%,40853,1463,3.6%,31500.0,1152.0,3.7%
2020-09-15,4408092,317951,7.2%,39272,1248,3.2%,31319.0,1145.0,3.7%
2020-09-14,4368820,316703,7.2%,39031,1573,4%,31900.0,1207.0,3.8%
2020-09-13,4329789,315130,7.3%,7308,308,4.2%,27698.0,1049.0,3.8%
2020-09-12,4322481,314822,7.3%,20471,918,4.5%,27890.0,1073.0,3.8%
2020-09-11,4302010,313904,7.3%,36675,1304,3.6%,26584.0,1022.0,3.8%
2020-09-10,4265335,312600,7.3%,36890,1253,3.4%,26053.0,1043.0,4%
2020-09-09,4228445,311347,7.4%,39583,1412,3.6%,25564.0,1073.0,4.2%
