geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
City of Agoura Hills,344,1647,1650,7,34,31,20883
City of Alhambra,2224,2564,2575,35,40,30,86724
City of Arcadia,942,1631,1620,40,69,45,57754
City of Artesia,684,4073,3827,14,83,64,16795
City of Avalon,5,129,151,0,0,0,3869
City of Azusa,2486,4968,5002,31,62,73,50040
City of Baldwin Park,4958,6458,6384,112,146,167,76769
City of Bell,2534,6975,6959,47,129,175,36332
City of Bell Gardens,3281,7618,7711,33,77,127,43071
City of Bellflower,3799,4887,4846,66,85,99,77735
City of Beverly Hills,1112,3221,3250,11,32,16,34520
City of Bradbury,29,2713,3034,0,0,0,1069
City of Burbank,3117,2908,2792,95,89,72,107180
City of Calabasas,474,1949,1890,13,53,44,24323
City of Carson,3086,3288,3231,64,68,54,93846
City of Cerritos,955,1907,1983,17,34,25,50067
City of Claremont,808,2215,2364,11,30,19,36484
City of Commerce,1011,7736,7651,14,107,107,13069
City of Compton,6395,6401,6400,81,81,100,99904
City of Covina,2335,4762,4678,62,126,108,49032
City of Cudahy,1831,7520,7594,18,74,121,24347
City of Culver City,726,1821,1818,35,88,59,39865
City of Diamond Bar,1084,1885,1836,16,28,21,57515
City of Downey,6961,6092,5972,102,89,88,114263
City of Duarte,908,4124,3967,37,168,108,22016
City of El Monte,7041,6004,5928,194,165,166,117269
City of El Segundo,228,1358,1346,1,6,3,16786
City of Gardena,2026,3305,3298,66,108,79,61310
City of Glendale,7042,3410,3255,203,98,68,206493
City of Glendora,1936,3669,3521,82,155,116,52764
City of Hawaiian Gardens,847,5771,5666,3,20,22,14676
City of Hawthorne,3419,3851,3814,60,68,78,88787
City of Hermosa Beach,401,2039,1974,4,20,27,19670
City of Hidden Hills,31,1640,2097,0,0,0,1890
City of Huntington Park,4491,7550,7517,66,111,143,59484
City of Industry,60,13730,14747,2,458,556,437
City of Inglewood,4734,4168,4113,102,90,96,113582
City of Irwindale,104,7128,7074,2,137,155,1459
City of La Canada Flintridge,296,1430,1780,6,29,17,20693
City of La Habra Heights,70,1283,1259,1,18,8,5455
City of La Mirada,1500,3024,2966,28,56,38,49599
City of La Puente,2607,6406,6298,30,74,73,40697
City of La Verne,973,2924,2985,16,48,31,33282
City of Lakewood,2221,2764,2766,16,20,17,80362
City of Lancaster,7606,4708,4759,80,50,61,161570
City of Lawndale,1148,3415,3318,13,39,52,33614
City of Lomita,378,1824,1816,9,43,31,20729
City of Lynwood,5286,7337,7467,117,162,258,72047
City of Malibu,169,1304,1346,3,23,11,12961
City of Manhattan Beach,584,1622,1649,4,11,10,35999
City of Maywood,2124,7572,7729,41,146,220,28049
City of Monrovia,1253,3229,3270,41,106,97,38800
City of Montebello,3911,6075,6034,61,95,76,64375
City of Monterey Park,1587,2549,2541,61,98,47,62262
City of Norwalk,5811,5399,5284,100,93,91,107622
City of Palmdale,8980,5649,5702,85,53,68,158968
City of Palos Verdes Estates,159,1176,1232,2,15,7,13522
City of Paramount,3817,6813,6715,33,59,77,56023
City of Pico Rivera,4298,6686,6563,88,137,118,64284
