date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
2020-12-10,477011,215,6270.0,7771,6,31.0
2020-12-09,476796,1510,7652.0,7765,17,37.0
2020-12-08,475286,9054,8734.0,7748,35,39.0
2020-12-07,466232,11542,8818.0,7713,52,40.0
2020-12-06,454690,3992,8576.0,7661,33,38.0
2020-12-05,450698,7779,8441.0,7628,38,37.0
2020-12-04,442919,9798,8131.0,7590,37,35.0
2020-12-03,433121,9889,7333.0,7553,49,34.0
2020-12-02,423232,9085,6143.0,7504,32,30.0
2020-12-01,414147,9642,5729.0,7472,39,29.0
2020-11-30,404505,9846,5159.0,7433,35,28.0
2020-11-29,394659,3048,4499.0,7398,26,29.0
2020-11-28,391611,5612,4400.0,7372,30,30.0
2020-11-27,385999,4206,4082.0,7342,24,29.0
2020-11-26,381793,1561,4187.0,7318,22,29.0
2020-11-25,380232,6187,4608.0,7296,30,31.0
2020-11-24,374045,5655,4454.0,7266,31,30.0
2020-11-23,368390,5227,4376.0,7235,39,30.0
2020-11-22,363163,2349,4314.0,7196,31,28.0
2020-11-21,360814,3389,4243.0,7165,28,27.0
2020-11-20,357425,4944,4137.0,7137,22,25.0
2020-11-19,352481,4503,3916.0,7115,35,25.0
2020-11-18,347978,5113,3736.0,7080,21,23.0
2020-11-17,342865,5108,3473.0,7059,35,22.0
2020-11-16,337757,4790,3193.0,7024,23,19.0
2020-11-15,332967,1854,2969.0,7001,22,18.0
2020-11-14,331113,2646,2864.0,6979,18,17.0
2020-11-13,328467,3397,2763.0,6961,22,16.0
2020-11-12,325070,3243,2622.0,6939,19,15.0
2020-11-11,321827,3270,2521.0,6920,16,14.0
2020-11-10,318557,3149,2407.0,6904,15,13.0
2020-11-09,315408,3223,2238.0,6889,15,13.0
2020-11-08,312185,1122,2051.0,6874,14,12.0
2020-11-07,311063,1939,2004.0,6860,11,13.0
2020-11-06,309124,2406,1890.0,6849,18,13.0
2020-11-05,306718,2535,1738.0,6831,8,12.0
2020-11-04,304183,2478,1561.0,6823,10,13.0
2020-11-03,301705,1964,1381.0,6813,13,14.0
2020-11-02,299741,1914,1287.0,6800,12,14.0
2020-11-01,297827,795,1224.0,6788,18,14.0
2020-10-31,297032,1136,1219.0,6770,13,14.0
2020-10-30,295896,1345,1211.0,6757,9,14.0
2020-10-29,294551,1298,1243.0,6748,17,16.0
2020-10-28,293253,1212,1296.0,6731,13,15.0
2020-10-27,292041,1310,1365.0,6718,17,16.0
2020-10-26,290731,1475,1414.0,6701,13,15.0
2020-10-25,289256,754,1465.0,6688,16,16.0
2020-10-24,288502,1080,1449.0,6672,14,15.0
2020-10-23,287422,1570,1442.0,6658,19,14.0
2020-10-22,285852,1672,1410.0,6639,15,14.0
2020-10-21,284180,1697,1368.0,6624,15,14.0
2020-10-20,282483,1651,1317.0,6609,14,14.0
2020-10-19,280832,1829,1256.0,6595,16,15.0
2020-10-18,279003,643,1213.0,6579,9,15.0
2020-10-17,278360,1033,1193.0,6570,12,16.0
2020-10-16,277327,1343,1194.0,6558,19,16.0
2020-10-15,275984,1380,1180.0,6539,14,14.0
2020-10-14,274604,1338,1157.0,6525,17,15.0
2020-10-13,273266,1227,1154.0,6508,19,16.0
2020-10-12,272039,1529,1108.0,6489,15,15.0
2020-10-11,270510,499,1048.0,6474,16,15.0
2020-10-10,270011,1042,1048.0,6458,9,16.0
2020-10-09,268969,1247,1024.0,6449,10,16.0
2020-10-08,267722,1214,1003.0,6439,22,16.0
2020-10-07,266508,1320,997.0,6417,19,15.0
2020-10-06,265188,904,986.0,6398,17,14.0
2020-10-05,264284,1108,1023.0,6381,14,13.0
2020-10-04,263176,504,1024.0,6367,18,14.0
2020-10-03,262672,872,1023.0,6349,12,14.0
2020-10-02,261800,1096,1002.0,6337,11,15.0
2020-10-01,260704,1176,999.0,6326,13,16.0
2020-09-30,259528,1240,1001.0,6313,14,17.0
2020-09-29,258288,1167,989.0,6299,9,19.0
2020-09-28,257121,1116,979.0,6290,20,20.0
2020-09-27,256005,495,996.0,6270,18,19.0
2020-09-26,255510,727,990.0,6252,20,19.0
2020-09-25,254783,1071,986.0,6232,17,18.0
2020-09-24,253712,1188,969.0,6215,19,18.0
2020-09-23,252524,1159,951.0,6196,27,18.0
2020-09-22,251365,1097,950.0,6169,18,17.0
2020-09-21,250268,1238,931.0,6151,15,17.0
2020-09-20,249030,449,918.0,6136,15,17.0
2020-09-19,248581,703,898.0,6121,16,18.0
2020-09-18,247878,949,887.0,6105,15,18.0
2020-09-17,246929,1060,891.0,6090,18,20.0
2020-09-16,245869,1157,872.0,6072,20,21.0
2020-09-15,244712,961,854.0,6052,20,22.0
2020-09-14,243751,1149,881.0,6032,18,23.0
2020-09-13,242602,307,771.0,6014,19,24.0
2020-09-12,242295,629,780.0,5995,19,25.0
2020-09-11,241666,977,755.0,5976,25,25.0
2020-09-10,240689,925,753.0,5951,25,26.0
2020-09-09,239764,1030,766.0,5926,28,26.0
2020-09-08,238734,1149,792.0,5898,28,25.0
2020-09-07,237585,377,783.0,5870,26,25.0
2020-09-06,237208,373,904.0,5844,22,25.0
2020-09-05,236835,451,910.0,5822,22,27.0
2020-09-04,236384,965,965.0,5800,30,29.0
2020-09-03,235419,1018,977.0,5770,24,28.0
2020-09-02,234401,1213,1001.0,5746,23,29.0
2020-09-01,233188,1082,1027.0,5723,28,29.0
2020-08-31,232106,1229,1051.0,5695,29,30.0
2020-08-30,230877,412,1094.0,5666,33,29.0
2020-08-29,230465,833,1106.0,5633,34,28.0
2020-08-28,229632,1054,1114.0,5599,22,29.0
2020-08-27,228578,1181,1151.0,5577,31,30.0
2020-08-26,227397,1395,1172.0,5546,28,31.0
2020-08-25,226002,1250,1175.0,5518,30,33.0
2020-08-24,224752,1532,1206.0,5488,25,33.0
2020-08-23,223220,498,1204.0,5463,29,35.0
2020-08-22,222722,889,1210.0,5434,37,36.0
