date_use,cumulative_persons_tested_all,cumulative_positive_persons_all,percent_positive_persons_cum,persons_tested,positive_persons,percent_positive_persons_date,avg_persons_tested,avg_positive_persons,percent_positive_persons_cum_avg_date
2020-12-11,4059968,470022,11.6%,0,0,NA%,40922.0,5896.0,14.4%
2020-12-10,4059968,470022,11.6%,1078,252,23.4%,55901.0,7626.0,13.6%
2020-12-09,4059454,469815,11.6%,19155,1802,9.4%,70974.0,9363.0,13.2%
2020-12-08,4053323,468261,11.6%,73423,10858,14.8%,83228.0,10836.0,13%
2020-12-07,4024511,459007,11.4%,102643,14011,13.7%,88147.0,11022.0,12.5%
2020-12-06,3985939,447181,11.2%,26799,4736,17.7%,89717.0,10704.0,11.9%
2020-12-05,3973028,443137,11.2%,63354,9614,15.2%,89585.0,10535.0,11.8%
2020-12-04,3943751,435153,11%,104858,12108,11.5%,89094.0,10384.0,11.7%
2020-12-03,3905040,425147,10.9%,106587,12411,11.6%,79268.0,9292.0,11.7%
2020-12-02,3865478,414711,10.7%,104934,12113,11.5%,65360.0,7700.0,11.8%
2020-12-01,3826087,404456,10.6%,107855,12164,11.3%,62769.0,7037.0,11.2%
2020-11-30,3786857,394161,10.4%,113635,11784,10.4%,62197.0,6314.0,10.2%
2020-11-29,3748976,384373,10.3%,25871,3549,13.7%,60417.0,5550.0,9.2%
2020-11-28,3737304,381341,10.2%,59916,8558,14.3%,60982.0,5405.0,8.9%
2020-11-27,3710966,374755,10.1%,36081,4466,12.4%,60509.0,4816.0,8%
2020-11-26,3695506,370961,10%,9227,1265,13.7%,67645.0,5032.0,7.4%
2020-11-25,3691878,369907,10%,86800,7475,8.6%,77813.0,5614.0,7.2%
2020-11-24,3661155,363841,9.9%,103851,7099,6.8%,77916.0,5348.0,6.9%
2020-11-23,3628074,357974,9.9%,101174,6438,6.4%,75222.0,5122.0,6.8%
2020-11-22,3594679,352615,9.8%,29822,2535,8.5%,72360.0,4988.0,6.9%
2020-11-21,3581719,350436,9.8%,56607,4434,7.8%,71117.0,4906.0,6.9%
2020-11-20,3556775,346831,9.8%,86035,5979,6.9%,69243.0,4783.0,6.9%
2020-11-19,3524975,342026,9.7%,80404,5338,6.6%,67151.0,4575.0,6.8%
2020-11-18,3495458,337606,9.7%,87521,5616,6.4%,65750.0,4390.0,6.7%
2020-11-17,3464078,332956,9.6%,84994,5512,6.5%,62409.0,4098.0,6.6%
2020-11-16,3434411,328383,9.6%,81140,5500,6.8%,59824.0,3793.0,6.3%
2020-11-15,3406008,323847,9.5%,21120,1963,9.3%,57934.0,3510.0,6.1%
2020-11-14,3396339,322206,9.5%,43484,3575,8.2%,56976.0,3373.0,5.9%
2020-11-13,3376603,319462,9.5%,71392,4524,6.3%,55401.0,3181.0,5.7%
2020-11-12,3350839,315948,9.4%,70598,4038,5.7%,53679.0,2967.0,5.5%
2020-11-11,3327023,312778,9.4%,64136,3576,5.6%,52205.0,2818.0,5.4%
2020-11-10,3305580,309913,9.4%,66897,3375,5%,52159.0,2727.0,5.2%
2020-11-09,3284104,307244,9.4%,67910,3517,5.2%,50903.0,2607.0,5.1%
2020-11-08,3261578,304425,9.3%,14412,1006,7%,50165.0,2523.0,5%
2020-11-07,3255312,303590,9.3%,32464,2230,6.9%,49968.0,2498.0,5%
2020-11-06,3241017,301860,9.3%,59338,3028,5.1%,49179.0,2417.0,4.9%
2020-11-05,3219502,299595,9.3%,60275,2995,5%,47649.0,2292.0,4.8%
2020-11-04,3199076,297251,9.3%,63820,2939,4.6%,46996.0,2155.0,4.6%
2020-11-03,3178238,294884,9.3%,58105,2536,4.4%,46481.0,1979.0,4.3%
2020-11-02,3158605,292830,9.3%,62741,2924,4.7%,46559.0,1883.0,4%
2020-11-01,3136804,290557,9.3%,13036,834,6.4%,45904.0,1767.0,3.8%
