,Place,TotalPopulation,pop18OrLess,pop19To49,pop50To64,pop65AndUp,cityCase_18OrLess,cityCase_19To49,cityCase_50To64,cityCase_65AndUp,sumOfcityCase,Cases,rscore_18OrLess,rscore_19to49,rscore_50to65,rscore_65andUp
0,Rolling Hills,3218,820.59,984.708,759.4480000000001,656.472,2.399894569876055,6.8665210758461654,4.018711728404095,2.714872625873684,16.0,16.0,0.0029245964121864206,0.006973154555305903,0.005291621978600371,0.004135549765829592
1,Palos Verdes Estates,13340,3281.64,4175.42,3201.6,2681.34,22.863521215080628,69.3610558709505,40.35916015734917,26.416262756619687,158.99999999999997,159.0,0.006967102185212464,0.016611755433214023,0.012605934581880677,0.009851888517166672
2,Bel-Air,7691,1507.4360000000001,2822.5969999999998,1753.548,1607.4189999999999,,,,,,,,,,
3,Bradbury,1268,292.90799999999996,419.70799999999997,242.18800000000002,314.464,3.9027538373402826,13.333695150176286,5.838689974728519,5.924861037754914,29.0,29.0,0.013324162663158,0.031768980220001256,0.024108089478952377,0.018841142508379063
4,Century City,5513,678.099,2381.6160000000004,997.8530000000001,1455.432,15.193971468541504,127.23696175508175,40.45457460026843,46.11449217610832,228.99999999999997,229.0,0.02240671563966545,0.05342463342330658,0.04054161745293989,0.031684401728221116
5,Beverly Crest,10852,2094.436,4275.688,2626.1839999999997,1844.8400000000001,25.688247197516684,125.03647823369633,58.27944368516151,31.995830883625455,240.99999999999997,241.0,0.012264995061924395,0.02924359266478198,0.0221916833265154,0.01734341779429406
6,Rancho Palos Verdes,41301,9788.337,14661.855,9127.521,7723.287,65.36147473564806,233.43458367806778,110.27793849579008,72.92600309049409,482.0,482.0,0.006677485127008609,0.015921217586592405,0.012081915614961617,0.009442353118626057
7,Rancho Dominguez,2526,525.408,982.614,654.234,363.744,,,,,,,,,,
8,Pacific Palisades,23940,5697.719999999999,8785.98,5266.8,4165.5599999999995,35.48708219307907,130.47363075297508,59.352481989503474,36.68680506444235,262.0,262.0,0.006228295211607287,0.014850208030632335,0.011269173310075088,0.008807172400455726
9,View Park-Windsor Hills,11066,2368.124,4271.476,2202.134,2224.266,,,,,,,,,,
10,Rolling Hills Estates,8334,2183.5080000000003,2858.5620000000004,1858.482,1441.7820000000002,11.97844660750734,37.390104452986265,18.447050720427306,11.18439821907908,78.99999999999999,79.0,0.0054858725534815255,0.013080039702824798,0.009925869995204315,0.007757343495118595
11,La Habra Heights,6094,1468.6540000000002,2224.31,1371.15,1029.886,9.599657993284442,34.66529743489252,16.216013789534383,9.519030782288647,70.0,70.0,0.0065363645850448375,0.015584741980610852,0.011826578995393926,0.009242800448096826
12,Westlake Village,8663,2044.468,3153.332,1983.8269999999998,1490.0359999999998,7.770872619981499,28.577387189463483,13.643196624160701,8.00854356639431,57.99999999999999,58.0,0.003800926509968118,0.009062600192261228,0.006877210877844037,0.005374731594669063
13,Ladera Heights,6509,1425.4710000000002,2401.821,1451.507,1230.2009999999998,,,,,,,,,,
