"Neighborhood","MEDIAN.AGE","AGE.65.AND.UP","AGE.50.TO.64","AGE.35.TO.49","AGE.19.TO.34","AGE.11.TO.18","AGE.10.OR.LESS","FOREIGN.BORN.POPULATION","SQUARE.MILES","FOUR.YEAR.DEGREES","LESS.THAN.HIGH.SCHOOL","HIGH.SCHOOL.DIPLOMA","SOME.COLLEGE","BACHELOR.S.DEGREE","MASTERS.DEGREE.OR.HIGHER","DIVERSITY.INDEX","ASIAN.POPULATION","BLACK.POPULATION","LATINO.POPULATION","WHITE.POPULATION","NON.WHITE.POPULATION","SINGLE.PARENTS","AVERAGE.HOUSEHOLD.SIZE","HOMEOWNERS","RENTERS","Median.Income","X.20.000.or.less","X.20.000.to..40.000","X.40.000.to..60.000","X.60.000.to..125.000","X.125.000.and.up","NEVER.MARRIED.MALES","NEVER.MARRIED.FEMALES","MARRIED.MALES","MARRIED.FEMALES","WIDOWED.MALES","WIDOWED.FEMALES","DIVORCED.MALES","DIVORCED.FEMALES","VETERANS","POPULATION.TOTAL","POPULATION.PER.SQMI","place_ID"
"Veterans Administration",48,0.185,0.282,0.329,0.111,0.03,0.063,0.104,0.9,0.114,0.092,0.295,0.498,0.067,0.048,0.592,0,0.44,0.069,0.456,0.544,0.633,2.5,0,1,60561,0.254,0,1,0,0,0.219,0.27,0.464,0.365,0.054,0,0.263,0.365,0.822,622,683,"Veterans Administration"
"Rolling Hills",46,0.204,0.236,0.232,0.074,0.127,0.128,0.176,3.6,0.607,0.036,0.102,0.255,0.313,0.294,0.396,0.144,0.018,0.049,0.761,0.239,0.027,2.7,0.905,0.095,184777,0.027,0.069,0.083,0.272,0.502,0.196,0.158,0.743,0.73,0.027,0.06,0.034,0.052,0.132,3218,893,"Rolling Hills"
"Palos Verdes Estates",46,0.201,0.24,0.231,0.082,0.113,0.133,0.19,4.7,0.709,0.016,0.074,0.201,0.399,0.31,0.398,0.173,0.011,0.029,0.755,0.245,0.034,2.7,0.905,0.095,167344,0.04,0.08,0.059,0.306,0.473,0.182,0.136,0.765,0.728,0.017,0.085,0.037,0.051,0.145,13340,2822,"Palos Verdes Estates"
"Bel-Air",46,0.209,0.228,0.243,0.124,0.074,0.122,0.241,6.4,0.661,0.042,0.092,0.206,0.297,0.364,0.301,0.082,0.009,0.046,0.83,0.17,0.041,2.4,0.855,0.145,207938,0.063,0.085,0.06,0.192,0.551,0.236,0.154,0.66,0.657,0.022,0.119,0.082,0.07,0.129,7691,1207,"Bel Air"
"Bradbury",46,0.248,0.191,0.24,0.091,0.105,0.126,0.229,1.9,0.472,0.076,0.154,0.298,0.25,0.222,0.513,0.187,0.01,0.119,0.661,0.339,0.036,2.8,0.843,0.157,123773,0.033,0.127,0.135,0.342,0.311,0.213,0.194,0.679,0.574,0.039,0.117,0.069,0.114,0.161,1268,658,"Bradbury"
"Century City",46,0.264,0.181,0.226,0.206,0.038,0.085,0.255,0.7,0.554,0.059,0.112,0.275,0.287,0.267,0.309,0.086,0.014,0.044,0.825,0.175,0.049,1.8,0.604,0.396,95135,0.141,0.133,0.151,0.232,0.282,0.297,0.258,0.561,0.46,0.033,0.17,0.109,0.113,0.119,5513,7869,"Century City"
"Beverly Crest",45,0.17,0.242,0.261,0.133,0.072,0.121,0.25,8.2,0.676,0.045,0.095,0.185,0.347,0.329,0.23,0.04,0.017,0.034,0.875,0.125,0.056,2.4,0.9,0.1,169282,0.064,0.066,0.07,0.275,0.474,0.249,0.204,0.634,0.595,0.016,0.086,0.101,0.115,0.102,10852,1318,"Beverly Crest"
"Rancho Palos Verdes",44,0.187,0.221,0.251,0.104,0.109,0.128,0.268,13.4,0.58,0.042,0.119,0.259,0.318,0.262,0.537,0.252,0.021,0.056,0.628,0.372,0.048,2.7,0.819,0.181,128321,0.051,0.113,0.108,0.366,0.342,0.204,0.161,0.718,0.663,0.024,0.096,0.053,0.081,0.139,41301,3084,"Rancho Palos Verdes"
"Rancho Dominguez",44,0.144,0.259,0.215,0.174,0.072,0.136,0.147,2.7,0.174,0.164,0.307,0.355,0.113,0.06,0.701,0.077,0.279,0.161,0.432,0.568,0.108,2.5,0.868,0.132,72097,0.132,0.157,0.333,0.381,0,0.244,0.288,0.623,0.474,0.039,0.078,0.094,0.159,0.142,2526,947,"Rancho Dominguez"
"Pacific Palisades",43,0.174,0.22,0.265,0.102,0.088,0.15,0.155,22.8,0.709,0.023,0.064,0.204,0.356,0.353,0.21,0.055,0.004,0.032,0.886,0.114,0.065,2.4,0.825,0.175,168008,0.056,0.081,0.094,0.252,0.477,0.206,0.166,0.687,0.616,0.026,0.097,0.082,0.12,0.117,23940,1048,"Pacific Palisades"
"View Park-Windsor Hills",43,0.201,0.199,0.243,0.143,0.097,0.117,0.06,1.8,0.45,0.072,0.124,0.354,0.263,0.187,0.246,0.015,0.865,0.027,0.05,0.95,0.096,2.4,0.757,0.243,81214,0.116,0.199,0.162,0.308,0.169,0.297,0.247,0.585,0.464,0.031,0.122,0.087,0.167,0.155,11066,6008,"View Park Windsor Hills"
"Rolling Hills Estates",43,0.173,0.223,0.258,0.085,0.122,0.14,0.189,3.8,0.602,0.032,0.114,0.252,0.32,0.283,0.469,0.197,0.013,0.056,0.698,0.302,0.051,2.7,0.91,0.09,145628,0.052,0.085,0.102,0.31,0.415,0.181,0.183,0.766,0.68,0.023,0.069,0.03,0.068,0.118,8334,2185,"Rolling Hills Estates"
"La Habra Heights",43,0.169,0.225,0.239,0.126,0.118,0.123,0.22,6.2,0.493,0.073,0.186,0.248,0.265,0.228,0.539,0.193,0.023,0.119,0.639,0.361,0.041,2.9,0.942,0.058,137034,0.046,0.086,0.103,0.34,0.379,0.246,0.19,0.662,0.682,0.019,0.089,0.073,0.038,0.13,6094,979,"La Habra Heights"
"Westlake Village",43,0.172,0.229,0.248,0.116,0.104,0.132,0.134,5.6,0.514,0.047,0.106,0.333,0.289,0.225,0.261,0.062,0.005,0.045,0.855,0.145,0.052,2.5,0.87,0.13,126550,0.076,0.1,0.125,0.337,0.353,0.165,0.162,0.745,0.656,0.026,0.088,0.064,0.093,0.141,8663,1534,"Westlake Village"
"Ladera Heights",43,0.189,0.223,0.233,0.136,0.089,0.13,0.067,2.9,0.534,0.026,0.102,0.338,0.269,0.265,0.456,0.033,0.71,0.033,0.191,0.809,0.1,2.5,0.768,0.232,117925,0.046,0.114,0.14,0.35,0.326,0.279,0.192,0.625,0.517,0.014,0.109,0.082,0.182,0.131,6509,2214,"Ladera Heights"
"Encino",42,0.197,0.185,0.244,0.188,0.074,0.111,0.328,9.5,0.468,0.093,0.162,0.277,0.262,0.206,0.346,0.049,0.024,0.085,0.801,0.199,0.092,2.3,0.616,0.384,78529,0.16,0.181,0.158,0.252,0.221,0.279,0.221,0.602,0.532,0.03,0.111,0.089,0.136,0.106,41905,4411,"Encino"
