,CITY,ASIAN,BLACK,LATINO,WHITE,NON.WHITE,TOTAL.POP,TOTAL.CASES
0,Agoura Hills,0.007935953679425563,0.006150364101554812,0.03233334270531672,0.013726899588977406,0.024887519852803196,20883,378
1,Alhambra,0.006186289840938904,0.009140357670505063,0.023790677429708952,0.009947214012960713,0.018340481442631233,86724,2468
2,Arcadia,0.005823686881321665,0.007082019225321524,0.022509852352537097,0.009466123298692791,0.01733532790832471,57754,1013
3,Arleta,0.016678956424031742,0.024872128000749085,0.06428513582210184,0.026579038745898533,0.0495049064368393,34370,2952
4,Artesia,0.010175010175010175,0.014245014245014245,0.03937171038998716,0.016373579591970396,0.03048372466505078,16795,742
5,Atwater Village,0.006478150222166458,0.00479772779611576,0.02631736065939522,0.010892138780370915,0.02037492627039392,14666,497
6,Avalon,0.0,0.0,0.0013727797004320138,0.0,0.0006237431575375618,3869,5
7,Azusa,0.01126532083633742,0.017229314220280758,0.04457375786866119,0.018711888846797746,0.034356279513960974,50040,2697
8,Baldwin Park,0.011634601034987258,0.016972453707632514,0.04505380130042446,0.018730861073738583,0.03472693551986437,76769,5353
9,Bell,0.0090908264470323,0.01363623967054845,0.04501312191138043,0.018489816502438576,0.03469198487916365,36332,2744
10,Bell Gardens,0.009079765742043855,0.015132942903406424,0.04823322730098536,0.0198016167778616,0.037181307249030585,43071,3602
11,Bellflower,0.012507257948192492,0.019535682594052868,0.04869940507164203,0.02050703007739353,0.037541419575207326,77735,4140
12,Beverly Crest,0.009214891264283083,0.016261572819323084,0.04336419418486156,0.020009478173871834,0.03612237375598968,12525,265
13,Beverly Hills,0.015947077484126826,0.021114597365742834,0.06096839989358242,0.026127378305140458,0.04758905406278962,34520,1169
14,Beverlywood,0.020277577505407356,0.03524436090225564,0.08897756686798965,0.03803453947368421,0.06825657894736842,13173,321
15,Boyle Heights,0.011679388215676972,0.017968289562579957,0.04706927257329457,0.019405752727586354,0.036270275931322114,86884,7480
16,Bradbury,0.004217345096914591,0.0,0.03313628290432892,0.014317280480297038,0.02559020313968529,1069,30
17,Brentwood,0.00932579416499784,0.013293346945720607,0.03615790369236005,0.01538365470773178,0.028067471779065788,30955,622
18,Burbank,0.010293559309104968,0.015575780533514095,0.039954389291130356,0.016817604668567056,0.03080072795209855,107180,3383
19,Calabasas,0.010017609903725497,0.008646779074794638,0.03833949212408944,0.016524493664571482,0.030109319992588476,24323,506
20,Canoga Park,0.0154023300170932,0.023593551270753042,0.05949976714994971,0.02502954434785461,0.045897785766649324,65289,3862
21,Carson,0.0077803360336286265,0.012157697767918736,0.030045499253006175,0.012656013281369232,0.02317167137544808,93846,3343
22,Carthay,0.026595101665820457,0.04334926017262639,0.11115505613330336,0.046576982863936904,0.0866833020689064,14363,436
23,Century City,0.02109179571330344,0.025912777590629942,0.07420477219134937,0.034079228710101196,0.062190666217511854,12792,247
24,Cerritos,0.005294949713366171,0.008139433929501649,0.020395957190539583,0.008544252336577393,0.015703421709650812,50067,1036
25,Chatsworth,0.015047979293980489,0.022031969684009712,0.05807992008202996,0.024562815516634345,0.04497076027766826,37061,1478
26,Cheviot Hills,0.009493745994825909,0.011076036993963558,0.0399004224240374,0.017176290871349583,0.030563592648437183,9171,170
27,Chinatown,0.0066326094454254155,0.005781015146259683,0.025239666127925255,0.008324661810613945,0.019744390191840763,8021,293
28,Claremont,0.008451148378260847,0.013223863784585663,0.03317212047312192,0.013971714132929261,0.02563954643642354,36484,883
29,Commerce,0.00722475490019001,0.0,0.05181866496399666,0.01986807597552253,0.039902412001049437,13069,1103
30,Compton,0.011351802969026227,0.019885620678404742,0.049051000483446655,0.018541278182742836,0.037830188550273695,99904,6946
31,Covina,0.01201563955644667,0.01879041505103894,0.047051622138210535,0.019811568728378182,0.03626311702814113,49032,2549
32,Cudahy,0.005901236899254084,0.0,0.0483108722274756,0.019715496004326143,0.037203718401469,24347,1982
33,Culver City,0.005864650567363051,0.009149324683529674,0.022839927397174862,0.0096009585597026,0.01764013643300097,39865,814
34,Del Rey,0.0063300594265978975,0.00973678231800331,0.025466557815936427,0.01071046054980364,0.019635844341306673,29936,820
35,Diamond Bar,0.005552516864734059,0.008422458255234175,0.021397819164568538,0.00894777780513404,0.016514710937509558,57515,1189
36,Downey,0.014102415265260133,0.021829963221836352,0.05497101254380473,0.023098692535812256,0.04237320096921487,114263,7563
37,Downtown,0.012643638050067796,0.01980572037511068,0.04921441369831838,0.020392158948899463,0.03792186142606253,27507,1680
38,Duarte,0.0098947419341362,0.014979013332391796,0.03887493350766581,0.016194842336644377,0.03007114696685326,22016,969
39,Eagle Rock,0.009400157896898811,0.014578038670677248,0.03673247736733371,0.015387929707937096,0.028364645359074923,39589,1362
40,East Hollywood,0.003140022773887396,0.004506514166227282,0.012221308285232263,0.005098798885217154,0.009422711438475225,29287,1234
41,Echo Park,0.0022352127528091365,0.002471882338400692,0.008960573476702509,0.0036407569325281513,0.006924676125944534,14256,517
42,El Monte,0.011299138173347845,0.015484004163476676,0.04355691899166504,0.018264997300904754,0.03357373071045104,117269,7698
43,El Segundo,0.005607529042327498,0.0056924916035748846,0.024317439859931546,0.010409337094681394,0.01900885589050899,16786,247
44,El Sereno,0.009852731648430545,0.014363317236842482,0.03834050506263064,0.015946213422127164,0.02952711377289911,41808,2515
45,Elysian Park,0.01457168357589115,0.0,0.059786760554023974,0.012750223128904756,0.046500813764240874,5712,204
46,Elysian Valley,0.011104812508460809,0.012306632044008515,0.04482842033079824,0.018142766827765135,0.034480375494287424,10171,468
47,Encino,0.014123296377374478,0.02187487571093346,0.05643016065750963,0.02383370863976407,0.043649820514096556,45172,1418
48,Exposition Park,0.012072628935677033,0.02171594496216271,0.05365612860300903,0.02048688546660345,0.04141068084821188,44917,2473
49,Gardena,0.008393478114896033,0.013130576524082255,0.03241575005150624,0.013529663158810908,0.025035258647391576,61310,2282
50,Glassell Park,0.00979609909537923,0.012175151732828472,0.03816477214889651,0.015863245140948043,0.02942916166243359,31604,1286
51,Glendale,0.012298435793090739,0.018969786769342772,0.04729367688771613,0.01991083678992315,0.03645844904618432,206493,7603
52,Glendora,0.013490704444727204,0.019929449747892458,0.05329549683712418,0.022450287885646715,0.04113487036379024,52764,2084
53,Granada Hills,0.016024853090338288,0.025026335853427152,0.062438702005050806,0.0262417359478802,0.048114389515332014,58191,2646
54,Green Meadows,0.0,0.014860953013741348,0.03686006346691845,0.005872473368333275,0.028393467815100316,21505,1557
55,Hancock Park,0.016351014230054098,0.024157701475230307,0.06479948160414717,0.027988460675058585,0.05082553196229721,17039,426
56,Harbor City,0.008127386855486935,0.012296575958924676,0.03150136845650618,0.013020368760516696,0.024253154425897514,29070,923
57,Harbor Gateway,0.008503829873009475,0.013293876284095701,0.033123532089624916,0.013665916180103108,0.025539342929270077,43600,1802
58,Harvard Heights,0.00809038251733061,0.012777747888309033,0.032540299456771754,0.013042677270363288,0.025092317194262772,18035,921
59,Harvard Park,0.0,0.07604718376611339,0.1885897556271677,0.03531478718426373,0.14562439922570633,37935,2804
60,Hawaiian Gardens,0.010546655768455704,0.016032881983413252,0.04199521928609949,0.017222979144817577,0.032356943743690865,14676,946
61,Hawthorne,0.008541611374985892,0.013524218010394327,0.03338654724091528,0.014018458535691131,0.025726403228563788,88787,3798
62,Hermosa Beach,0.009959520083925555,0.015492586797217532,0.040078648453671435,0.017052794301530956,0.030882573681870713,19670,417
63,Hidden Hills,0.0,0.0,0.025806451612903226,0.013228109733183014,0.01887905604719764,1890,31
64,Highland Park,0.0068244648378755325,0.010133296274421244,0.026344970740286956,0.010914751486481541,0.020309025420985338,48391,2267
65,Hollywood,0.007058723876839386,0.01112062267578986,0.027863045124490865,0.011722160964702506,0.02147557686753664,68254,2361
66,Hollywood Hills,0.012444724681207634,0.019133012704320437,0.04927875612534939,0.020879295915134537,0.03809495193597472,29434,687
67,Huntington Park,0.010184129053283362,0.01629460648525338,0.04631369224988422,0.019010374232795613,0.0356969471970757,59484,4877
68,Hyde Park,0.004962963882030348,0.011787039219822076,0.029096057484210885,0.010918520540466766,0.022477668561624184,28541,1396
69,Industry,0.0,0.0,0.05582350839585566,0.02066798941798942,0.04177109440267335,437,73
70,Inglewood,0.0080821012170028,0.013354627161801828,0.03293280548076098,0.0135577247915222,0.02538369102019286,113582,5215
71,Irwindale,0.0,0.0,0.04610958095612827,0.016774020397208805,0.03548280266830676,1459,111
72,Jefferson Park,0.0029816479568257376,0.006097087809150066,0.015213709285273417,0.004803766152663687,0.011730471098385329,8073,496
73,Koreatown,0.003238644368240342,0.004888328843312767,0.012507624371674615,0.00516724250103932,0.009647616128486728,51693,1992
74,La Habra Heights,0.003400949885302965,0.0,0.015168522282559231,0.006933626702783157,0.012727654556909437,5455,73
75,La Mirada,0.00940532683510752,0.013831362992805175,0.03637066686574821,0.01531396499610451,0.028058178411530306,49599,1683
