"Date","TotalCases","DailyCases","TotalDeaths","NewDeaths","PercentPosAvg"
"2020-12-10",477011,215,7771,6,0.136
"2020-12-09",476796,1510,7765,17,0.132
"2020-12-08",475286,9054,7748,35,0.13
"2020-12-07",466232,11542,7713,52,0.125
"2020-12-06",454690,3992,7661,33,0.119
"2020-12-05",450698,7779,7628,38,0.117
"2020-12-04",442919,9798,7590,37,0.116
"2020-12-03",433121,9889,7553,49,0.117
"2020-12-02",423232,9085,7504,32,0.117
"2020-12-01",414147,9642,7472,39,0.112
"2020-11-30",404505,9846,7433,35,0.101
"2020-11-29",394659,3048,7398,26,0.092
"2020-11-28",391611,5612,7372,30,0.088
"2020-11-27",385999,4206,7342,24,0.079
"2020-11-26",381793,1561,7318,22,0.074
"2020-11-25",380232,6187,7296,30,0.072
"2020-11-24",374045,5655,7266,31,0.068
"2020-11-23",368390,5227,7235,39,0.068
"2020-11-22",363163,2349,7196,31,0.069
"2020-11-21",360814,3389,7165,28,0.069
"2020-11-20",357425,4944,7137,22,0.069
"2020-11-19",352481,4503,7115,35,0.068
"2020-11-18",347978,5113,7080,21,0.067
"2020-11-17",342865,5108,7059,35,0.065
"2020-11-16",337757,4790,7024,23,0.063
"2020-11-15",332967,1854,7001,22,0.06
"2020-11-14",331113,2646,6979,18,0.059
"2020-11-13",328467,3397,6961,22,0.057
"2020-11-12",325070,3243,6939,19,0.055
"2020-11-11",321827,3270,6920,16,0.054
"2020-11-10",318557,3149,6904,15,0.052
"2020-11-09",315408,3223,6889,15,0.051
"2020-11-08",312185,1122,6874,14,0.05
"2020-11-07",311063,1939,6860,11,0.05
"2020-11-06",309124,2406,6849,18,0.049
"2020-11-05",306718,2535,6831,8,0.048
"2020-11-04",304183,2478,6823,10,0.046
"2020-11-03",301705,1964,6813,13,0.042
"2020-11-02",299741,1914,6800,12,0.04
"2020-11-01",297827,795,6788,18,0.038
"2020-10-31",297032,1136,6770,13,0.038
"2020-10-30",295896,1345,6757,9,0.037
"2020-10-29",294551,1298,6748,17,0.037
"2020-10-28",293253,1212,6731,13,0.036
"2020-10-27",292041,1310,6718,17,0.038
"2020-10-26",290731,1475,6701,13,0.038
"2020-10-25",289256,754,6688,16,0.039
"2020-10-24",288502,1080,6672,14,0.04
"2020-10-23",287422,1570,6658,19,0.04
"2020-10-22",285852,1672,6639,15,0.039
"2020-10-21",284180,1697,6624,15,0.039
"2020-10-20",282483,1651,6609,14,0.038
"2020-10-19",280832,1829,6595,16,0.037
"2020-10-18",279003,643,6579,9,0.037
"2020-10-17",278360,1033,6570,12,0.036
"2020-10-16",277327,1343,6558,19,0.037
"2020-10-15",275984,1380,6539,14,0.036
"2020-10-14",274604,1338,6525,17,0.036
"2020-10-13",273266,1227,6508,19,0.036
"2020-10-12",272039,1529,6489,15,0.035
"2020-10-11",270510,499,6474,16,0.035
"2020-10-10",270011,1042,6458,9,0.035
"2020-10-09",268969,1247,6449,10,0.034
"2020-10-08",267722,1214,6439,22,0.034
"2020-10-07",266508,1320,6417,19,0.034
"2020-10-06",265188,904,6398,17,0.035
"2020-10-05",264284,1108,6381,14,0.036
"2020-10-04",263176,504,6367,18,0.036
"2020-10-03",262672,872,6349,12,0.036
"2020-10-02",261800,1096,6337,11,0.037
"2020-10-01",260704,1176,6326,13,0.038
"2020-09-30",259528,1240,6313,14,0.038
"2020-09-29",258288,1167,6299,9,0.038
"2020-09-28",257121,1116,6290,20,0.037
"2020-09-27",256005,495,6270,18,0.037
"2020-09-26",255510,727,6252,20,0.037
"2020-09-25",254783,1071,6232,17,0.037
"2020-09-24",253712,1188,6215,19,0.036
"2020-09-23",252524,1159,6196,27,0.036
"2020-09-22",251365,1097,6169,18,0.037
"2020-09-21",250268,1238,6151,15,0.037
"2020-09-20",249030,449,6136,15,0.037
"2020-09-19",248581,703,6121,16,0.037
"2020-09-18",247878,949,6105,15,0.037
"2020-09-17",246929,1060,6090,18,0.037
"2020-09-16",245869,1157,6072,20,0.037
"2020-09-15",244712,961,6052,20,0.037
"2020-09-14",243751,1149,6032,18,0.038
"2020-09-13",242602,307,6014,19,0.038
"2020-09-12",242295,629,5995,19,0.038
