"place_ID","longitude","latitude","population","cumulative_cases_today","adj_case_rate","cumulative_deaths_today","adj_death_rate","cumulative_persons_tested_today","adj_test_rate","cumulative_persons_pos_today","adj_test_pos_rate","geo_merge"
"Agoura Hills",-118.760876,34.151007,20883,344,1650,7,31,7220,34120,309,1491,"City of Agoura Hills"
"Alhambra",-118.135504,34.083961,86724,2224,2575,35,30,28232,31743,2186,2540,"City of Alhambra"
"Arcadia",-118.037297,34.134186,57754,942,1620,40,45,14845,25587,851,1491,"City of Arcadia"
"Artesia",-118.08063,33.867577,16795,684,3827,14,64,6208,33931,587,3308,"City of Artesia"
"Avalon",-118.331354,33.333921,3869,5,151,0,0,59,1523,5,151,"City of Avalon"
"Azusa",-117.912351,34.138622,50040,2486,5002,31,73,15146,30515,2359,4738,"City of Azusa"
"Baldwin Park",-117.972142,34.082841,76769,4958,6384,112,167,25944,33306,4689,6025,"City of Baldwin Park"
"Bell",-118.179783,33.980058,36332,2534,6959,47,175,13104,35959,2468,6763,"City of Bell"
"Bell Gardens",-118.155014,33.966323,43071,3281,7711,33,127,15309,36050,3189,7451,"City of Bell Gardens"
"Bellflower",-118.127136,33.888021,77735,3799,4846,66,99,26713,33805,3666,4681,"City of Bellflower"
"Beverly Hills",-118.402109,34.078543,34520,1112,3250,11,16,21444,62203,972,2871,"City of Beverly Hills"
"Bradbury",-117.968387,34.153532,1069,29,3034,0,0,55,4808,9,1219,"City of Bradbury"
"Burbank",-118.323487,34.1879,107180,3117,2792,95,72,41020,37110,2831,2546,"City of Burbank"
"Calabasas",-118.668881,34.13747,24323,474,1890,13,44,8678,35755,428,1707,"City of Calabasas"
"Carson",-118.255878,33.837391,93846,3086,3231,64,54,28255,29354,2676,2803,"City of Carson"
"Cerritos",-118.068587,33.867752,50067,955,1983,17,25,13675,26847,901,1874,"City of Cerritos"
"Claremont",-117.715319,34.125904,36484,808,2364,11,19,10632,29862,774,2269,"City of Claremont"
"Commerce",-118.151914,33.996345,13069,1011,7651,14,107,5408,41154,1004,7607,"City of Commerce"
"Compton",-118.22753,33.892938,99904,6395,6400,81,100,34729,35081,6276,6270,"City of Compton"
"Covina",-117.881821,34.090264,49032,2335,4678,62,108,16574,33095,2133,4283,"City of Covina"
"Cudahy",-118.183118,33.963116,24347,1831,7594,18,121,8774,36001,1805,7499,"City of Cudahy"
"Culver City",-118.396806,34.005798,39865,726,1818,35,59,17136,43713,672,1683,"City of Culver City"
"Diamond Bar",-117.81613,33.999164,57515,1084,1836,16,21,14124,23494,1030,1736,"City of Diamond Bar"
"Downey",-118.131148,33.937862,114263,6961,5972,102,88,42311,36214,6798,5835,"City of Downey"
"Duarte",-117.950531,34.16094,22016,908,3967,37,108,7128,31550,821,3640,"City of Duarte"
"El Monte",-118.029074,34.073948,117269,7041,5928,194,166,36637,30690,6849,5758,"City of El Monte"
"El Segundo",-118.402004,33.916898,16786,228,1346,1,3,6160,36863,193,1165,"City of El Segundo"
"Gardena",-118.307231,33.894352,61310,2026,3298,66,79,19659,31722,1863,3050,"City of Gardena"
"Glendale",-118.246803,34.181933,206493,7042,3255,203,68,64545,30243,6144,2858,"City of Glendale"
"Glendora",-117.846736,34.144935,52764,1936,3521,82,116,14804,27696,1690,3096,"City of Glendora"
"Hawaiian Gardens",-118.072804,33.830337,14676,847,5666,3,22,4302,28991,857,5739,"City of Hawaiian Gardens"
"Hawthorne",-118.347694,33.914649,88787,3419,3814,60,78,27977,31126,3248,3617,"City of Hawthorne"
"Hermosa Beach",-118.396435,33.865241,19670,401,1974,4,27,7572,37627,362,1771,"City of Hermosa Beach"
"Hidden Hills",-118.661203,34.163749,1890,31,2097,0,0,771,54389,26,1840,"City of Hidden Hills"
"Huntington Park",-118.216706,33.979987,59484,4491,7517,66,143,21151,35323,4322,7219,"City of Huntington Park"
"Industry",-117.926756,34.017494,437,60,14747,2,556,680,159326,46,11521,"City of Industry"
"Inglewood",-118.344474,33.956529,113582,4734,4113,102,96,37946,32734,4610,4009,"City of Inglewood"
"Irwindale",-117.963631,34.112113,1459,104,7074,2,155,594,40297,93,6327,"City of Irwindale"
"La Canada Flintridge",-118.200156,34.209689,20693,296,1780,6,17,7040,40072,268,1672,"City of La Canada Flintridge"
"La Habra Heights",-117.950975,33.96025,5455,70,1259,1,8,105,2205,9,181,"City of La Habra Heights"
"La Mirada",-118.00932,33.90251,49599,1500,2966,28,38,13379,25937,1435,2839,"City of La Mirada"
"La Puente",-117.953338,34.032209,40697,2607,6298,30,73,13096,31615,2522,6087,"City of La Puente"
"La Verne",-117.770312,34.120692,33282,973,2985,16,31,9312,27479,895,2788,"City of La Verne"
"Lakewood",-118.122171,33.84707,80362,2221,2766,16,17,25041,30833,2130,2644,"City of Lakewood"
"Lancaster",-118.175352,34.693444,161570,7606,4759,80,61,44989,28029,6915,4307,"City of Lancaster"
"Lawndale",-118.353156,33.888463,33614,1148,3318,13,52,9358,27019,1096,3170,"City of Lawndale"
"Lomita",-118.317456,33.793312,20729,378,1816,9,31,5405,25669,305,1475,"City of Lomita"
"Lynwood",-118.201664,33.923954,72047,5286,7467,117,258,26262,36626,5111,7143,"City of Lynwood"
"Malibu",-118.784201,34.03684,12961,169,1346,3,11,4700,36020,127,970,"City of Malibu"
"Manhattan Beach",-118.397059,33.889428,35999,584,1649,4,10,12259,34262,505,1426,"City of Manhattan Beach"
"Maywood",-118.187662,33.98852,28049,2124,7729,41,220,9978,35904,2080,7589,"City of Maywood"
"Monrovia",-117.992121,34.165036,38800,1253,3270,41,97,12524,32260,1191,3101,"City of Monrovia"
"Montebello",-118.110797,34.015436,64375,3911,6034,61,76,24378,37304,3811,5887,"City of Montebello"
"Monterey Park",-118.13253,34.049708,62262,1587,2541,61,47,18347,29203,1546,2470,"City of Monterey Park"
"Norwalk",-118.082884,33.90687,107622,5811,5284,100,91,35471,32199,5549,5041,"City of Norwalk"
"Palmdale",-118.105685,34.594429,158968,8980,5702,85,68,49366,31467,8632,5478,"City of Palmdale"
"Palos Verdes Estates",-118.397292,33.787212,13522,159,1232,2,7,3199,27033,112,838,"City of Palos Verdes Estates"
"Paramount",-118.165144,33.89765,56023,3817,6715,33,77,19819,35241,3732,6549,"City of Paramount"
"Pico Rivera",-118.088735,33.990124,64284,4298,6563,88,118,23520,35920,4094,6265,"City of Pico Rivera"
"Pomona",-117.762596,34.058481,155931,9883,6278,159,124,52923,33580,9673,6150,"City of Pomona"
"Rancho Palos Verdes",-118.363522,33.75538,42747,482,1238,11,12,9399,24072,404,1059,"City of Rancho Palos Verdes"
"Redondo Beach",-118.376656,33.857406,68697,1040,1597,13,20,20909,31206,933,1436,"City of Redondo Beach"
"Rolling Hills",-118.347168,33.760022,1940,16,1099,0,0,450,26587,9,803,"City of Rolling Hills"
"Rolling Hills Estates",-118.350807,33.778407,8113,79,1396,3,18,2143,30878,57,1002,"City of Rolling Hills Estates"
"Rosemead",-118.082271,34.068882,55350,1601,2856,33,45,14426,25193,1566,2808,"City of Rosemead"
"San Dimas",-117.808944,34.108201,34516,1114,3186,17,36,10861,30972,1040,2961,"City of San Dimas"
"San Fernando",-118.436238,34.288671,24612,1947,7753,24,118,11359,45707,1967,7843,"City of San Fernando"
"San Gabriel",-118.099093,34.094844,40954,1139,2605,102,169,12024,28457,1119,2558,"City of San Gabriel"
"San Marino",-118.113237,34.122367,13277,145,1097,3,15,3824,30753,125,956,"City of San Marino"
"Santa Clarita",-118.496479,34.41748,220424,7219,3296,69,34,70838,31911,6865,3137,"City of Santa Clarita"
"Santa Fe Springs",-118.062518,33.933048,18364,988,5398,10,48,6141,33518,948,5195,"City of Santa Fe Springs"
"Santa Monica",-118.481816,34.023052,92446,1694,1767,50,37,42567,44415,1493,1566,"City of Santa Monica"
"Sierra Madre",-118.050332,34.168709,10989,164,1431,5,26,3836,36771,155,1339,"City of Sierra Madre"
"Signal Hill",-118.168269,33.803005,11797,434,3720,4,29,4170,35490,422,3613,"City of Signal Hill"
"South El Monte",-118.048315,34.049352,20885,1357,6450,18,100,7161,33978,1329,6314,"City of South El Monte"
"South Gate",-118.192526,33.944713,98155,7166,7200,83,110,38019,38314,6911,6943,"City of South Gate"
"South Pasadena",-118.157289,34.11024,26053,483,1833,27,83,10623,41769,437,1690,"City of South Pasadena"
"Temple City",-118.057952,34.102167,36455,881,2285,48,84,10413,27906,852,2214,"City of Temple City"
"Torrance",-118.341633,33.834625,149268,2327,1562,77,37,37169,24620,2033,1375,"City of Torrance"
"Vernon",-118.210583,34.001902,209,27,18689,0,0,412,216128,23,16464,"City of Vernon"
"Walnut",-117.859319,34.033461,30532,603,2019,5,9,7661,24434,561,1871,"City of Walnut"
"West Covina",-117.911288,34.055423,108235,4887,4434,76,59,34495,30861,4535,4121,"City of West Covina"
"West Hollywood",-118.371765,34.088278,36951,1006,2647,9,15,19386,48305,892,2348,"City of West Hollywood"
"Westlake Village",-118.822005,34.136925,8360,58,695,0,0,507,6260,10,114,"City of Westlake Village"
"Whittier",-118.018806,33.967844,87432,4236,4777,62,68,28111,31789,3959,4470,"City of Whittier"
"Adams Normandie",-118.302397,34.029122,8202,448,5305,5,58,2964,34930,431,5100,"Los Angeles - Adams-Normandie"
"Alsace",-118.362349,34.029571,12445,589,4497,3,34,4033,31492,584,4447,"Los Angeles - Alsace"
"Angeles National Forest",-118.279007,34.275218,40,2,1576,0,0,7,4569,2,1576,"Los Angeles - Angeles National Forest"
"Angelino Heights",-118.251986,34.068331,2502,103,4242,1,38,1428,54289,104,4312,"Los Angeles - Angelino Heights"
"Arleta",-118.431775,34.241478,34370,2697,7635,29,99,15501,43922,2637,7486,"Los Angeles - Arleta"
"Atwater Village",-118.258308,34.119421,14666,456,3099,8,41,7614,51877,452,3083,"Los Angeles - Atwater Village"
"Baldwin Hills",-118.356095,34.014825,31125,986,3208,29,75,10707,34335,930,3039,"Los Angeles - Baldwin Hills"
"Bel Air",-118.460296,34.098692,8429,142,1902,0,0,3643,47430,126,1722,"Los Angeles - Bel Air"
"Beverly Crest",-118.424404,34.11298,12525,241,2354,2,9,5393,48995,206,2056,"Los Angeles - Beverly Crest"
"Beverlywood",-118.394492,34.044747,13173,283,2256,0,0,6253,49886,254,2010,"Los Angeles - Beverlywood"
"Boyle Heights",-118.20533,34.03815,86884,6790,7801,88,120,37031,42459,6757,7747,"Los Angeles - Boyle Heights"
"Brentwood",-118.485909,34.08524,30955,579,1805,5,14,15701,48951,499,1570,"Los Angeles - Brentwood"
"Brookside",-118.336327,34.058936,581,10,1829,1,118,290,56899,7,1135,"Los Angeles - Brookside"
"Cadillac Corning",-118.381794,34.042513,7121,234,3241,2,39,2427,33004,227,3144,"Los Angeles - Cadillac-Corning"
"Canoga Park",-118.600829,34.208098,65289,3566,5418,75,150,23774,35992,3449,5198,"Los Angeles - Canoga Park"
"Carthay",-118.372894,34.07124,14363,399,3681,19,69,7743,75051,357,3337,"Los Angeles - Carthay"
"Central",-118.258141,34.016399,38992,3173,8250,47,187,14896,39192,3175,8246,"Los Angeles - Central"
"Century City",-118.419399,34.052715,12792,229,2141,2,7,5841,51650,205,1923,"Los Angeles - Century City"
"Century Palms Cove",-118.267985,33.932641,33766,2355,7053,23,102,12298,36942,2352,7060,"Los Angeles - Century Palms/Cove"
"Chatsworth",-118.596089,34.256617,37061,1339,3749,36,63,14982,39783,1283,3623,"Los Angeles - Chatsworth"
"Cheviot Hills",-118.408801,34.041277,9171,154,1848,2,10,4863,56661,133,1571,"Los Angeles - Cheviot Hills"
"Chinatown",-118.240969,34.06146,8021,278,3579,3,21,3142,37625,269,3457,"Los Angeles - Chinatown"
"Cloverdale Cochran",-118.356007,34.038941,14553,545,3603,5,37,5447,36133,533,3529,"Los Angeles - Cloverdale/Cochran"
"Country Club Park",-118.325579,34.054301,15153,585,3624,36,177,5985,38188,554,3433,"Los Angeles - Country Club Park"
"Crenshaw District",-118.335877,34.023057,13829,522,3815,4,18,5641,40778,516,3766,"Los Angeles - Crenshaw District"
"Crestview",-118.378658,34.049595,11368,329,2934,22,170,5515,50258,299,2664,"Los Angeles - Crestview"
"Del Rey",-118.424311,33.989764,29936,741,2547,9,23,11597,38520,680,2349,"Los Angeles - Del Rey"
"Downtown",-118.257803,34.044724,27507,1526,5792,19,55,19353,68963,1434,5403,"Los Angeles - Downtown"
"Eagle Rock",-118.205209,34.135207,39589,1209,3000,28,50,19256,48926,1168,2915,"Los Angeles - Eagle Rock"
"East Hollywood",-118.292538,34.09217,29287,1127,3652,49,144,11445,36238,1048,3398,"Los Angeles - East Hollywood"
"Echo Park",-118.255001,34.082177,14256,477,3345,7,45,8614,57567,476,3353,"Los Angeles - Echo Park"
"El Sereno",-118.177515,34.081112,41808,2248,5310,40,91,18132,42791,2240,5297,"Los Angeles - El Sereno"
"Elysian Park",-118.240334,34.078256,5712,187,3156,0,0,2710,43887,180,3061,"Los Angeles - Elysian Park"
"Elysian Valley",-118.237642,34.092694,10171,430,4108,5,44,4719,45145,423,4043,"Los Angeles - Elysian Valley"
"Encino",-118.501697,34.155925,45172,1292,3101,23,25,20179,46548,1146,2779,"Los Angeles - Encino"
"Exposition",-118.349778,34.026624,3326,121,3465,2,62,1310,37724,120,3449,"Los Angeles - Exposition"
"Exposition Park",-118.297919,34.018599,44917,2250,5035,27,83,15247,33262,2189,4908,"Los Angeles - Exposition Park"
"Faircrest Heights",-118.371706,34.038691,3600,72,1908,1,23,1533,41876,58,1545,"Los Angeles - Faircrest Heights"
"Figueroa Park Square",-118.286739,33.93256,8721,515,5945,6,73,3229,37228,500,5752,"Los Angeles - Figueroa Park Square"
"Florence Firestone",-118.267376,33.974897,47445,3711,7864,38,106,18533,39648,3713,7860,"Los Angeles - Florence-Firestone"
"Glassell Park",-118.231508,34.118242,31604,1174,3664,15,39,13879,43883,1161,3633,"Los Angeles - Glassell Park"
"Gramercy Place",-118.309409,33.951267,10764,426,4105,6,44,3989,37305,419,4042,"Los Angeles - Gramercy Place"
"Granada Hills",-118.504152,34.291056,58191,2442,4135,79,98,22710,38417,2334,3949,"Los Angeles - Granada Hills"
"Green Meadows",-118.263144,33.950734,21505,1439,6705,15,99,7918,37300,1443,6693,"Los Angeles - Green Meadows"
"Hancock Park",-118.32887,34.069715,17039,391,2448,4,22,7714,47961,350,2210,"Los Angeles - Hancock Park"
"Harbor City",-118.296386,33.781993,29070,833,2845,12,33,7427,25296,765,2619,"Los Angeles - Harbor City"
"Harbor Gateway",-118.29466,33.866487,43600,1640,3680,18,47,12499,28185,1536,3454,"Los Angeles - Harbor Gateway"
"Harbor Pines",-118.304543,33.78262,2409,55,2357,0,0,605,25239,47,1973,"Los Angeles - Harbor Pines"
"Harvard Heights",-118.304644,34.043582,18035,842,4607,30,200,5788,31368,799,4353,"Los Angeles - Harvard Heights"
"Harvard Park",-118.298016,33.981859,37935,2526,6616,27,78,14987,39381,2510,6565,"Los Angeles - Harvard Park"
"Highland Park",-118.187118,34.112134,48391,2028,4112,25,57,20845,42061,2010,4073,"Los Angeles - Highland Park"
"Historic Filipinotown",-118.271077,34.070245,13870,724,4939,16,104,6278,42442,703,4791,"Los Angeles - Historic Filipinotown"
"Hollywood",-118.35386,34.100299,68254,2174,2912,20,31,29527,38121,2031,2736,"Los Angeles - Hollywood"
"Hollywood Hills",-118.346365,34.120516,29434,632,2383,6,19,14506,53075,570,2218,"Los Angeles - Hollywood Hills"
"Hyde Park",-118.328048,33.983083,28541,1247,4322,14,42,11057,38407,1215,4211,"Los Angeles - Hyde Park"
"Jefferson Park",-118.322769,34.02425,8073,446,5448,1,9,3017,37028,442,5396,"Los Angeles - Jefferson Park"
"Koreatown",-118.304346,34.054588,51693,1842,3480,36,69,16664,30829,1768,3337,"Los Angeles - Koreatown"
"Lafayette Square",-118.334892,34.043401,4559,187,4048,3,64,1728,36920,187,4052,"Los Angeles - Lafayette Square"
"Lake Balboa",-118.498229,34.198949,42206,1969,4625,21,57,16861,39275,1930,4537,"Los Angeles - Lake Balboa"
"Lakeview Terrace",-118.37398,34.274649,13133,925,6988,26,225,5704,42976,894,6723,"Los Angeles - Lakeview Terrace"
"Leimert Park",-118.32453,34.006034,15235,550,3613,9,47,5895,38036,508,3331,"Los Angeles - Leimert Park"
"Lincoln Heights",-118.205364,34.081157,32597,1789,5367,56,146,14231,42911,1759,5295,"Los Angeles - Lincoln Heights"
"Little Armenia",-118.304855,34.094457,8025,503,5569,50,514,3559,40221,367,4152,"Los Angeles - Little Armenia"
"Little Bangladesh",-118.300377,34.065378,28343,865,3014,7,25,9883,34459,834,2896,"Los Angeles - Little Bangladesh"
"Little Tokyo",-118.241598,34.046994,3133,147,5346,1,15,2358,84946,139,4809,"Los Angeles - Little Tokyo"
"Longwood",-118.343548,34.036097,4304,202,4654,0,0,1805,41276,186,4260,"Los Angeles - Longwood"
