geo_merge,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
City of Agoura Hills,7104,34018.0,33529,289,1384,1392,20883.0
City of Alhambra,27813,32071.0,31259,2064,2380,2397,86724.0
City of Arcadia,14595,25271.0,25137,803,1390,1398,57754.0
City of Artesia,6136,36535.0,33528,566,3370,3189,16795.0
City of Avalon,61,1577.0,1573,5,129,151,3869.0
City of Azusa,14859,29694.0,29954,2261,4518,4539,50040.0
City of Baldwin Park,25553,33286.0,32812,4528,5898,5819,76769.0
City of Bell,12796,35220.0,35114,2337,6432,6407,36332.0
City of Bell Gardens,14994,34812.0,35327,3048,7077,7131,43071.0
City of Bellflower,26248,33766.0,33213,3528,4538,4508,77735.0
City of Beverly Hills,21256,61576.0,61618,935,2709,2754,34520.0
City of Bradbury,55,5145.0,4808,9,842,1219,1069.0
City of Burbank,40391,37685.0,36519,2695,2514,2420,107180.0
City of Calabasas,8509,34983.0,35019,414,1702,1646,24323.0
City of Carson,27729,29547.0,28796,2575,2744,2700,93846.0
City of Cerritos,13489,26942.0,26481,865,1728,1803,50067.0
City of Claremont,10483,28733.0,29412,742,2034,2181,36484.0
City of Commerce,5303,40577.0,40338,956,7315,7236,13069.0
City of Compton,34142,34175.0,34496,6056,6062,6057,99904.0
City of Covina,16320,33284.0,32586,2058,4197,4132,49032.0
City of Cudahy,8579,35236.0,35200,1714,7040,7128,24347.0
City of Culver City,16962,42549.0,43252,648,1625,1625,39865.0
City of Diamond Bar,13882,24136.0,23055,989,1720,1663,57515.0
City of Downey,41499,36319.0,35512,6492,5682,5576,114263.0
City of Duarte,7016,31868.0,31027,797,3620,3524,22016.0
City of El Monte,35997,30696.0,30157,6610,5637,5559,117269.0
City of El Segundo,6103,36358.0,36528,180,1072,1091,16786.0
City of Gardena,19316,31505.0,31149,1773,2892,2902,61310.0
City of Glendale,63616,30808.0,29801,5885,2850,2737,206493.0
City of Glendora,14555,27585.0,27220,1649,3125,3015,52764.0
City of Hawaiian Gardens,4182,28496.0,28181,808,5506,5399,14676.0
City of Hawthorne,27499,30972.0,30596,3102,3494,3455,88787.0
City of Hermosa Beach,7473,37992.0,37093,343,1744,1682,19670.0
City of Hidden Hills,766,40529.0,53578,25,1323,1797,1890.0
City of Huntington Park,20687,34777.0,34546,4145,6968,6930,59484.0
City of Industry,669,153089.0,154859,41,9382,9876,437.0
City of Inglewood,37398,32926.0,32253,4412,3884,3837,113582.0
City of Irwindale,586,40164.0,39751,91,6237,6166,1459.0
City of La Canada Flintridge,6949,33581.0,39488,258,1247,1637,20693.0
City of La Habra Heights,105,1925.0,2205,9,165,181,5455.0
City of La Mirada,13115,26442.0,25399,1375,2772,2715,49599.0
City of La Puente,12844,31560.0,30999,2395,5885,5775,40697.0
City of La Verne,9145,27477.0,26949,847,2545,2632,33282.0
City of Lakewood,24668,30696.0,30361,2053,2555,2550,80362.0
City of Lancaster,44185,27347.0,27529,6615,4094,4119,161570.0
City of Lawndale,9173,27289.0,26477,1047,3115,3030,33614.0
City of Lomita,5314,25636.0,25231,283,1365,1362,20729.0
City of Lynwood,25732,35716.0,35898,4883,6778,6827,72047.0
City of Malibu,4670,36031.0,35782,123,949,939,12961.0
City of Manhattan Beach,12127,33687.0,33870,487,1353,1361,35999.0
City of Maywood,9733,34700.0,35037,1963,6998,7185,28049.0
