date_use,cumulative_tests,cumulative_tests_pos,percent_positive_tests_cum,tests,tests_pos,percent_positive_tests,avg_tests,avg_pos_tests,percent_positive_avg_tests
2020-12-06,8298968,545204,6.6%,1,0,0%,54818.0,6163.0,11.2%
2020-12-05,8298967,545204,6.6%,974,173,17.8%,58465.0,6668.0,11.4%
2020-12-04,8297993,545031,6.6%,18653,1776,9.5%,66877.0,7866.0,11.8%
2020-12-03,8279340,543255,6.6%,56755,6791,12%,69313.0,8249.0,11.9%
2020-12-02,8222585,536464,6.5%,93151,10949,11.8%,62483.0,7460.0,11.9%
2020-12-01,8129434,525515,6.5%,103113,11795,11.4%,61367.0,6959.0,11.3%
2020-11-30,8026321,513720,6.4%,111081,11655,10.5%,61271.0,6287.0,10.3%
2020-11-29,7915240,502065,6.3%,25529,3537,13.9%,59831.0,5541.0,9.3%
2020-11-28,7889711,498528,6.3%,59855,8562,14.3%,60438.0,5396.0,8.9%
2020-11-27,7829856,489966,6.3%,35708,4455,12.5%,59984.0,4807.0,8%
2020-11-26,7794148,485511,6.2%,8946,1267,14.2%,67117.0,5025.0,7.5%
2020-11-25,7785202,484244,6.2%,85339,7443,8.7%,77310.0,5606.0,7.3%
2020-11-24,7699863,476801,6.2%,102438,7088,6.9%,77631.0,5345.0,6.9%
2020-11-23,7597425,469713,6.2%,101004,6432,6.4%,75159.0,5120.0,6.8%
2020-11-22,7496421,463281,6.2%,29777,2527,8.5%,72342.0,4987.0,6.9%
2020-11-21,7466644,460754,6.2%,56676,4436,7.8%,71112.0,4906.0,6.9%
2020-11-20,7409968,456318,6.2%,85640,5983,7%,69254.0,4784.0,6.9%
2020-11-19,7324328,450335,6.1%,80299,5333,6.6%,67230.0,4575.0,6.8%
2020-11-18,7244029,445002,6.1%,87586,5616,6.4%,65787.0,4390.0,6.7%
2020-11-17,7156443,439386,6.1%,85130,5514,6.5%,62442.0,4099.0,6.6%
2020-11-16,7071313,433872,6.1%,81286,5500,6.8%,59856.0,3794.0,6.3%
2020-11-15,6990027,428372,6.1%,21166,1961,9.3%,57959.0,3511.0,6.1%
2020-11-14,6968861,426411,6.1%,43669,3579,8.2%,57000.0,3375.0,5.9%
2020-11-13,6925192,422832,6.1%,71476,4525,6.3%,55419.0,3182.0,5.7%
2020-11-12,6853716,418307,6.1%,70197,4037,5.8%,53715.0,2969.0,5.5%
2020-11-11,6783519,414270,6.1%,64170,3578,5.6%,52260.0,2820.0,5.4%
2020-11-10,6719349,410692,6.1%,67028,3378,5%,52218.0,2729.0,5.2%
2020-11-09,6652321,407314,6.1%,68010,3522,5.2%,50954.0,2609.0,5.1%
2020-11-08,6584311,403792,6.1%,14451,1009,7%,50210.0,2524.0,5%
2020-11-07,6569860,402783,6.1%,32604,2228,6.8%,49993.0,2499.0,5%
2020-11-06,6537256,400555,6.1%,59546,3033,5.1%,49208.0,2418.0,4.9%
2020-11-05,6477710,397522,6.1%,60009,2995,5%,47656.0,2293.0,4.8%
2020-11-04,6417701,394527,6.1%,63880,2936,4.6%,47037.0,2156.0,4.6%
2020-11-03,6353821,391591,6.2%,58176,2537,4.4%,46530.0,1981.0,4.3%
2020-11-02,6295645,389054,6.2%,62807,2929,4.7%,46651.0,1885.0,4%
2020-11-01,6232838,386125,6.2%,12926,835,6.5%,46025.0,1768.0,3.8%
2020-10-31,6219912,385290,6.2%,27115,1660,6.1%,46020.0,1735.0,3.8%
2020-10-30,6192797,383630,6.2%,48681,2158,4.4%,45887.0,1698.0,3.7%
2020-10-29,6144116,381472,6.2%,55676,2039,3.7%,46025.0,1685.0,3.7%
2020-10-28,6088440,379433,6.2%,60327,1710,2.8%,45389.0,1659.0,3.7%
2020-10-27,6028113,377723,6.3%,59023,1862,3.2%,44736.0,1689.0,3.8%
2020-10-26,5969090,375861,6.3%,58424,2114,3.6%,43985.0,1693.0,3.8%
2020-10-25,5910666,373747,6.3%,12894,600,4.7%,43362.0,1709.0,3.9%
2020-10-24,5897772,373147,6.3%,26185,1403,5.4%,43171.0,1721.0,4%
2020-10-23,5871587,371744,6.3%,49644,2070,4.2%,42906.0,1706.0,4%
2020-10-22,5821943,369674,6.3%,51226,1857,3.6%,42700.0,1663.0,3.9%
2020-10-21,5770717,367817,6.4%,55758,1915,3.4%,42465.0,1645.0,3.9%
2020-10-20,5714959,365902,6.4%,53765,1892,3.5%,42063.0,1610.0,3.8%
2020-10-19,5661194,364010,6.4%,54060,2229,4.1%,41626.0,1558.0,3.7%
2020-10-18,5607134,361781,6.5%,11562,679,5.9%,40966.0,1507.0,3.7%
2020-10-17,5595572,361102,6.5%,24327,1303,5.4%,40968.0,1493.0,3.6%
2020-10-16,5571245,359799,6.5%,48205,1766,3.7%,41055.0,1502.0,3.7%
2020-10-15,5523040,358033,6.5%,49578,1729,3.5%,40789.0,1486.0,3.6%
2020-10-14,5473462,356304,6.5%,52945,1675,3.2%,40532.0,1457.0,3.6%
2020-10-13,5420517,354629,6.5%,50703,1525,3%,40465.0,1458.0,3.6%
2020-10-12,5369814,353104,6.6%,49445,1872,3.8%,40385.0,1436.0,3.6%
2020-10-11,5320369,351232,6.6%,11572,579,5%,40303.0,1428.0,3.5%
2020-10-10,5308797,350653,6.6%,24935,1368,5.5%,40278.0,1417.0,3.5%
2020-10-09,5283862,349285,6.6%,46346,1655,3.6%,40272.0,1378.0,3.4%
2020-10-08,5237516,347630,6.6%,47781,1523,3.2%,40029.0,1354.0,3.4%
2020-10-07,5189735,346107,6.7%,52471,1686,3.2%,38991.0,1341.0,3.4%
2020-10-06,5137264,344421,6.7%,50143,1368,2.7%,37907.0,1313.0,3.5%
2020-10-05,5087121,343053,6.7%,48873,1817,3.7%,36715.0,1317.0,3.6%
2020-10-04,5038248,341236,6.8%,11397,500,4.4%,34957.0,1261.0,3.6%
2020-10-03,5026851,340736,6.8%,24892,1099,4.4%,34673.0,1264.0,3.6%
2020-10-02,5001959,339637,6.8%,44648,1488,3.3%,34093.0,1257.0,3.7%
2020-10-01,4957311,338149,6.8%,40514,1429,3.5%,32970.0,1255.0,3.8%
2020-09-30,4916797,336720,6.8%,44882,1493,3.3%,32947.0,1263.0,3.8%
2020-09-29,4871915,335227,6.9%,41802,1394,3.3%,32911.0,1246.0,3.8%
2020-09-28,4830113,333833,6.9%,36561,1426,3.9%,33117.0,1232.0,3.7%
2020-09-27,4793552,332407,6.9%,9415,521,5.5%,34012.0,1256.0,3.7%
2020-09-26,4784137,331886,6.9%,20827,1050,5%,34011.0,1256.0,3.7%
2020-09-25,4763310,330836,6.9%,36787,1473,4%,33975.0,1245.0,3.7%
