geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
City of Agoura Hills,330,1580,1578,7,34,31,20883
City of Alhambra,2174,2507,2513,35,40,30,86724
City of Arcadia,914,1583,1561,40,69,45,57754
City of Artesia,678,4037,3796,14,83,64,16795
City of Avalon,5,129,151,0,0,0,3869
City of Azusa,2445,4886,4919,31,62,73,50040
City of Baldwin Park,4898,6380,6307,111,145,165,76769
City of Bell,2477,6818,6799,47,129,175,36332
City of Bell Gardens,3231,7502,7595,33,77,127,43071
City of Bellflower,3742,4814,4775,66,85,99,77735
City of Beverly Hills,1089,3155,3174,11,32,16,34520
City of Bradbury,29,2713,3034,0,0,0,1069
City of Burbank,3061,2856,2739,95,89,72,107180
City of Calabasas,472,1941,1883,13,53,44,24323
City of Carson,3029,3228,3173,64,68,54,93846
City of Cerritos,934,1866,1939,17,34,25,50067
City of Claremont,790,2165,2313,11,30,19,36484
City of Commerce,987,7552,7462,14,107,107,13069
City of Compton,6310,6316,6318,81,81,100,99904
City of Covina,2305,4701,4618,62,126,108,49032
City of Cudahy,1788,7344,7414,18,74,121,24347
City of Culver City,710,1781,1778,35,88,59,39865
City of Diamond Bar,1068,1857,1805,16,28,21,57515
City of Downey,6827,5975,5859,102,89,88,114263
City of Duarte,896,4070,3905,37,168,108,22016
City of El Monte,6934,5913,5837,193,165,165,117269
City of El Segundo,224,1334,1323,1,6,3,16786
City of Gardena,1994,3252,3248,66,108,79,61310
City of Glendale,6930,3356,3204,203,98,68,206493
City of Glendora,1919,3637,3489,82,155,116,52764
City of Hawaiian Gardens,838,5710,5602,3,20,22,14676
City of Hawthorne,3345,3767,3735,60,68,78,88787
City of Hermosa Beach,394,2003,1940,4,20,27,19670
City of Hidden Hills,31,1640,2097,0,0,0,1890
City of Huntington Park,4421,7432,7404,66,111,143,59484
City of Industry,57,13043,13973,2,458,556,437
City of Inglewood,4645,4090,4037,102,90,96,113582
City of Irwindale,103,7060,6989,2,137,155,1459
City of La Canada Flintridge,295,1426,1777,6,29,17,20693
City of La Habra Heights,70,1283,1259,1,18,8,5455
City of La Mirada,1473,2970,2905,28,56,38,49599
City of La Puente,2548,6261,6155,30,74,73,40697
City of La Verne,952,2860,2918,16,48,31,33282
City of Lakewood,2189,2724,2726,16,20,17,80362
City of Lancaster,7352,4550,4594,80,50,61,161570
City of Lawndale,1127,3353,3258,13,39,52,33614
City of Lomita,366,1766,1750,9,43,31,20729
City of Lynwood,5179,7188,7320,117,162,258,72047
City of Malibu,164,1265,1291,3,23,11,12961
City of Manhattan Beach,580,1611,1635,4,11,10,35999
City of Maywood,2073,7391,7550,41,146,220,28049
City of Monrovia,1232,3175,3214,41,106,97,38800
City of Montebello,3843,5970,5927,60,93,75,64375
City of Monterey Park,1537,2469,2475,60,96,46,62262
City of Norwalk,5688,5285,5173,100,93,91,107622
City of Palmdale,8818,5547,5596,85,53,68,158968
City of Palos Verdes Estates,159,1176,1232,2,15,7,13522
City of Paramount,3746,6687,6587,33,59,77,56023
City of Pico Rivera,4212,6552,6432,88,137,118,64284
City of Pomona,9648,6187,6126,157,101,123,155931
City of Rancho Palos Verdes,471,1102,1222,11,26,12,42747
City of Redondo Beach,1031,1501,1582,13,19,20,68697
City of Rolling Hills,16,825,1099,0,0,0,1940
City of Rolling Hills Estates,76,937,1318,3,37,18,8113
City of Rosemead,1557,2813,2781,32,58,44,55350
City of San Dimas,1099,3184,3139,17,49,36,34516
City of San Fernando,1897,7708,7556,24,98,118,24612
City of San Gabriel,1128,2754,2578,100,244,165,40954
City of San Marino,141,1062,1056,3,23,15,13277
City of Santa Clarita,7099,3221,3244,69,31,34,220424
City of Santa Fe Springs,964,5249,5267,10,54,48,18364
City of Santa Monica,1654,1789,1729,48,52,35,92446
City of Sierra Madre,151,1374,1358,5,46,26,10989
City of Signal Hill,429,3637,3680,4,34,29,11797
City of South El Monte,1335,6392,6351,18,86,100,20885
City of South Gate,7038,7170,7073,83,85,110,98155
City of South Pasadena,474,1819,1797,27,104,83,26053
City of Temple City,870,2387,2254,48,132,84,36455
City of Torrance,2292,1535,1538,77,52,37,149268
City of Vernon,27,12919,18689,0,0,0,209
City of Walnut,593,1942,1989,5,16,9,30532
City of West Covina,4816,4450,4367,76,70,59,108235
City of West Hollywood,996,2695,2608,9,24,15,36951
City of Westlake Village,58,694,695,0,0,0,8360
City of Whittier,4154,4751,4681,61,70,66,87432
Los Angeles - Adams-Normandie,445,5426,5266,5,61,58,8202
Los Angeles - Alsace,577,4636,4404,3,24,34,12445
Los Angeles - Angeles National Forest,2,5000,1576,0,0,0,40
Los Angeles - Angelino Heights,102,4077,4190,1,40,38,2502
Los Angeles - Arleta,2630,7652,7449,29,84,99,34370
Los Angeles - Atwater Village,453,3089,3078,8,55,41,14666
Los Angeles - Baldwin Hills,971,3120,3155,29,93,75,31125
Los Angeles - Bel Air,140,1661,1853,0,0,0,8429
Los Angeles - Beverly Crest,240,1916,2336,2,16,9,12525
Los Angeles - Beverlywood,280,2126,2233,0,0,0,13173
Los Angeles - Boyle Heights,6667,7673,7658,86,99,118,86884
Los Angeles - Brentwood,571,1845,1782,5,16,14,30955
Los Angeles - Brookside,9,1549,1522,0,0,0,581
Los Angeles - Cadillac-Corning,230,3230,3187,2,28,39,7121
Los Angeles - Canoga Park,3505,5368,5328,75,115,150,65289
Los Angeles - Carthay,397,2764,3622,18,125,61,14363
Los Angeles - Central,3122,8007,8125,47,121,187,38992
Los Angeles - Century City,226,1767,2109,2,16,7,12792
Los Angeles - Century Palms/Cove,2316,6859,6938,23,68,102,33766
Los Angeles - Chatsworth,1315,3548,3679,35,94,62,37061
Los Angeles - Cheviot Hills,152,1657,1819,2,22,10,9171
Los Angeles - Chinatown,274,3416,3525,3,37,21,8021
Los Angeles - Cloverdale/Cochran,531,3649,3513,5,34,37,14553
Los Angeles - Country Club Park,579,3821,3582,36,238,177,15153
Los Angeles - Crenshaw District,512,3702,3738,4,29,18,13829
Los Angeles - Crestview,318,2797,2825,22,194,170,11368
Los Angeles - Del Rey,715,2388,2452,9,30,23,29936
Los Angeles - Downtown,1507,5479,5727,19,69,55,27507
Los Angeles - Eagle Rock,1184,2991,2937,28,71,50,39589
Los Angeles - East Hollywood,1099,3753,3556,49,167,144,29287
Los Angeles - Echo Park,468,3283,3288,7,49,45,14256
Los Angeles - El Sereno,2209,5284,5218,40,96,91,41808
Los Angeles - Elysian Park,184,3221,3114,0,0,0,5712
Los Angeles - Elysian Valley,426,4188,4071,5,49,44,10171
Los Angeles - Encino,1274,2820,3057,23,51,25,45172
Los Angeles - Exposition,119,3578,3419,2,60,62,3326
Los Angeles - Exposition Park,2215,4931,4956,27,60,83,44917
Los Angeles - Faircrest Heights,69,1917,1807,1,28,23,3600
Los Angeles - Figueroa Park Square,507,5814,5852,6,69,73,8721
Los Angeles - Florence-Firestone,3640,7672,7720,38,80,106,47445
Los Angeles - Glassell Park,1158,3664,3612,15,47,39,31604
Los Angeles - Gramercy Place,419,3893,4041,6,56,44,10764
Los Angeles - Granada Hills,2377,4085,4016,79,136,98,58191
Los Angeles - Green Meadows,1408,6547,6554,15,70,99,21505
Los Angeles - Hancock Park,385,2260,2412,4,23,22,17039
Los Angeles - Harbor City,817,2810,2792,12,41,33,29070
Los Angeles - Harbor Gateway,1608,3688,3609,18,41,47,43600
Los Angeles - Harbor Pines,54,2242,2313,0,0,0,2409
Los Angeles - Harvard Heights,826,4580,4524,30,166,200,18035
Los Angeles - Harvard Park,2471,6514,6475,27,71,78,37935
Los Angeles - Highland Park,1989,4110,4033,25,52,57,48391
Los Angeles - Historic Filipinotown,718,5177,4896,16,115,104,13870
Los Angeles - Hollywood,2144,3141,2877,20,29,31,68254
Los Angeles - Hollywood Hills,624,2120,2353,6,20,19,29434
Los Angeles - Hyde Park,1230,4310,4261,14,49,42,28541
Los Angeles - Jefferson Park,439,5438,5368,1,12,9,8073
Los Angeles - Koreatown,1820,3521,3435,36,70,69,51693
Los Angeles - Lafayette Square,184,4036,3981,3,66,64,4559
Los Angeles - Lake Balboa,1913,4533,4494,21,50,57,42206
Los Angeles - Lakeview Terrace,900,6853,6807,26,198,225,13133
Los Angeles - Leimert Park,538,3531,3529,9,59,47,15235
Los Angeles - Lincoln Heights,1751,5372,5247,56,172,146,32597
Los Angeles - Little Armenia,501,6243,5543,50,623,514,8025
Los Angeles - Little Bangladesh,857,3024,2988,7,25,25,28343
Los Angeles - Little Tokyo,146,4660,5227,1,32,15,3133
Los Angeles - Longwood,200,4647,4609,0,0,0,4304
Los Angeles - Los Feliz,403,1865,2062,3,14,8,21608
Los Angeles - Manchester Square,329,3854,3965,6,70,51,8536
Los Angeles - Mandeville Canyon,46,1472,1712,0,0,0,3124
Los Angeles - Mar Vista,618,1455,1528,8,19,15,42471
Los Angeles - Marina Peninsula,61,1399,1858,1,23,12,4360
Los Angeles - Melrose,3143,4045,3992,81,104,104,77696
Los Angeles - Mid-city,439,2921,2927,21,140,126,15030
Los Angeles - Miracle Mile,332,1846,1710,6,33,33,17985
Los Angeles - Mission Hills,1578,6541,6305,59,245,181,24124
Los Angeles - Mt. Washington,940,3893,3844,19,79,74,24145
Los Angeles - North Hills,3346,5434,5340,58,94,107,61575
Los Angeles - North Hollywood,7240,4781,4598,90,59,66,151421
Los Angeles - Northridge,2696,3863,3768,51,73,58,69797
Los Angeles - Pacific Palisades,257,1207,1483,4,19,9,21291
Los Angeles - Pacoima,6514,8462,8410,73,95,127,76979
Los Angeles - Palisades Highlands,60,1560,1879,0,0,0,3846
Los Angeles - Palms,881,2008,2174,31,71,94,43877
Los Angeles - Panorama City,5104,6783,6751,105,140,187,75250
Los Angeles - Park La Brea,215,1583,1302,1,7,8,13580
Los Angeles - Pico-Union,2617,6254,6232,100,239,286,41842
Los Angeles - Playa Del Rey,49,1533,1710,0,0,0,3196
Los Angeles - Playa Vista,216,1973,1962,0,0,0,10947
Los Angeles - Porter Ranch,788,2214,2340,7,20,11,35588
Los Angeles - Rancho Park,140,2134,2422,0,0,0,6560
Los Angeles - Regent Square,69,2482,2415,0,0,0,2780
Los Angeles - Reseda,4218,5505,5390,109,142,129,76617
Los Angeles - Reseda Ranch,227,4896,4696,1,22,23,4636
Los Angeles - Reynier Village,69,1632,1747,0,0,0,4228
Los Angeles - San Pedro,2767,3546,3555,30,38,35,78038
Los Angeles - Shadow Hills,134,3017,3129,0,0,0,4442
Los Angeles - Sherman Oaks,2073,2376,2589,32,37,31,87254
Los Angeles - Silverlake,1115,2529,2612,23,52,45,44083
Los Angeles - South Carthay,223,2105,2602,2,19,12,10595
Los Angeles - South Park,2940,7745,7899,33,87,134,37961
Los Angeles - St Elmo Village,235,5127,5204,8,175,264,4584
Los Angeles - Studio City,466,2077,2411,11,49,41,22440
Los Angeles - Sun Valley,3116,5937,5790,37,70,67,52483
Los Angeles - Sunland,826,4047,4117,31,152,107,20408
Los Angeles - Sycamore Square,9,1391,1650,0,0,0,647
Los Angeles - Sylmar,5968,7243,7144,107,130,155,82398
Los Angeles - Tarzana,1285,4162,4110,39,126,79,30876
Los Angeles - Temple-Beaudry,1946,4929,4778,33,84,93,39482
Los Angeles - Thai Town,312,3181,3055,4,41,29,9809
