date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
2020-12-04,417890,201,4930.0,7468,3,22.0
2020-12-03,417689,1653,5430.0,7465,23,25.0
2020-12-02,416036,5712,5359.0,7442,21,24.0
2020-12-01,410324,8955,5367.0,7421,35,25.0
2020-11-30,401369,9122,4864.0,7386,24,24.0
2020-11-29,392247,2850,4271.0,7362,23,26.0
2020-11-28,389397,6017,4170.0,7339,26,27.0
2020-11-27,383380,3704,3777.0,7313,20,27.0
2020-11-26,379676,1154,3939.0,7293,21,27.0
2020-11-25,378522,5765,4408.0,7272,24,29.0
2020-11-24,372757,5433,4298.0,7248,29,28.0
2020-11-23,367324,4971,4244.0,7219,39,29.0
2020-11-22,362353,2144,4211.0,7180,31,26.0
2020-11-21,360209,3269,4167.0,7149,24,25.0
2020-11-20,356940,4837,4075.0,7125,20,24.0
2020-11-19,352103,4434,3865.0,7105,35,24.0
2020-11-18,347669,4997,3693.0,7070,19,22.0
2020-11-17,342672,5056,3444.0,7051,33,21.0
2020-11-16,337616,4740,3171.0,7018,23,19.0
2020-11-15,332876,1833,2952.0,6995,20,18.0
2020-11-14,331043,2626,2850.0,6975,17,17.0
2020-11-13,328417,3369,2751.0,6958,23,16.0
2020-11-12,325048,3231,2612.0,6935,18,15.0
2020-11-11,321817,3254,2512.0,6917,16,14.0
2020-11-10,318563,3143,2401.0,6901,15,13.0
2020-11-09,315420,3210,2232.0,6886,15,13.0
2020-11-08,312210,1120,2046.0,6871,13,12.0
2020-11-07,311090,1933,2000.0,6858,11,13.0
2020-11-06,309157,2396,1886.0,6847,18,13.0
2020-11-05,306761,2531,1735.0,6829,8,12.0
2020-11-04,304230,2473,1559.0,6821,10,13.0
2020-11-03,301757,1961,1379.0,6811,13,14.0
2020-11-02,299796,1911,1286.0,6798,12,14.0
2020-11-01,297885,793,1224.0,6786,18,14.0
2020-10-31,297092,1136,1218.0,6768,13,14.0
2020-10-30,295956,1343,1210.0,6755,9,14.0
2020-10-29,294613,1299,1242.0,6746,17,16.0
2020-10-28,293314,1212,1296.0,6729,13,15.0
2020-10-27,292102,1309,1365.0,6716,17,15.0
2020-10-26,290793,1477,1413.0,6699,13,15.0
2020-10-25,289316,752,1464.0,6686,16,15.0
2020-10-24,288564,1077,1448.0,6670,14,14.0
2020-10-23,287487,1569,1441.0,6656,19,14.0
2020-10-22,285918,1673,1409.0,6637,14,14.0
2020-10-21,284245,1695,1367.0,6623,15,14.0
2020-10-20,282550,1650,1316.0,6608,14,14.0
2020-10-19,280900,1829,1256.0,6594,16,15.0
2020-10-18,279071,641,1213.0,6578,9,15.0
2020-10-17,278430,1033,1193.0,6569,11,16.0
2020-10-16,277397,1341,1194.0,6558,19,16.0
2020-10-15,276056,1380,1181.0,6539,14,14.0
2020-10-14,274676,1339,1157.0,6525,17,15.0
2020-10-13,273337,1227,1154.0,6508,19,16.0
2020-10-12,272110,1529,1108.0,6489,15,15.0
2020-10-11,270581,499,1047.0,6474,16,15.0
2020-10-10,270082,1043,1048.0,6458,9,16.0
2020-10-09,269039,1247,1024.0,6449,10,16.0
2020-10-08,267792,1213,1003.0,6439,22,16.0
2020-10-07,266579,1321,997.0,6417,19,15.0
2020-10-06,265258,902,985.0,6398,17,14.0
2020-10-05,264356,1106,1023.0,6381,14,13.0
2020-10-04,263250,505,1025.0,6367,18,14.0
2020-10-03,262745,873,1023.0,6349,12,14.0
2020-10-02,261872,1098,1003.0,6337,11,15.0
2020-10-01,260774,1173,999.0,6326,13,16.0
2020-09-30,259601,1239,1001.0,6313,14,17.0
2020-09-29,258362,1169,985.0,6299,9,19.0
2020-09-28,257193,1116,974.0,6290,20,20.0
2020-09-27,256077,496,992.0,6270,18,19.0
2020-09-26,255581,727,985.0,6252,20,19.0
2020-09-25,254854,1072,981.0,6232,17,18.0
2020-09-24,253782,1189,964.0,6215,19,18.0
2020-09-23,252593,1124,945.0,6196,27,18.0
2020-09-22,251469,1097,950.0,6169,18,17.0
2020-09-21,250372,1236,931.0,6151,15,17.0
2020-09-20,249136,449,918.0,6136,15,17.0
2020-09-19,248687,703,898.0,6121,16,18.0
2020-09-18,247984,950,887.0,6105,15,18.0
2020-09-17,247034,1058,891.0,6090,18,20.0
2020-09-16,245976,1157,872.0,6072,20,21.0
2020-09-15,244819,962,854.0,6052,20,22.0
2020-09-14,243857,1148,881.0,6032,18,23.0
2020-09-13,242709,307,770.0,6014,19,24.0
2020-09-12,242402,629,780.0,5995,19,25.0
2020-09-11,241773,976,754.0,5976,25,25.0
2020-09-10,240797,925,753.0,5951,25,26.0
2020-09-09,239872,1031,766.0,5926,28,26.0
2020-09-08,238841,1149,792.0,5898,28,25.0
2020-09-07,237692,376,783.0,5870,26,25.0
2020-09-06,237316,373,904.0,5844,22,25.0
2020-09-05,236943,451,910.0,5822,22,27.0
2020-09-04,236492,965,964.0,5800,30,29.0
2020-09-03,235527,1018,977.0,5770,24,28.0
2020-09-02,234509,1213,1001.0,5746,23,29.0
2020-09-01,233296,1082,1027.0,5723,28,29.0
2020-08-31,232214,1228,1051.0,5695,29,30.0
2020-08-30,230986,412,1094.0,5666,33,29.0
2020-08-29,230574,833,1107.0,5633,34,28.0
2020-08-28,229741,1054,1115.0,5599,22,29.0
2020-08-27,228687,1182,1151.0,5577,31,30.0
2020-08-26,227505,1397,1172.0,5546,28,31.0
2020-08-25,226108,1250,1175.0,5518,30,33.0
2020-08-24,224858,1533,1206.0,5488,25,33.0
2020-08-23,223325,498,1203.0,5463,29,35.0
2020-08-22,222827,889,1209.0,5434,37,36.0
2020-08-21,221938,1309,1238.0,5397,32,35.0
2020-08-20,220629,1330,1254.0,5365,37,35.0
2020-08-19,219299,1414,1280.0,5328,41,35.0
2020-08-18,217885,1466,1311.0,5287,29,33.0
2020-08-17,216419,1518,1339.0,5258,39,35.0
2020-08-16,214901,540,1414.0,5219,36,36.0
2020-08-15,214361,1087,1429.0,5183,32,36.0
2020-08-14,213274,1425,1458.0,5151,34,37.0
2020-08-13,211849,1509,1522.0,5117,31,37.0
2020-08-12,210340,1629,1571.0,5086,32,37.0
2020-08-11,208711,1666,1626.0,5054,43,38.0
2020-08-10,207045,2044,1701.0,5011,43,38.0
2020-08-09,205001,645,1719.0,4968,40,38.0
2020-08-08,204356,1285,1731.0,4928,35,38.0
2020-08-07,203071,1877,1780.0,4893,33,40.0
2020-08-06,201194,1853,1816.0,4860,36,40.0
2020-08-05,199341,2012,1874.0,4824,34,41.0
2020-08-04,197329,2188,1920.0,4790,47,42.0
2020-08-03,195141,2171,1974.0,4743,41,40.0
2020-08-02,192970,733,2035.0,4702,40,40.0
2020-08-01,192237,1629,2044.0,4662,47,40.0
2020-07-31,190608,2125,2101.0,4615,38,40.0
2020-07-30,188483,2261,2155.0,4577,41,40.0
2020-07-29,186222,2335,2205.0,4536,39,40.0
2020-07-28,183887,2564,2299.0,4497,32,42.0
2020-07-27,181323,2600,2394.0,4465,42,44.0
2020-07-26,178723,792,2509.0,4423,44,43.0
2020-07-25,177931,2030,2547.0,4379,46,42.0
2020-07-24,175901,2506,2593.0,4333,39,40.0
2020-07-23,173395,2605,2704.0,4294,38,40.0
2020-07-22,170790,2998,2817.0,4256,50,41.0
2020-07-21,167792,3228,2823.0,4206,46,39.0
2020-07-20,164564,3403,2846.0,4160,41,39.0
2020-07-19,161161,1060,2867.0,4119,37,41.0
2020-07-18,160101,2352,2893.0,4082,32,40.0
2020-07-17,157749,3279,2909.0,4050,36,40.0
2020-07-16,154470,3402,2909.0,4014,43,41.0
2020-07-15,151068,3037,2902.0,3971,37,39.0
2020-07-14,148031,3386,2952.0,3934,48,39.0
2020-07-13,144645,3556,2962.0,3886,55,37.0
2020-07-12,141089,1238,2842.0,3831,30,34.0
2020-07-11,139851,2464,2834.0,3801,33,35.0
2020-07-10,137387,3282,2611.0,3768,40,35.0
2020-07-09,134105,3350,2358.0,3728,32,34.0
2020-07-08,130755,3387,2343.0,3696,35,35.0
2020-07-07,127368,3456,2348.0,3661,33,34.0
2020-07-06,123912,2714,2289.0,3628,35,35.0
2020-07-05,121198,1182,2324.0,3593,39,34.0
2020-07-04,120016,906,2312.0,3554,28,34.0
2020-07-03,119110,1509,2475.0,3526,33,34.0
2020-07-02,117601,3244,2666.0,3493,41,34.0
2020-07-01,114357,3426,2619.0,3452,29,31.0
2020-06-30,110931,3045,2509.0,3423,38,33.0
2020-06-29,107886,2953,2421.0,3385,32,30.0
2020-06-28,104933,1099,2315.0,3353,40,30.0
2020-06-27,103834,2048,2294.0,3313,24,28.0
2020-06-26,101786,2847,2215.0,3289,31,31.0
2020-06-25,98939,2918,2065.0,3258,26,31.0
2020-06-24,96021,2655,1909.0,3232,37,32.0
2020-06-23,93366,2430,1804.0,3195,21,32.0
2020-06-22,90936,2210,1722.0,3174,30,32.0
2020-06-21,88726,947,1693.0,3144,30,33.0
2020-06-20,87779,1497,1680.0,3114,39,33.0
2020-06-19,86282,1799,1646.0,3075,35,31.0
2020-06-18,84483,1826,1603.0,3040,29,30.0
2020-06-17,82657,1916,1544.0,3011,40,29.0
2020-06-16,80741,1857,1486.0,2971,24,27.0
2020-06-15,78884,2008,1412.0,2947,32,29.0
2020-06-14,76876,856,1348.0,2915,29,30.0
2020-06-13,76020,1259,1325.0,2886,28,31.0
2020-06-12,74761,1497,1300.0,2858,29,32.0
2020-06-11,73264,1412,1283.0,2829,24,33.0
2020-06-10,71852,1510,1302.0,2805,26,36.0
2020-06-09,70342,1340,1277.0,2779,36,39.0
2020-06-08,69002,1561,1286.0,2743,38,38.0
2020-06-07,67441,696,1235.0,2705,35,38.0
2020-06-06,66745,1082,1205.0,2670,35,37.0
2020-06-05,65663,1383,1182.0,2635,40,38.0
2020-06-04,64280,1542,1197.0,2595,45,37.0
2020-06-03,62738,1335,1157.0,2550,45,35.0
2020-06-02,61403,1403,1164.0,2505,30,35.0
2020-06-01,60000,1203,1204.0,2475,37,37.0
2020-05-31,58797,487,1167.0,2438,30,35.0
2020-05-30,58310,919,1170.0,2408,37,36.0
2020-05-29,57391,1490,1145.0,2371,33,36.0
2020-05-28,55901,1264,1071.0,2338,32,37.0
2020-05-27,54637,1385,1025.0,2306,47,37.0
2020-05-26,53252,1683,993.0,2259,40,34.0
2020-05-25,51569,942,889.0,2219,28,35.0
2020-05-24,50627,508,921.0,2191,38,38.0
2020-05-23,50119,743,926.0,2153,34,38.0
2020-05-22,49376,971,928.0,2119,43,40.0
2020-05-21,48405,946,964.0,2076,27,40.0
2020-05-20,47459,1156,1007.0,2049,29,41.0
2020-05-19,46303,957,978.0,2020,47,42.0
2020-05-18,45346,1163,997.0,1973,45,43.0
2020-05-17,44183,548,1000.0,1928,38,40.0
2020-05-16,43635,757,1005.0,1890,52,39.0
2020-05-15,42878,1219,997.0,1838,43,39.0
2020-05-14,41659,1250,966.0,1795,31,40.0
2020-05-13,40409,949,923.0,1764,41,43.0
2020-05-12,39460,1095,930.0,1723,48,44.0
2020-05-11,38365,1180,953.0,1675,28,43.0
2020-05-10,37185,587,918.0,1647,32,45.0
2020-05-09,36598,699,902.0,1615,50,47.0
2020-05-08,35899,999,903.0,1565,50,47.0
2020-05-07,34900,953,892.0,1515,50,45.0
2020-05-06,33947,999,887.0,1465,53,44.0
2020-05-05,32948,1257,886.0,1412,37,42.0
2020-05-04,31691,933,843.0,1375,44,45.0
2020-05-03,30758,474,864.0,1331,44,44.0
2020-05-02,30284,707,883.0,1287,49,43.0
2020-05-01,29577,923,910.0,1238,36,42.0
2020-04-30,28654,918,923.0,1202,45,43.0
2020-04-29,27736,992,931.0,1157,42,44.0
2020-04-28,26744,956,900.0,1115,54,45.0
2020-04-27,25788,1080,889.0,1061,37,43.0
2020-04-26,24708,602,868.0,1024,41,44.0
2020-04-25,24106,900,852.0,983,39,43.0
2020-04-24,23206,1014,811.0,944,44,43.0
2020-04-23,22192,972,785.0,900,51,43.0
2020-04-22,21220,776,755.0,849,47,44.0
2020-04-21,20444,876,765.0,802,40,42.0
2020-04-20,19568,937,735.0,762,47,43.0
2020-04-19,18631,488,698.0,715,36,42.0
2020-04-18,18143,613,690.0,679,38,42.0
2020-04-17,17530,833,671.0,641,39,41.0
2020-04-16,16697,765,635.0,602,58,40.0
2020-04-15,15932,846,608.0,544,35,37.0
2020-04-14,15086,662,573.0,509,47,37.0
2020-04-13,14424,678,579.0,462,42,34.0
2020-04-12,13746,435,559.0,420,37,31.0
2020-04-11,13311,476,581.0,383,30,29.0
2020-04-10,12835,582,598.0,353,30,27.0
2020-04-09,12253,574,627.0,323,35,27.0
2020-04-08,11679,606,634.0,288,40,25.0
2020-04-07,11073,701,635.0,248,25,22.0
2020-04-06,10372,537,626.0,223,17,21.0
2020-04-05,9835,592,637.0,206,23,20.0
2020-04-04,9243,591,605.0,183,21,19.0
2020-04-03,8652,788,577.0,162,26,17.0
2020-04-02,7864,620,518.0,136,22,14.0
2020-04-01,7244,614,483.0,114,19,12.0
2020-03-31,6630,638,457.0,95,17,10.0
2020-03-30,5992,616,406.0,78,11,8.0
2020-03-29,5376,370,360.0,67,15,8.0
2020-03-28,5006,393,343.0,52,8,6.0
2020-03-27,4613,374,315.0,44,9,5.0
