date_use,cumulative_persons_tested_all,cumulative_positive_persons_all,percent_positive_persons_cum,persons_tested,positive_persons,percent_positive_persons_date,avg_persons_tested,avg_positive_persons,percent_positive_persons_cum_avg_date
2020-12-07,3927745,428355,10.9%,2,0,0%,50198.0,5856.0,11.7%
2020-12-06,3927745,428355,10.9%,866,209,24.1%,66059.0,7525.0,11.4%
2020-12-05,3927338,428193,10.9%,5665,746,13.2%,69577.0,8002.0,11.5%
2020-12-04,3925115,427575,10.9%,52695,5829,11.1%,77300.0,9117.0,11.8%
2020-12-03,3906027,422704,10.8%,88903,10704,12%,74889.0,8920.0,11.9%
2020-12-02,3872693,413711,10.7%,98260,11507,11.7%,63476.0,7571.0,11.9%
2020-12-01,3835647,404002,10.5%,104994,11996,11.4%,61725.0,6991.0,11.3%
2020-11-30,3797310,393853,10.4%,111030,11685,10.5%,61466.0,6291.0,10.2%
2020-11-29,3760030,384150,10.2%,25491,3545,13.9%,60018.0,5541.0,9.2%
2020-11-28,3748366,381119,10.2%,59724,8555,14.3%,60630.0,5396.0,8.9%
2020-11-27,3721943,374535,10.1%,35818,4448,12.4%,60179.0,4808.0,8%
2020-11-26,3706419,370751,10%,9014,1261,14%,67252.0,5026.0,7.5%
2020-11-25,3702800,369699,10%,86004,7447,8.7%,77376.0,5608.0,7.2%
2020-11-24,3672051,363654,9.9%,103182,7096,6.9%,77563.0,5346.0,6.9%
2020-11-23,3638996,357789,9.8%,100890,6436,6.4%,74939.0,5119.0,6.8%
2020-11-22,3605514,352432,9.8%,29781,2532,8.5%,72097.0,4985.0,6.9%
2020-11-21,3592500,350256,9.7%,56563,4434,7.8%,70859.0,4904.0,6.9%
2020-11-20,3567420,346650,9.7%,85332,5978,7%,68988.0,4781.0,6.9%
2020-11-19,3535530,341845,9.7%,79880,5332,6.7%,66958.0,4573.0,6.8%
2020-11-18,3505889,337431,9.6%,87316,5616,6.4%,65540.0,4388.0,6.7%
2020-11-17,3474389,332780,9.6%,84814,5507,6.5%,62202.0,4096.0,6.6%
2020-11-16,3444569,328212,9.5%,80996,5499,6.8%,59636.0,3791.0,6.4%
2020-11-15,3416048,323678,9.5%,21115,1961,9.3%,57736.0,3508.0,6.1%
2020-11-14,3406344,322040,9.5%,43461,3575,8.2%,56778.0,3371.0,5.9%
2020-11-13,3386523,319295,9.4%,71122,4521,6.4%,55207.0,3179.0,5.8%
2020-11-12,3360698,315786,9.4%,69958,4035,5.8%,53503.0,2966.0,5.5%
2020-11-11,3336798,312619,9.4%,63946,3572,5.6%,52019.0,2817.0,5.4%
2020-11-10,3315287,309758,9.3%,66855,3373,5%,51952.0,2726.0,5.2%
2020-11-09,3293734,307090,9.3%,67696,3517,5.2%,50676.0,2607.0,5.1%
2020-11-08,3271123,304271,9.3%,14408,1006,7%,49908.0,2522.0,5.1%
2020-11-07,3264831,303436,9.3%,32463,2228,6.9%,49684.0,2497.0,5%
2020-11-06,3250482,301708,9.3%,59192,3028,5.1%,48884.0,2416.0,4.9%
2020-11-05,3228859,299443,9.3%,59572,2995,5%,47338.0,2291.0,4.8%
2020-11-04,3208450,297100,9.3%,63476,2937,4.6%,46750.0,2155.0,4.6%
2020-11-03,3187590,294735,9.2%,57925,2536,4.4%,46265.0,1979.0,4.3%
2020-11-02,3167927,292679,9.2%,62317,2924,4.7%,46355.0,1883.0,4.1%
2020-11-01,3146121,290405,9.2%,12840,834,6.5%,45733.0,1766.0,3.9%
2020-10-31,3140366,289707,9.2%,26863,1660,6.2%,45719.0,1733.0,3.8%
2020-10-30,3128936,288475,9.2%,48376,2153,4.5%,45585.0,1696.0,3.7%
2020-10-29,3111660,286963,9.2%,55450,2038,3.7%,45723.0,1684.0,3.7%
2020-10-28,3093272,285527,9.2%,60082,1710,2.8%,45086.0,1658.0,3.7%
2020-10-27,3073692,284230,9.2%,58560,1859,3.2%,44399.0,1687.0,3.8%
2020-10-26,3053281,282876,9.3%,57958,2111,3.6%,43652.0,1692.0,3.9%
2020-10-25,3030516,281293,9.3%,12743,599,4.7%,43005.0,1708.0,4%
2020-10-24,3024490,280819,9.3%,25927,1402,5.4%,42805.0,1719.0,4%
2020-10-23,3013400,279837,9.3%,49340,2069,4.2%,42535.0,1705.0,4%
2020-10-22,2994348,278425,9.3%,50989,1856,3.6%,42302.0,1661.0,3.9%
2020-10-21,2976140,277065,9.3%,55273,1913,3.5%,42039.0,1643.0,3.9%
2020-10-20,2957440,275624,9.3%,53336,1892,3.5%,41647.0,1609.0,3.9%
2020-10-19,2938654,274162,9.3%,53427,2223,4.2%,41193.0,1556.0,3.8%
2020-10-18,2918496,272510,9.3%,11341,678,6%,40542.0,1506.0,3.7%
2020-10-17,2913190,271989,9.3%,24040,1302,5.4%,40544.0,1492.0,3.7%
2020-10-16,2902989,271055,9.3%,47707,1765,3.7%,40624.0,1501.0,3.7%
2020-10-15,2884577,269828,9.4%,49152,1729,3.5%,40343.0,1485.0,3.7%
2020-10-14,2867044,268555,9.4%,52525,1671,3.2%,40083.0,1455.0,3.6%
2020-10-13,2849436,267306,9.4%,50160,1525,3%,40010.0,1457.0,3.6%
2020-10-12,2832383,266167,9.4%,48872,1871,3.8%,39924.0,1434.0,3.6%
2020-10-11,2814414,264757,9.4%,11353,579,5.1%,39848.0,1426.0,3.6%
