,Place,TotalPopulation,pop18OrLess,pop19To49,pop50To64,pop65AndUp,cityCase_18OrLess,cityCase_19To49,cityCase_50To64,cityCase_65AndUp,sumOfcityCase,Cases,rscore_18OrLess,rscore_19to49,rscore_50to65,rscore_65andUp
0,Rolling Hills,3218,820.59,984.708,759.4480000000001,656.472,2.387704662475172,6.868125808735938,4.023624111064781,2.72054541772411,16.0,16.0,0.002909741359844955,0.006974784208857792,0.0052980903380676235,0.0041441910968390274
1,Palos Verdes Estates,13340,3281.64,4175.42,3201.6,2681.34,22.746729899822498,69.37525453144606,40.407322817878814,26.47069275085261,158.99999999999997,159.0,0.006931512871558885,0.016615155967889712,0.01262097789164131,0.009872188066732533
2,Bel-Air,7691,1507.4360000000001,2822.5969999999998,1753.548,1607.4189999999999,,,,,,,,,,
3,Bradbury,1268,292.90799999999996,419.70799999999997,242.18800000000002,314.464,3.882554186831627,13.33551916600347,5.845260691831782,5.936665955333125,29.000000000000007,29.0,0.013255200222703468,0.031773326136274434,0.02413522012581871,0.018878682314456108
4,Century City,5513,678.099,2381.6160000000004,997.8530000000001,1455.432,14.912353629358254,125.5455193663006,39.956241490921286,45.58588551341986,226.0,226.0,0.0219914107370137,0.0527144255691516,0.04004221212034366,0.03132120601540976
5,Beverly Crest,10852,2094.436,4275.688,2626.1839999999997,1844.8400000000001,25.447828978460112,124.52772057747566,58.09968347143104,31.924766972633197,240.0,240.0,0.012150206059512017,0.02912460417539251,0.02212323411894637,0.01730489742884651
6,Rancho Palos Verdes,41301,9788.337,14661.855,9127.521,7723.287,63.544121151652774,228.15593627797386,107.89076616518606,71.40917640518725,471.0,471.0,0.006491819923205829,0.01556119169627403,0.011820379943818925,0.009245956599202807
7,Rancho Dominguez,2526,525.408,982.614,654.234,363.744,,,,,,,,,,
8,Pacific Palisades,23940,5697.719999999999,8785.98,5266.8,4165.5599999999995,34.63310906761383,128.01385501225244,58.29108998726522,36.0619459328685,257.0,257.0,0.0060784154131150415,0.01457024202334315,0.011067648284967193,0.00865716636727559
9,View Park-Windsor Hills,11066,2368.124,4271.476,2202.134,2224.266,,,,,,,,,,
