"place_ID","longitude","latitude","population","cumulative_cases_today","adj_case_rate","cumulative_deaths_today","adj_death_rate","cumulative_persons_tested_today","adj_test_rate","cumulative_persons_pos_today","adj_test_pos_rate","geo_merge"
"Agoura Hills",-118.760876,34.151007,20883,330,1578,7,31,7160,33812,295,1419,"City of Agoura Hills"
"Alhambra",-118.135504,34.083961,86724,2174,2513,35,30,28017,31504,2135,2478,"City of Alhambra"
"Arcadia",-118.037297,34.134186,57754,914,1561,40,45,14699,25318,823,1433,"City of Arcadia"
"Artesia",-118.08063,33.867577,16795,678,3796,14,64,6182,33784,581,3278,"City of Artesia"
"Avalon",-118.331354,33.333921,3869,5,151,0,0,61,1573,5,151,"City of Avalon"
"Azusa",-117.912351,34.138622,50040,2445,4919,31,73,14997,30221,2319,4657,"City of Azusa"
"Baldwin Park",-117.972142,34.082841,76769,4898,6307,111,165,25763,33076,4628,5946,"City of Baldwin Park"
"Bell",-118.179783,33.980058,36332,2477,6799,47,175,12965,35572,2409,6597,"City of Bell"
"Bell Gardens",-118.155014,33.966323,43071,3231,7595,33,127,15167,35720,3139,7335,"City of Bell Gardens"
"Bellflower",-118.127136,33.888021,77735,3742,4775,66,99,26510,33546,3608,4609,"City of Bellflower"
"Beverly Hills",-118.402109,34.078543,34520,1089,3174,11,16,21344,61901,950,2801,"City of Beverly Hills"
"Bradbury",-117.968387,34.153532,1069,29,3034,0,0,55,4808,9,1219,"City of Bradbury"
"Burbank",-118.323487,34.1879,107180,3061,2739,95,72,40713,36827,2773,2491,"City of Burbank"
"Calabasas",-118.668881,34.13747,24323,472,1883,13,44,8602,35427,426,1700,"City of Calabasas"
"Carson",-118.255878,33.837391,93846,3029,3173,64,54,27961,29045,2622,2748,"City of Carson"
"Cerritos",-118.068587,33.867752,50067,934,1939,17,25,13580,26651,880,1831,"City of Cerritos"
"Claremont",-117.715319,34.125904,36484,790,2313,11,19,10565,29651,756,2218,"City of Claremont"
"Commerce",-118.151914,33.996345,13069,987,7462,14,107,5343,40646,979,7409,"City of Commerce"
"Compton",-118.22753,33.892938,99904,6310,6318,81,100,34481,34835,6192,6190,"City of Compton"
"Covina",-117.881821,34.090264,49032,2305,4618,62,108,16430,32814,2103,4223,"City of Covina"
"Cudahy",-118.183118,33.963116,24347,1788,7414,18,121,8676,35595,1760,7312,"City of Cudahy"
"Culver City",-118.396806,34.005798,39865,710,1778,35,59,17052,43487,657,1645,"City of Culver City"
"Diamond Bar",-117.81613,33.999164,57515,1068,1805,16,21,14006,23285,1014,1705,"City of Diamond Bar"
"Downey",-118.131148,33.937862,114263,6827,5859,102,88,41894,35855,6666,5723,"City of Downey"
"Duarte",-117.950531,34.16094,22016,896,3905,37,108,7090,31370,810,3584,"City of Duarte"
"El Monte",-118.029074,34.073948,117269,6934,5837,193,165,36320,30425,6744,5669,"City of El Monte"
"El Segundo",-118.402004,33.916898,16786,224,1323,1,3,6143,36770,189,1141,"City of El Segundo"
"Gardena",-118.307231,33.894352,61310,1994,3248,66,79,19527,31500,1830,2998,"City of Gardena"
"Glendale",-118.246803,34.181933,206493,6930,3204,203,68,64116,30043,6036,2809,"City of Glendale"
"Glendora",-117.846736,34.144935,52764,1919,3489,82,116,14683,27469,1674,3065,"City of Glendora"
"Hawaiian Gardens",-118.072804,33.830337,14676,838,5602,3,22,4267,28759,848,5676,"City of Hawaiian Gardens"
"Hawthorne",-118.347694,33.914649,88787,3345,3735,60,78,27765,30891,3176,3539,"City of Hawthorne"
"Hermosa Beach",-118.396435,33.865241,19670,394,1940,4,27,7522,37353,355,1738,"City of Hermosa Beach"
"Hidden Hills",-118.661203,34.163749,1890,31,2097,0,0,769,54012,26,1840,"City of Hidden Hills"
"Huntington Park",-118.216706,33.979987,59484,4421,7404,66,143,20932,34961,4251,7104,"City of Huntington Park"
"Industry",-117.926756,34.017494,437,57,13973,2,556,675,158346,43,10747,"City of Industry"
"Inglewood",-118.344474,33.956529,113582,4645,4037,102,96,37697,32516,4523,3934,"City of Inglewood"
"Irwindale",-117.963631,34.112113,1459,103,6989,2,155,591,40088,92,6242,"City of Irwindale"
"La Canada Flintridge",-118.200156,34.209689,20693,295,1777,6,17,7004,39863,267,1669,"City of La Canada Flintridge"
"La Habra Heights",-117.950975,33.96025,5455,70,1259,1,8,105,2205,9,181,"City of La Habra Heights"
"La Mirada",-118.00932,33.90251,49599,1473,2905,28,38,13258,25679,1407,2777,"City of La Mirada"
"La Puente",-117.953338,34.032209,40697,2548,6155,30,73,12980,31336,2463,5944,"City of La Puente"
"La Verne",-117.770312,34.120692,33282,952,2918,16,31,9244,27265,874,2722,"City of La Verne"
"Lakewood",-118.122171,33.84707,80362,2189,2726,16,17,24886,30635,2097,2602,"City of Lakewood"
"Lancaster",-118.175352,34.693444,161570,7352,4594,80,61,44655,27821,6800,4234,"City of Lancaster"
"Lawndale",-118.353156,33.888463,33614,1127,3258,13,52,9271,26763,1074,3107,"City of Lawndale"
"Lomita",-118.317456,33.793312,20729,366,1750,9,31,5365,25462,292,1404,"City of Lomita"
"Lynwood",-118.201664,33.923954,72047,5179,7320,117,258,26016,36284,5003,6996,"City of Lynwood"
"Malibu",-118.784201,34.03684,12961,164,1291,3,11,4680,35844,125,957,"City of Malibu"
"Manhattan Beach",-118.397059,33.889428,35999,580,1635,4,10,12192,34065,501,1411,"City of Manhattan Beach"
"Maywood",-118.187662,33.98852,28049,2073,7550,41,220,9852,35451,2028,7406,"City of Maywood"
"Monrovia",-117.992121,34.165036,38800,1232,3214,41,97,12423,31995,1171,3047,"City of Monrovia"
"Montebello",-118.110797,34.015436,64375,3843,5927,60,75,24204,37036,3749,5791,"City of Montebello"
"Monterey Park",-118.13253,34.049708,62262,1537,2475,60,46,18218,29003,1495,2403,"City of Monterey Park"
"Norwalk",-118.082884,33.90687,107622,5688,5173,100,91,35168,31921,5423,4927,"City of Norwalk"
"Palmdale",-118.105685,34.594429,158968,8818,5596,85,68,48974,31213,8472,5373,"City of Palmdale"
"Palos Verdes Estates",-118.397292,33.787212,13522,159,1232,2,7,3192,26944,112,838,"City of Palos Verdes Estates"
"Paramount",-118.165144,33.89765,56023,3746,6587,33,77,19656,34952,3664,6431,"City of Paramount"
"Pico Rivera",-118.088735,33.990124,64284,4212,6432,88,118,23290,35566,4008,6134,"City of Pico Rivera"
"Pomona",-117.762596,34.058481,155931,9648,6126,157,123,52488,33301,9426,5989,"City of Pomona"
"Rancho Palos Verdes",-118.363522,33.75538,42747,471,1222,11,12,9349,23975,392,1041,"City of Rancho Palos Verdes"
"Redondo Beach",-118.376656,33.857406,68697,1031,1582,13,20,20798,31040,923,1421,"City of Redondo Beach"
"Rolling Hills",-118.347168,33.760022,1940,16,1099,0,0,447,26490,9,803,"City of Rolling Hills"
"Rolling Hills Estates",-118.350807,33.778407,8113,76,1318,3,18,2095,30097,54,924,"City of Rolling Hills Estates"
"Rosemead",-118.082271,34.068882,55350,1557,2781,32,44,14298,24976,1521,2731,"City of Rosemead"
"San Dimas",-117.808944,34.108201,34516,1099,3139,17,36,10793,30745,1024,2912,"City of San Dimas"
"San Fernando",-118.436238,34.288671,24612,1897,7556,24,118,11215,45121,1917,7645,"City of San Fernando"
"San Gabriel",-118.099093,34.094844,40954,1128,2578,100,165,11935,28249,1110,2534,"City of San Gabriel"
"San Marino",-118.113237,34.122367,13277,141,1056,3,15,3812,30663,121,916,"City of San Marino"
"Santa Clarita",-118.496479,34.41748,220424,7099,3244,69,34,70299,31666,6748,3086,"City of Santa Clarita"
"Santa Fe Springs",-118.062518,33.933048,18364,964,5267,10,48,6083,33204,923,5060,"City of Santa Fe Springs"
"Santa Monica",-118.481816,34.023052,92446,1654,1729,48,35,42318,44143,1453,1527,"City of Santa Monica"
"Sierra Madre",-118.050332,34.168709,10989,151,1358,5,26,3809,36523,142,1266,"City of Sierra Madre"
"Signal Hill",-118.168269,33.803005,11797,429,3680,4,29,4147,35285,417,3574,"City of Signal Hill"
"South El Monte",-118.048315,34.049352,20885,1335,6351,18,100,7100,33690,1306,6209,"City of South El Monte"
"South Gate",-118.192526,33.944713,98155,7038,7073,83,110,37653,37944,6780,6813,"City of South Gate"
"South Pasadena",-118.157289,34.11024,26053,474,1797,27,83,10580,41590,427,1649,"City of South Pasadena"
"Temple City",-118.057952,34.102167,36455,870,2254,48,84,10337,27703,841,2184,"City of Temple City"
"Torrance",-118.341633,33.834625,149268,2292,1538,77,37,36943,24462,1998,1351,"City of Torrance"
"Vernon",-118.210583,34.001902,209,27,18689,0,0,411,215825,23,16464,"City of Vernon"
"Walnut",-117.859319,34.033461,30532,593,1989,5,9,7597,24240,551,1840,"City of Walnut"
"West Covina",-117.911288,34.055423,108235,4816,4367,76,59,34175,30574,4464,4054,"City of West Covina"
"West Hollywood",-118.371765,34.088278,36951,996,2608,9,15,19314,48048,882,2310,"City of West Hollywood"
"Westlake Village",-118.822005,34.136925,8360,58,695,0,0,507,6260,10,114,"City of Westlake Village"
"Whittier",-118.018806,33.967844,87432,4154,4681,61,66,27834,31471,3877,4374,"City of Whittier"
"Adams Normandie",-118.302397,34.029122,8202,445,5266,5,58,2952,34784,427,5048,"Los Angeles - Adams-Normandie"
"Alsace",-118.362349,34.029571,12445,577,4404,3,34,4006,31288,572,4354,"Los Angeles - Alsace"
"Angeles National Forest",-118.279007,34.275218,40,2,1576,0,0,7,4569,2,1576,"Los Angeles - Angeles National Forest"
