,CITY,ASIAN,BLACK,LATINO,WHITE,NON.WHITE,TOTAL.POP,TOTAL.CASES
0,Agoura Hills,0.0063487629435404515,0.006150364101554812,0.027413051424072875,0.01206303297213166,0.021740821940379802,20883,330
1,Alhambra,0.005496185794937751,0.007478474457685961,0.020906958953380596,0.008851334503058262,0.016140703315222188,86724,2174
2,Arcadia,0.00528291595662751,0.007082019225321524,0.020029953364545723,0.008622607361185513,0.015595468355481904,57754,914
3,Arleta,0.014923276800449454,0.023409061647763848,0.057147330936826564,0.024140594824256466,0.044090886706668116,34370,2630
4,Artesia,0.00929022668153103,0.014245014245014245,0.03586491837144579,0.015204038192543939,0.0277575379063877,16795,678
5,Atwater Village,0.006137194947315592,0.00959545559223152,0.023960582092882213,0.009984460548673338,0.018561903170062257,14666,453
6,Avalon,0.0,0.0,0.0013727797004320138,0.0006338035310462321,0.0006237431575375618,3869,5
7,Azusa,0.010460655062313319,0.01590398235718224,0.04032532157180442,0.017088918895799984,0.0311123389589947,50040,2445
8,Baldwin Park,0.010627760560805668,0.01602953961276404,0.04117910729431946,0.01748213700215601,0.03180451278522882,76769,4898
9,Bell,0.0090908264470323,0.01363623967054845,0.040562926825953374,0.016640834852194718,0.03133002143222715,36332,2477
10,Bell Gardens,0.009079765742043855,0.011349707177554819,0.04321852210193766,0.017869751726362907,0.033394101706047966,43071,3231
11,Bellflower,0.01141967030052358,0.01797282798652864,0.0438872108946023,0.018679229570495413,0.033870614807018445,77735,3742
12,Beverly Crest,0.009214891264283083,0.01084104854621539,0.04065393204830771,0.018113843399505027,0.03243641725027645,12525,240
13,Beverly Hills,0.014780218156019983,0.01900313762916855,0.05604166050824243,0.024465055480747015,0.044015814508586985,34520,1089
14,Beverlywood,0.018024513338139873,0.023496240601503758,0.07549611734253667,0.03351151315789474,0.05921052631578947,13173,280
15,Boyle Heights,0.010331766498483476,0.016770403591741295,0.0419081681244684,0.017249557980076758,0.03236492319986341,86884,6667
16,Bradbury,0.004217345096914591,0.0,0.026509026323463136,0.013124173773605618,0.023263821036077534,1069,29
17,Brentwood,0.008344131621313857,0.010634677556576485,0.03261301117350122,0.014209040678323688,0.025442456432822225,30955,571
18,Burbank,0.009318380006137128,0.014329718090832968,0.03597502858708417,0.015359626844477574,0.02777630454753271,107180,3061
19,Calabasas,0.008963124650701761,0.012970168612191958,0.035076556624166935,0.015485217333466358,0.02805056307001832,24323,472
20,Canoga Park,0.014048279026579513,0.02140896319012776,0.05392627779533283,0.022948848729695548,0.04161435389947236,65289,3505
21,Carson,0.007139602477918034,0.011167070542384618,0.027133741604418782,0.011539306227130772,0.02095094711986023,93846,3029
22,Carthay,0.019341892120596695,0.04174373201808467,0.10081505091160071,0.04302148798882722,0.0788915445795665,14363,397
23,Century City,0.016873436570642754,0.025912777590629942,0.06595979750342165,0.031660702801642404,0.055971599595760674,12792,226
24,Cerritos,0.004798548177738092,0.007235052381779243,0.018190988845616384,0.007717389207231194,0.014140406174009053,50067,934
25,Chatsworth,0.01346398147356149,0.019439973250596803,0.05132152938157557,0.022045777884187715,0.03981699477449741,37061,1315
26,Cheviot Hills,0.007911454995688258,0.011076036993963558,0.034696019499162956,0.015349025885035797,0.02716763790972194,9171,152
27,Chinatown,0.006190435482397055,0.005781015146259683,0.0234684614873691,0.008324661810613945,0.018570399423677258,8021,274
28,Claremont,0.00748530284931675,0.011420609632142163,0.029526832509042592,0.012609691686008484,0.022790707943487587,36484,790
29,Commerce,0.00722475490019001,0.0,0.04628793717637797,0.018061887250475025,0.035745910750940114,13069,987
30,Compton,0.010595016104424478,0.018315002713175987,0.044435534914147104,0.01721690116968978,0.0343269977415527,99904,6310
31,Covina,0.010814075600802003,0.017120155935391037,0.04243092429359218,0.018090845622861767,0.0327318771677229,49032,2305
32,Cudahy,0.005901236899254084,0.0,0.04351061236166444,0.017837829718199843,0.03361729723152484,24347,1788
33,Culver City,0.005026843343454044,0.008186237874737077,0.019809036557739336,0.008480846727737298,0.015347915314588413,39865,710
34,Del Rey,0.00557045229540615,0.008925383791503034,0.02208176215685627,0.0094504063674738,0.01709346229160581,29936,715
35,Diamond Bar,0.005013839855468815,0.007656780232031069,0.01912548438603029,0.00814988679066349,0.014781685715672135,57515,1068
36,Downey,0.012843271045147622,0.020232648839750764,0.049490031820962024,0.021111357917075236,0.03822331556477682,114263,6827
37,Downtown,0.011294983324727231,0.018034477089531677,0.04393095775456253,0.018397273834333212,0.03397970182018936,27507,1507
38,Duarte,0.009161798087163147,0.014444048570520661,0.03585132756818069,0.015173545973072206,0.02767912391267175,22016,896
39,Eagle Rock,0.008241234320568822,0.012958256596157553,0.03184499597126436,0.013528985179461474,0.024638223634930616,39589,1184
40,East Hollywood,0.0027911313545665745,0.003943199895448871,0.010855924026259428,0.004635271713833776,0.008390310011303158,29287,1099
41,Echo Park,0.002103729649702717,0.002471882338400692,0.00811086392287727,0.003449138146605617,0.006271940261613696,14256,468
42,El Monte,0.010276170931316353,0.01376355925642371,0.03916681819435748,0.016615255609210133,0.030242340626135972,117269,6934
43,El Segundo,0.005607529042327498,0.0056924916035748846,0.02188569587393839,0.009521719202886856,0.017052061901780123,16786,224
