"Date","TotalCases","DailyCases","TotalDeaths","NewDeaths","PercentPosAvg"
"2020-12-06",435608,175,7518,3,0.114
"2020-12-05",435433,612,7515,12,0.115
"2020-12-04",434821,4760,7503,18,0.118
"2020-12-03",430061,8712,7485,36,0.119
"2020-12-02",421349,9455,7449,25,0.119
"2020-12-01",411894,9915,7424,35,0.113
"2020-11-30",401979,9467,7389,25,0.102
"2020-11-29",392512,2554,7364,23,0.092
"2020-11-28",389958,5300,7341,26,0.089
"2020-11-27",384658,3829,7315,20,0.08
"2020-11-26",380829,1344,7295,22,0.075
"2020-11-25",379485,5985,7273,24,0.072
"2020-11-24",373500,5524,7249,29,0.069
"2020-11-23",367976,5113,7220,39,0.068
"2020-11-22",362863,2261,7181,31,0.069
"2020-11-21",360602,3332,7150,25,0.069
"2020-11-20",357270,4913,7125,20,0.069
"2020-11-19",352357,4479,7105,35,0.068
"2020-11-18",347878,5076,7070,20,0.067
"2020-11-17",342802,5085,7050,33,0.066
"2020-11-16",337717,4768,7017,23,0.063
"2020-11-15",332949,1841,6994,20,0.061
"2020-11-14",331108,2639,6974,17,0.059
"2020-11-13",328469,3384,6957,22,0.057
"2020-11-12",325085,3239,6935,18,0.055
"2020-11-11",321846,3260,6917,16,0.054
"2020-11-10",318586,3144,6901,15,0.052
"2020-11-09",315442,3218,6886,15,0.051
"2020-11-08",312224,1120,6871,13,0.05
"2020-11-07",311104,1937,6858,11,0.05
"2020-11-06",309167,2399,6847,18,0.049
"2020-11-05",306768,2527,6829,8,0.048
"2020-11-04",304241,2478,6821,10,0.046
"2020-11-03",301763,1962,6811,13,0.043
"2020-11-02",299801,1913,6798,12,0.04
"2020-11-01",297888,795,6786,18,0.038
"2020-10-31",297093,1135,6768,13,0.038
"2020-10-30",295958,1343,6755,9,0.037
"2020-10-29",294615,1299,6746,17,0.037
"2020-10-28",293316,1212,6729,13,0.037
"2020-10-27",292104,1309,6716,17,0.038
"2020-10-26",290795,1477,6699,13,0.038
"2020-10-25",289318,752,6686,16,0.039
"2020-10-24",288566,1078,6670,14,0.04
"2020-10-23",287488,1569,6656,19,0.04
"2020-10-22",285919,1673,6637,14,0.039
"2020-10-21",284246,1696,6623,15,0.039
"2020-10-20",282550,1651,6608,14,0.038
"2020-10-19",280899,1829,6594,16,0.037
"2020-10-18",279070,642,6578,9,0.037
"2020-10-17",278428,1033,6569,11,0.036
"2020-10-16",277395,1342,6558,19,0.037
"2020-10-15",276053,1380,6539,14,0.036
"2020-10-14",274673,1339,6525,17,0.036
"2020-10-13",273334,1227,6508,19,0.036
"2020-10-12",272107,1529,6489,15,0.036
"2020-10-11",270578,499,6474,16,0.035
"2020-10-10",270079,1043,6458,9,0.035
"2020-10-09",269036,1247,6449,10,0.034
"2020-10-08",267789,1213,6439,22,0.034
"2020-10-07",266576,1321,6417,19,0.034
"2020-10-06",265255,902,6398,17,0.035
"2020-10-05",264353,1106,6381,14,0.036
"2020-10-04",263247,505,6367,18,0.036
"2020-10-03",262742,873,6349,12,0.036
"2020-10-02",261869,1098,6337,11,0.037
"2020-10-01",260771,1173,6326,13,0.038
"2020-09-30",259598,1239,6313,14,0.038
"2020-09-29",258359,1169,6299,9,0.038
"2020-09-28",257190,1116,6290,20,0.037
"2020-09-27",256074,496,6270,18,0.037
"2020-09-26",255578,727,6252,20,0.037
"2020-09-25",254851,1073,6232,17,0.037
"2020-09-24",253778,1189,6215,19,0.036
"2020-09-23",252589,1124,6196,27,0.036
"2020-09-22",251465,1097,6169,18,0.037
"2020-09-21",250368,1236,6151,15,0.037
"2020-09-20",249132,449,6136,15,0.038
"2020-09-19",248683,703,6121,16,0.037
"2020-09-18",247980,950,6105,15,0.037
"2020-09-17",247030,1058,6090,18,0.037
"2020-09-16",245972,1157,6072,20,0.037
"2020-09-15",244815,961,6052,20,0.037
"2020-09-14",243854,1149,6032,18,0.038
"2020-09-13",242705,307,6014,19,0.038
"2020-09-12",242398,629,5995,19,0.038
"2020-09-11",241769,976,5976,25,0.038
"2020-09-10",240793,925,5951,25,0.04
"2020-09-09",239868,1031,5926,28,0.042
"2020-09-08",238837,1149,5898,28,0.043
"2020-09-07",237688,376,5870,26,0.043
"2020-09-06",237312,373,5844,22,0.044
"2020-09-05",236939,451,5822,22,0.044
"2020-09-04",236488,964,5800,30,0.045
"2020-09-03",235524,1018,5770,24,0.046
"2020-09-02",234506,1213,5746,23,0.048
"2020-09-01",233293,1082,5723,28,0.049
"2020-08-31",232211,1228,5695,29,0.05
"2020-08-30",230983,412,5666,33,0.052
"2020-08-29",230571,833,5633,34,0.052
"2020-08-28",229738,1054,5599,22,0.053
"2020-08-27",228684,1182,5577,31,0.054
"2020-08-26",227502,1397,5546,28,0.055
"2020-08-25",226105,1250,5518,30,0.056
"2020-08-24",224855,1533,5488,25,0.057
"2020-08-23",223322,498,5463,29,0.058
"2020-08-22",222824,889,5434,37,0.058
"2020-08-21",221935,1309,5397,32,0.059
"2020-08-20",220626,1330,5365,37,0.06
"2020-08-19",219296,1414,5328,41,0.06
"2020-08-18",217882,1466,5287,29,0.061
"2020-08-17",216416,1518,5258,39,0.061
"2020-08-16",214898,540,5219,36,0.063
"2020-08-15",214358,1087,5183,32,0.063
"2020-08-14",213271,1425,5151,34,0.063
"2020-08-13",211846,1509,5117,31,0.063
"2020-08-12",210337,1629,5086,32,0.064
"2020-08-11",208708,1666,5054,43,0.064
"2020-08-10",207042,2044,5011,43,0.064
"2020-08-09",204998,645,4968,40,0.064
"2020-08-08",204353,1286,4928,35,0.064
"2020-08-07",203067,1877,4893,33,0.065
"2020-08-06",201190,1853,4860,36,0.064
"2020-08-05",199337,2012,4824,34,0.065
"2020-08-04",197325,2188,4790,47,0.065
"2020-08-03",195137,2172,4743,41,0.066
"2020-08-02",192965,733,4702,40,0.064
"2020-08-01",192232,1629,4662,47,0.064
"2020-07-31",190603,2125,4615,38,0.067
"2020-07-30",188478,2261,4577,41,0.072
"2020-07-29",186217,2335,4536,39,0.075
"2020-07-28",183882,2563,4497,32,0.077
"2020-07-27",181319,2600,4465,42,0.078
"2020-07-26",178719,792,4423,44,0.08
"2020-07-25",177927,2030,4379,46,0.08
"2020-07-24",175897,2505,4333,39,0.078
"2020-07-23",173392,2605,4294,38,0.076
"2020-07-22",170787,2999,4256,50,0.075
"2020-07-21",167788,3227,4206,46,0.074
"2020-07-20",164561,3401,4160,41,0.077
"2020-07-19",161160,1061,4119,37,0.08
"2020-07-18",160099,2352,4082,32,0.082
"2020-07-17",157747,3279,4050,36,0.083
"2020-07-16",154468,3402,4014,43,0.084
"2020-07-15",151066,3037,3971,37,0.087
"2020-07-14",148029,3384,3934,48,0.09
"2020-07-13",144645,3556,3886,55,0.092
"2020-07-12",141089,1238,3831,30,0.092
"2020-07-11",139851,2464,3801,33,0.092
"2020-07-10",137387,3282,3768,40,0.093
"2020-07-09",134105,3350,3728,32,0.094
"2020-07-08",130755,3388,3696,35,0.093
"2020-07-07",127367,3455,3661,33,0.094
"2020-07-06",123912,2714,3628,35,0.094
"2020-07-05",121198,1182,3593,39,0.094
"2020-07-04",120016,906,3554,28,0.094
"2020-07-03",119110,1509,3526,33,0.093
"2020-07-02",117601,3244,3493,41,0.092
"2020-07-01",114357,3426,3452,29,0.093
"2020-06-30",110931,3045,3423,38,0.093
"2020-06-29",107886,2953,3385,32,0.093
"2020-06-28",104933,1099,3353,40,0.093
"2020-06-27",103834,2048,3313,24,0.093
"2020-06-26",101786,2847,3289,31,0.094
"2020-06-25",98939,2918,3258,26,0.094
"2020-06-24",96021,2655,3232,37,0.095
"2020-06-23",93366,2430,3195,21,0.096
"2020-06-22",90936,2210,3174,30,0.094
"2020-06-21",88726,947,3144,30,0.093
"2020-06-20",87779,1497,3114,39,0.091
"2020-06-19",86282,1799,3075,35,0.088
"2020-06-18",84483,1826,3040,29,0.084
"2020-06-17",82657,1915,3011,40,0.081
"2020-06-16",80742,1857,2971,24,0.077
"2020-06-15",78885,2008,2947,32,0.072
"2020-06-14",76877,856,2915,29,0.071
"2020-06-13",76021,1259,2886,28,0.07
"2020-06-12",74762,1497,2858,29,0.068
"2020-06-11",73265,1412,2829,24,0.068
"2020-06-10",71853,1509,2805,26,0.067
"2020-06-09",70344,1341,2779,36,0.067
"2020-06-08",69003,1561,2743,38,0.07
"2020-06-07",67442,696,2705,35,0.069
"2020-06-06",66746,1082,2670,35,0.069
"2020-06-05",65664,1383,2635,40,0.071
"2020-06-04",64281,1542,2595,45,0.072
"2020-06-03",62739,1335,2550,45,0.073
"2020-06-02",61404,1403,2505,30,0.072
"2020-06-01",60001,1203,2475,37,0.074
"2020-05-31",58798,487,2438,30,0.077
"2020-05-30",58311,919,2408,37,0.077
"2020-05-29",57392,1490,2371,33,0.076
"2020-05-28",55902,1264,2338,32,0.074
"2020-05-27",54638,1384,2306,47,0.073
"2020-05-26",53254,1683,2259,40,0.075
"2020-05-25",51571,942,2219,28,0.071
"2020-05-24",50629,508,2191,38,0.069
"2020-05-23",50121,743,2153,34,0.069
"2020-05-22",49378,971,2119,43,0.068
"2020-05-21",48407,946,2076,27,0.068
"2020-05-20",47461,1156,2049,29,0.068
"2020-05-19",46305,957,2020,47,0.064
"2020-05-18",45348,1163,1973,45,0.063
"2020-05-17",44185,548,1928,38,0.062
"2020-05-16",43637,757,1890,52,0.062
"2020-05-15",42880,1219,1838,43,0.062
"2020-05-14",41661,1250,1795,31,0.061
"2020-05-13",40411,949,1764,41,0.059
"2020-05-12",39462,1095,1723,48,0.058
"2020-05-11",38367,1180,1675,28,0.059
"2020-05-10",37187,587,1647,32,0.057
"2020-05-09",36600,699,1615,50,0.056
"2020-05-08",35901,999,1565,50,0.055
"2020-05-07",34902,953,1515,50,0.054
"2020-05-06",33949,999,1465,53,0.055
"2020-05-05",32950,1257,1412,37,0.059
"2020-05-04",31693,933,1375,44,0.061
"2020-05-03",30760,474,1331,44,0.067
"2020-05-02",30286,707,1287,49,0.069
"2020-05-01",29579,922,1238,36,0.075
"2020-04-30",28657,918,1202,45,0.084
"2020-04-29",27739,992,1157,42,0.096
"2020-04-28",26747,956,1115,54,0.101
"2020-04-27",25791,1080,1061,37,0.103
"2020-04-26",24711,602,1024,41,0.111
"2020-04-25",24109,900,983,39,0.112
"2020-04-24",23209,1014,944,44,0.114
"2020-04-23",22195,972,900,51,0.113
"2020-04-22",21223,776,849,47,0.108
"2020-04-21",20447,876,802,40,0.109
"2020-04-20",19571,937,762,47,0.116
"2020-04-19",18634,488,715,36,0.119
"2020-04-18",18146,613,679,38,0.122
"2020-04-17",17533,833,641,39,0.125
"2020-04-16",16700,765,602,58,0.128
"2020-04-15",15935,846,544,35,0.129
"2020-04-14",15089,662,509,47,0.134
"2020-04-13",14427,678,462,42,0.139
"2020-04-12",13749,435,420,37,0.133
"2020-04-11",13314,476,383,30,0.135
"2020-04-10",12838,582,353,30,0.139
"2020-04-09",12256,574,323,35,0.145
"2020-04-08",11682,606,288,40,0.154
"2020-04-07",11076,701,248,25,0.154
"2020-04-06",10375,537,223,17,0.149
"2020-04-05",9838,592,206,23,0.149
"2020-04-04",9246,591,183,21,0.145
"2020-04-03",8655,788,162,26,0.142
"2020-04-02",7867,620,136,22,0.146
"2020-04-01",7247,614,114,19,0.146
"2020-03-31",6633,638,95,17,0.144
"2020-03-30",5995,616,78,11,0.142
"2020-03-29",5379,370,67,15,0.138
"2020-03-28",5009,393,52,8,0.137
"2020-03-27",4616,374,44,9,0.136
"2020-03-26",4242,373,35,4,0.132
"2020-03-25",3869,436,31,7,0.128
"2020-03-24",3433,281,24,3,0.125
"2020-03-23",3152,291,21,7,0.121
"2020-03-22",2861,253,14,4,0.12
"2020-03-21",2608,195,10,3,0.112
"2020-03-20",2413,252,7,3,0.11
"2020-03-19",2161,217,4,4,0.111
"2020-03-18",1944,187,0,0,0.112
"2020-03-17",1757,208,0,0,0.113
"2020-03-16",1549,223,0,0,0.116
"2020-03-15",1326,168,0,0,NA
"2020-03-14",1158,144,0,0,NA
"2020-03-13",1014,152,0,0,NA
"2020-03-12",862,157,0,0,NA
"2020-03-11",705,132,0,0,NA
"2020-03-10",573,96,0,0,NA
"2020-03-09",477,87,0,0,NA
"2020-03-08",390,47,0,0,NA
"2020-03-07",343,41,0,0,NA
"2020-03-06",302,43,0,0,NA
"2020-03-05",259,33,0,0,NA
"2020-03-04",226,19,0,0,NA
"2020-03-03",207,13,0,0,NA
"2020-03-02",194,19,0,0,NA
"2020-03-01",175,25,0,0,NA
