"place_ID","longitude","latitude","population","cumulative_cases_today","adj_case_rate","cumulative_deaths_today","adj_death_rate","cumulative_persons_tested_today","adj_test_rate","cumulative_persons_pos_today","adj_test_pos_rate","geo_merge"
"Agoura Hills",-118.760876,34.151007,20883,322,1546,7,31,7104,33529,289,1392,"City of Agoura Hills"
"Alhambra",-118.135504,34.083961,86724,2104,2435,35,30,27813,31259,2064,2397,"City of Alhambra"
"Arcadia",-118.037297,34.134186,57754,893,1523,40,45,14595,25137,803,1398,"City of Arcadia"
"Artesia",-118.08063,33.867577,16795,664,3713,13,58,6136,33528,566,3189,"City of Artesia"
"Avalon",-118.331354,33.333921,3869,5,151,0,0,61,1573,5,151,"City of Avalon"
"Azusa",-117.912351,34.138622,50040,2387,4800,30,71,14859,29954,2261,4539,"City of Azusa"
"Baldwin Park",-117.972142,34.082841,76769,4797,6179,111,165,25553,32812,4528,5819,"City of Baldwin Park"
"Bell",-118.179783,33.980058,36332,2407,6614,47,175,12796,35114,2337,6407,"City of Bell"
"Bell Gardens",-118.155014,33.966323,43071,3140,7392,32,125,14994,35327,3048,7131,"City of Bell Gardens"
"Bellflower",-118.127136,33.888021,77735,3661,4674,66,99,26248,33213,3528,4508,"City of Bellflower"
"Beverly Hills",-118.402109,34.078543,34520,1073,3124,11,16,21256,61618,935,2754,"City of Beverly Hills"
"Bradbury",-117.968387,34.153532,1069,28,2898,0,0,55,4808,9,1219,"City of Bradbury"
"Burbank",-118.323487,34.1879,107180,2981,2666,95,72,40391,36519,2695,2420,"City of Burbank"
"Calabasas",-118.668881,34.13747,24323,460,1829,13,44,8509,35019,414,1646,"City of Calabasas"
"Carson",-118.255878,33.837391,93846,2981,3123,64,54,27729,28796,2575,2700,"City of Carson"
"Cerritos",-118.068587,33.867752,50067,918,1910,17,25,13489,26481,865,1803,"City of Cerritos"
"Claremont",-117.715319,34.125904,36484,776,2276,11,19,10483,29412,742,2181,"City of Claremont"
"Commerce",-118.151914,33.996345,13069,965,7297,14,107,5303,40338,956,7236,"City of Commerce"
"Compton",-118.22753,33.892938,99904,6175,6187,81,100,34142,34496,6056,6057,"City of Compton"
"Covina",-117.881821,34.090264,49032,2261,4529,62,108,16320,32586,2058,4132,"City of Covina"
"Cudahy",-118.183118,33.963116,24347,1743,7235,18,121,8579,35200,1714,7128,"City of Cudahy"
"Culver City",-118.396806,34.005798,39865,700,1755,35,59,16962,43252,648,1625,"City of Culver City"
"Diamond Bar",-117.81613,33.999164,57515,1044,1765,16,21,13882,23055,989,1663,"City of Diamond Bar"
"Downey",-118.131148,33.937862,114263,6655,5713,102,88,41499,35512,6492,5576,"City of Downey"
"Duarte",-117.950531,34.16094,22016,884,3851,37,108,7016,31027,797,3524,"City of Duarte"
"El Monte",-118.029074,34.073948,117269,6800,5727,193,165,35997,30157,6610,5559,"City of El Monte"
"El Segundo",-118.402004,33.916898,16786,214,1268,1,3,6103,36528,180,1091,"City of El Segundo"
"Gardena",-118.307231,33.894352,61310,1935,3150,66,79,19316,31149,1773,2902,"City of Gardena"
"Glendale",-118.246803,34.181933,206493,6775,3130,202,67,63616,29801,5885,2737,"City of Glendale"
"Glendora",-117.846736,34.144935,52764,1894,3439,82,116,14555,27220,1649,3015,"City of Glendora"
"Hawaiian Gardens",-118.072804,33.830337,14676,799,5334,3,22,4182,28181,808,5399,"City of Hawaiian Gardens"
"Hawthorne",-118.347694,33.914649,88787,3270,3651,59,77,27499,30596,3102,3455,"City of Hawthorne"
"Hermosa Beach",-118.396435,33.865241,19670,382,1884,4,27,7473,37093,343,1682,"City of Hermosa Beach"
"Hidden Hills",-118.661203,34.163749,1890,30,2054,0,0,766,53578,25,1797,"City of Hidden Hills"
"Huntington Park",-118.216706,33.979987,59484,4317,7234,66,143,20687,34546,4145,6930,"City of Huntington Park"
"Industry",-117.926756,34.017494,437,55,13102,2,556,669,154859,41,9876,"City of Industry"
"Inglewood",-118.344474,33.956529,113582,4532,3938,101,95,37398,32253,4412,3837,"City of Inglewood"
"Irwindale",-117.963631,34.112113,1459,102,6912,2,155,586,39751,91,6166,"City of Irwindale"
"La Canada Flintridge",-118.200156,34.209689,20693,287,1747,6,17,6949,39488,258,1637,"City of La Canada Flintridge"
"La Habra Heights",-117.950975,33.96025,5455,70,1259,1,8,105,2205,9,181,"City of La Habra Heights"
"La Mirada",-118.00932,33.90251,49599,1441,2843,28,38,13115,25399,1375,2715,"City of La Mirada"
"La Puente",-117.953338,34.032209,40697,2482,5991,30,73,12844,30999,2395,5775,"City of La Puente"
"La Verne",-117.770312,34.120692,33282,925,2830,16,31,9145,26949,847,2632,"City of La Verne"
"Lakewood",-118.122171,33.84707,80362,2144,2672,16,17,24668,30361,2053,2550,"City of Lakewood"
"Lancaster",-118.175352,34.693444,161570,7240,4528,79,61,44185,27529,6615,4119,"City of Lancaster"
"Lawndale",-118.353156,33.888463,33614,1100,3179,13,52,9173,26477,1047,3030,"City of Lawndale"
"Lomita",-118.317456,33.793312,20729,357,1708,9,31,5314,25231,283,1362,"City of Lomita"
"Lynwood",-118.201664,33.923954,72047,5058,7151,117,258,25732,35898,4883,6827,"City of Lynwood"
"Malibu",-118.784201,34.03684,12961,162,1273,3,11,4670,35782,123,939,"City of Malibu"
"Manhattan Beach",-118.397059,33.889428,35999,564,1580,4,10,12127,33870,487,1361,"City of Manhattan Beach"
"Maywood",-118.187662,33.98852,28049,2009,7332,41,220,9733,35037,1963,7185,"City of Maywood"
"Monrovia",-117.992121,34.165036,38800,1212,3158,41,97,12322,31724,1152,2994,"City of Monrovia"
"Montebello",-118.110797,34.015436,64375,3762,5801,60,75,24016,36743,3667,5664,"City of Montebello"
"Monterey Park",-118.13253,34.049708,62262,1505,2414,59,45,18096,28800,1461,2339,"City of Monterey Park"
"Norwalk",-118.082884,33.90687,107622,5572,5068,100,91,34845,31623,5307,4822,"City of Norwalk"
"Palmdale",-118.105685,34.594429,158968,8588,5451,84,67,48482,30910,8248,5233,"City of Palmdale"
"Palos Verdes Estates",-118.397292,33.787212,13522,157,1222,2,7,3169,26679,111,832,"City of Palos Verdes Estates"
"Paramount",-118.165144,33.89765,56023,3663,6440,33,77,19495,34665,3583,6286,"City of Paramount"
"Pico Rivera",-118.088735,33.990124,64284,4072,6216,88,118,23022,35158,3869,5921,"City of Pico Rivera"
"Pomona",-117.762596,34.058481,155931,9441,5999,157,123,51939,32953,9218,5862,"City of Pomona"
"Rancho Palos Verdes",-118.363522,33.75538,42747,463,1200,11,12,9309,23865,385,1025,"City of Rancho Palos Verdes"
"Redondo Beach",-118.376656,33.857406,68697,1014,1555,13,20,20638,30792,905,1392,"City of Redondo Beach"
"Rolling Hills",-118.347168,33.760022,1940,16,1099,0,0,445,26416,9,803,"City of Rolling Hills"
"Rolling Hills Estates",-118.350807,33.778407,8113,75,1308,3,18,2081,29935,54,924,"City of Rolling Hills Estates"
"Rosemead",-118.082271,34.068882,55350,1523,2718,32,44,14180,24762,1486,2668,"City of Rosemead"
"San Dimas",-117.808944,34.108201,34516,1071,3057,16,33,10674,30354,996,2829,"City of San Dimas"
"San Fernando",-118.436238,34.288671,24612,1846,7356,24,118,11104,44676,1867,7449,"City of San Fernando"
"San Gabriel",-118.099093,34.094844,40954,1120,2559,100,165,11868,28086,1102,2516,"City of San Gabriel"
"San Marino",-118.113237,34.122367,13277,138,1026,3,15,3777,30321,118,885,"City of San Marino"
"Santa Clarita",-118.496479,34.41748,220424,6887,3147,67,33,69556,31328,6542,2993,"City of Santa Clarita"
"Santa Fe Springs",-118.062518,33.933048,18364,925,5054,10,48,5996,32718,886,4857,"City of Santa Fe Springs"
