Neighborhood,MEDIAN AGE,AGE 65 AND UP,AGE 50 TO 64,AGE 35 TO 49,AGE 19 TO 34,AGE 11 TO 18,AGE 10 OR LESS,FOREIGN BORN POPULATION,SQUARE MILES,FOUR-YEAR DEGREES,LESS THAN HIGH SCHOOL,HIGH SCHOOL DIPLOMA,SOME COLLEGE,BACHELOR'S DEGREE,MASTERS DEGREE OR HIGHER,DIVERSITY INDEX,ASIAN POPULATION,BLACK POPULATION,LATINO POPULATION,WHITE POPULATION,NON-WHITE POPULATION,SINGLE PARENTS,AVERAGE HOUSEHOLD SIZE,HOMEOWNERS,RENTERS,Median Income,"$20,000 or less","$20,000 to $40,000","$40,000 to $60,000","$60,000 to $125,000","$125,000 and up",NEVER MARRIED MALES,NEVER MARRIED FEMALES,MARRIED MALES,MARRIED FEMALES,WIDOWED MALES,WIDOWED FEMALES,DIVORCED MALES,DIVORCED FEMALES,VETERANS,POPULATION TOTAL,POPULATION PER SQMI
Veterans Administration,48,18.5%,28.2%,32.9%,11.1%,3.0%,6.3%,10.4%,0.9,11.4%,9.2%,29.5%,49.8%,6.7%,4.8%,0.592,0.0%,44.0%,6.9%,45.6%,54.4%,63.3%,2.5,0.0%,100.0%,"$60,561",25.4%,0.0%,100.0%,0.0%,0.0%,21.9%,27.0%,46.4%,36.5%,5.4%,0.0%,26.3%,36.5%,82.2%,622,683
Rolling Hills,46,20.4%,23.6%,23.2%,7.4%,12.7%,12.8%,17.6%,3.6,60.7%,3.6%,10.2%,25.5%,31.3%,29.4%,0.396,14.4%,1.8%,4.9%,76.1%,23.9%,2.7%,2.7,90.5%,9.5%,"$184,777",2.7%,6.9%,8.3%,27.2%,50.2%,19.6%,15.8%,74.3%,73.0%,2.7%,6.0%,3.4%,5.2%,13.2%,"3,218",893
Palos Verdes Estates,46,20.1%,24.0%,23.1%,8.2%,11.3%,13.3%,19.0%,4.7,70.9%,1.6%,7.4%,20.1%,39.9%,31.0%,0.398,17.3%,1.1%,2.9%,75.5%,24.5%,3.4%,2.7,90.5%,9.5%,"$167,344",4.0%,8.0%,5.9%,30.6%,47.3%,18.2%,13.6%,76.5%,72.8%,1.7%,8.5%,3.7%,5.1%,14.5%,"13,340","2,822"
Bel-Air,46,20.9%,22.8%,24.3%,12.4%,7.4%,12.2%,24.1%,6.4,66.1%,4.2%,9.2%,20.6%,29.7%,36.4%,0.301,8.2%,0.9%,4.6%,83.0%,17.0%,4.1%,2.4,85.5%,14.5%,"$207,938",6.3%,8.5%,6.0%,19.2%,55.1%,23.6%,15.4%,66.0%,65.7%,2.2%,11.9%,8.2%,7.0%,12.9%,"7,691","1,207"
Bradbury,46,24.8%,19.1%,24.0%,9.1%,10.5%,12.6%,22.9%,1.9,47.2%,7.6%,15.4%,29.8%,25.0%,22.2%,0.513,18.7%,1.0%,11.9%,66.1%,33.9%,3.6%,2.8,84.3%,15.7%,"$123,773",3.3%,12.7%,13.5%,34.2%,31.1%,21.3%,19.4%,67.9%,57.4%,3.9%,11.7%,6.9%,11.4%,16.1%,"1,268",658
Century City,46,26.4%,18.1%,22.6%,20.6%,3.8%,8.5%,25.5%,0.7,55.4%,5.9%,11.2%,27.5%,28.7%,26.7%,0.309,8.6%,1.4%,4.4%,82.5%,17.5%,4.9%,1.8,60.4%,39.6%,"$95,135",14.1%,13.3%,15.1%,23.2%,28.2%,29.7%,25.8%,56.1%,46.0%,3.3%,17.0%,10.9%,11.3%,11.9%,"5,513","7,869"
Beverly Crest,45,17.0%,24.2%,26.1%,13.3%,7.2%,12.1%,25.0%,8.2,67.6%,4.5%,9.5%,18.5%,34.7%,32.9%,0.230,4.0%,1.7%,3.4%,87.5%,12.5%,5.6%,2.4,90.0%,10.0%,"$169,282",6.4%,6.6%,7.0%,27.5%,47.4%,24.9%,20.4%,63.4%,59.5%,1.6%,8.6%,10.1%,11.5%,10.2%,"10,852","1,318"
Rancho Palos Verdes,44,18.7%,22.1%,25.1%,10.4%,10.9%,12.8%,26.8%,13.4,58.0%,4.2%,11.9%,25.9%,31.8%,26.2%,0.537,25.2%,2.1%,5.6%,62.8%,37.2%,4.8%,2.7,81.9%,18.1%,"$128,321",5.1%,11.3%,10.8%,36.6%,34.2%,20.4%,16.1%,71.8%,66.3%,2.4%,9.6%,5.3%,8.1%,13.9%,"41,301","3,084"
Rancho Dominguez,44,14.4%,25.9%,21.5%,17.4%,7.2%,13.6%,14.7%,2.7,17.4%,16.4%,30.7%,35.5%,11.3%,6.0%,0.701,7.7%,27.9%,16.1%,43.2%,56.8%,10.8%,2.5,86.8%,13.2%,"$72,097",13.2%,15.7%,33.3%,38.1%,0.0%,24.4%,28.8%,62.3%,47.4%,3.9%,7.8%,9.4%,15.9%,14.2%,"2,526",947
Pacific Palisades,43,17.4%,22.0%,26.5%,10.2%,8.8%,15.0%,15.5%,22.8,70.9%,2.3%,6.4%,20.4%,35.6%,35.3%,0.210,5.5%,0.4%,3.2%,88.6%,11.4%,6.5%,2.4,82.5%,17.5%,"$168,008",5.6%,8.1%,9.4%,25.2%,47.7%,20.6%,16.6%,68.7%,61.6%,2.6%,9.7%,8.2%,12.0%,11.7%,"23,940","1,048"
