,City,ASIAN,BLACK,LATINO,WHITE,NON.WHITE
0,Veterans Administration,0,3,1,3,6
1,Rolling Hills,3,0,4,27,15
2,Palos Verdes Estates,15,1,10,111,67
3,Bel-Air,4,0,9,70,26
4,Bradbury,1,0,3,9,8
5,Century City,3,0,6,50,19
6,Beverly Crest,2,2,9,105,27
7,Rancho Palos Verdes,70,9,61,286,315
8,Rancho Dominguez,1,7,10,12,29
9,Pacific Palisades,8,1,20,234,56
10,View Park-Windsor Hills,1,107,7,6,215
11,Rolling Hills Estates,11,1,12,64,51
12,La Habra Heights,7,1,19,43,45
13,Westlake Village,3,0,10,81,25
14,Ladera Heights,1,51,5,13,108
15,Encino,13,11,94,371,171
16,Sierra Madre,3,1,27,93,44
17,Topanga,1,0,9,71,18
18,Malibu,1,1,18,122,28
19,Cheviot Hills,4,1,15,60,30
20,San Marino,41,0,16,63,149
21,San Pasqual,2,0,9,13,18
22,Angeles Crest,0,1,3,9,6
23,Porter Ranch,45,5,49,167,200
24,Beverly Hills,17,5,43,306,126
25,La Cañada Flintridge,27,1,25,159,122
26,Northwest Antelope Valley,0,0,12,28,15
27,Hollywood Hills West,3,4,22,139,46
28,Leona Valley,0,0,2,12,5
29,Hidden Hills,0,0,3,18,4
30,West San Dimas,0,0,1,2,2
31,Southeast Antelope Valley,0,0,23,44,25
32,Chatsworth,34,8,126,254,247
33,Northwest Palmdale,0,0,9,25,16
34,Agua Dulce,0,0,9,29,10
35,Arcadia,162,4,139,236,649
36,Woodland Hills,28,19,120,516,266
37,West Hollywood,9,11,85,320,137
38,Shadow Hills,6,1,100,85,110
39,Downtown,40,69,272,49,479
40,West Hills,29,10,113,304,232
41,Brentwood,13,4,37,291,101
42,Beverlywood,3,2,9,53,24
43,Culver City,32,46,246,207,412
44,West Los Angeles,9,3,17,107,60
45,Torrance,267,29,474,795,1357
46,Monterey Park,248,0,459,49,1140
47,Northeast Antelope Valley,0,4,29,31,35
48,La Crescenta-Montrose,24,1,47,135,129
49,Marina del Rey,4,4,11,71,37
50,Calabasas,12,2,32,212,79
51,Cerritos,204,37,144,120,841
52,Playa del Rey,5,4,25,78,54
53,Windsor Square,15,2,22,23,72
54,Beverly Grove,7,4,34,194,79
55,Temple City,86,3,180,140,423
56,Tarzana,12,14,142,277,213
57,Leimert Park,3,104,35,1,239
58,West Carson,36,24,166,67,306
59,Studio City,12,14,78,293,153
60,Santa Monica,40,32,302,663,495
61,North El Monte,6,0,30,16,45
62,Hancock Park,8,4,22,76,59
63,Hollywood Hills,9,11,54,176,114
64,Glendale,215,21,1018,1167,1839
65,Glendora,22,7,295,373,338
66,Tujunga Canyons,0,0,9,21,11
67,Toluca Lake,2,4,29,61,44
68,La Verne,16,10,202,234,244
